TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde
141914082,1388.1012713522414,0.9841599376884222,5.3088293639163435,0.14935551130835334,13.442889232122976,8.48711014,4260.0,0.97127402,4,0.5255,0.1538,4.0,0.11251390047195475,0.986927339100816,0.9864735613952517,2.555800938710652,60.92937792152451,5.952940017652065
257719469,1329.7692625795798,0.9996833842712981,7.519759036655194,0.16592181017616658,18.10334475821717,8.85400009,7000.0,1.87488997,4,0.2961,0.2276,4.07974005,0.01653346504225881,0.9997299370050247,0.999775471367802,1.2731225102271087,18.45394510300087,5.422682064430044
147201138,1325.9486779658375,0.37747673799612347,1.8797611267776917,0.007346093520212871,4.133314245580687,10.91399956,6583.0,1.51868999,14,0.3215,0.2192,4.21221018,0.7301141480987199,0.40830344889483283,0.41753714590657304,0.8693522844658929,503.6902144882002,22.03467970287265
220539110,1386.1206219750834,0.9857138659157985,0.773450124038805,0.009265469741053078,2.0693593046486334,9.9289999,3565.0,0.42199999,25,0.1671,0.4201,4.83518982,0.11175924537854875,0.987215960181045,0.9871469357874989,0.4780373744567157,103.98422978959638,7.28133512925112
92352620,1328.3010320289716,0.9869554724492697,3.949055919432639,0.014128377121218838,3.755651263435425,9.63899994,6153.0,1.62,7,0.3451,0.216,4.18076992,0.1052348282318405,0.9879189418850268,0.9881126437431301,1.1666439546290095,163.47175007086236,25.993079105122284
349154435,1412.495214176944,0.9688667522668061,4.4292507867470325,0.017687412074525177,2.0562179011985346,12.13000011,5327.0,1.0,6,0.402,0.2082,4.0,0.16087594239227973,0.9725990918527586,0.9723138537063497,0.20745510573238768,97.09675295224835,15.649406251324415
38570985,1354.3943987477921,0.9988127712272483,0.6176289922109263,0.0009675462814601743,0.45953567098618764,9.07699966,7555.0,1.99928999,42,0.2353,0.2551,4.07975006,0.032305316167580915,0.9990231605364106,0.9987686978246281,1.3479969867003745,16.383235619951137,11.332008159068268
179213914,1325.8967068113432,0.9997554828034491,0.6858956943513006,0.0008198338670087346,1.1645970552040594,7.65700006,5350.0,25.0461998,38,0.4075,0.2321,3.20000005,0.01420721191740988,0.9998029450911674,0.9999763518798501,4.377466206934611,7.854831469113955,5.090492026496594
401913214,1413.6814940684915,0.974357521898682,3.8949422343983175,0.08082853966077463,10.528552899512286,8.64999962,4633.0,0.96484101,6,0.4913,0.1645,4.36647987,0.1440141092496879,0.9799549076759189,0.9762668720027282,9.10019631987798,52.85551712833142,3.9835645442701577
201753500,1355.6663473349192,0.9955115600005359,2.065768829976212,0.035118336278232354,5.635716435806736,9.73600006,6151.0,1.24338996,12,0.3216,0.2301,4.3167901,0.061928568185790706,0.9960119850978887,0.996037803392054,0.4000859846576745,60.047137786115904,5.906408327990317
