tic_id,Sector_24,Filename_24,Sector_25,Filename_25,Sector_23,Filename_23,Sector_21,Filename_21,Sector_22,Filename_22
160535351,24,tess2020106103520-s0024-0000000160535351-0180-s_lc.fits,25,tess2020133194932-s0025-0000000160535351-0182-s_lc.fits,23,tess2020078014623-s0023-0000000160535351-0177-s_lc.fits,21,tess2020020091053-s0021-0000000160535351-0167-s_lc.fits,22,tess2020049080258-s0022-0000000160535351-0174-s_lc.fits
356735835,24,tess2020106103520-s0024-0000000356735835-0180-s_lc.fits,25,tess2020133194932-s0025-0000000356735835-0182-s_lc.fits,23,tess2020078014623-s0023-0000000356735835-0177-s_lc.fits,21,tess2020020091053-s0021-0000000356735835-0167-s_lc.fits,22,tess2020049080258-s0022-0000000356735835-0174-s_lc.fits
199525880,24,tess2020106103520-s0024-0000000199525880-0180-s_lc.fits,25,tess2020133194932-s0025-0000000199525880-0182-s_lc.fits,23,tess2020078014623-s0023-0000000199525880-0177-s_lc.fits,21,tess2020020091053-s0021-0000000199525880-0167-s_lc.fits,22,tess2020049080258-s0022-0000000199525880-0174-s_lc.fits
230085909,24,tess2020106103520-s0024-0000000230085909-0180-s_lc.fits,25,tess2020133194932-s0025-0000000230085909-0182-s_lc.fits,23,tess2020078014623-s0023-0000000230085909-0177-s_lc.fits,21,tess2020020091053-s0021-0000000230085909-0167-s_lc.fits,22,tess2020049080258-s0022-0000000230085909-0174-s_lc.fits
219752252,24,tess2020106103520-s0024-0000000219752252-0180-s_lc.fits,25,tess2020133194932-s0025-0000000219752252-0182-s_lc.fits,23,tess2020078014623-s0023-0000000219752252-0177-s_lc.fits,21,tess2020020091053-s0021-0000000219752252-0167-s_lc.fits,22,tess2020049080258-s0022-0000000219752252-0174-s_lc.fits
233524881,24,tess2020106103520-s0024-0000000233524881-0180-s_lc.fits,25,tess2020133194932-s0025-0000000233524881-0182-s_lc.fits,23,tess2020078014623-s0023-0000000233524881-0177-s_lc.fits,21,tess2020020091053-s0021-0000000233524881-0167-s_lc.fits,22,tess2020049080258-s0022-0000000233524881-0174-s_lc.fits
198279826,24,tess2020106103520-s0024-0000000198279826-0180-s_lc.fits,25,tess2020133194932-s0025-0000000198279826-0182-s_lc.fits,23,tess2020078014623-s0023-0000000198279826-0177-s_lc.fits,21,tess2020020091053-s0021-0000000198279826-0167-s_lc.fits,22,tess2020049080258-s0022-0000000198279826-0174-s_lc.fits
441716994,24,tess2020106103520-s0024-0000000441716994-0180-s_lc.fits,25,tess2020133194932-s0025-0000000441716994-0182-s_lc.fits,23,tess2020078014623-s0023-0000000441716994-0177-s_lc.fits,21,tess2020020091053-s0021-0000000441716994-0167-s_lc.fits,22,tess2020049080258-s0022-0000000441716994-0174-s_lc.fits
258920785,24,tess2020106103520-s0024-0000000258920785-0180-s_lc.fits,25,tess2020133194932-s0025-0000000258920785-0182-s_lc.fits,23,tess2020078014623-s0023-0000000258920785-0177-s_lc.fits,21,tess2020020091053-s0021-0000000258920785-0167-s_lc.fits,22,tess2020049080258-s0022-0000000258920785-0174-s_lc.fits
198214526,24,tess2020106103520-s0024-0000000198214526-0180-s_lc.fits,25,tess2020133194932-s0025-0000000198214526-0182-s_lc.fits,23,tess2020078014623-s0023-0000000198214526-0177-s_lc.fits,21,tess2020020091053-s0021-0000000198214526-0167-s_lc.fits,22,tess2020049080258-s0022-0000000198214526-0174-s_lc.fits
