TIC,Orbital Period Value,Orbital Period Error,Orbital Epoch Value,Full TOI ID,Group Disposition,Public Comment
376682699,1.10264,5e-05,1765.15299,1511.01,PC,Some centroid offset; 2 stars in pixel
283474780,3.9943,0.00339,1765.91435,1490.01,PC,Variability in the star
233541860,0.26665,1e-05,1683.602,1486.01,EB,Potential level 1 candidate; 3 stars in pixel; TFOP FP
53875855,4.49321,0.00119,1769.16143,1491.01,PC,signficiant odd-even; likely EB
197650870,4.37035,0.00054,1740.15189,1481.01,PC,possible EB
434718964,1.59748,0.00024,1765.79331,1512.01,PC,No stellar info; could be evolved or a small star; if evolved then likely EB
316402246,1.39787,1e-05,1715.87984,1498.01,PC,Some centroid offset; possibly NEB
409520860,0.71933,0.00023,1765.11416,1547.01,PC,Likely SV; low SNR
276380902,0.61724,6e-05,1715.19276,1525.01,PC,a/r = 1.3; outside star
414870287,4.95898,0.00107,1740.8589,1499.01,PC,Likely giant; Rs < 10 Rsun will save it as a PC.
269509393,1.76589,0.00087,1764.84417,1513.01,PC,Slight depth-aperture correlation
440100539,12.6017,0.00585,1769.32363,1548.01,PC,Potential level 1 candidate; could be half the period
173612049,6.49052,0.00139,1739.07393,1537.01,PC,
377420580,1.4166,0.00071,1765.58299,1500.01,PC,Matched with 377420603; two stars in the same pixel; depth-aperture correlation; low priority; likely BEB
270238522,1.36991,0.00028,1765.47636,1514.01,PC,looks like stellar variability
354594208,0.86673,0.00021,1765.22813,1492.01,PC,
191146556,2.58593,0.00036,1766.83545,1549.01,PC,slight odd-even
470709084,3.66328,0.0009,1764.91445,1515.01,PC,Possible depth-aperture correlation
329145325,1.07672,0.00011,1739.60386,1501.01,PC,Crowded field
313761775,1.53127,0.00011,1716.35218,1526.01,PC,Variable star; some depth-aperture correlation
299158887,9.43526,0.00101,1690.16071,1554.01,KP,Kepler-63 b
441732151,2.09989,7e-05,1712.08879,1555.01,EB,secondary; synchronized; TFOP FP
405794804,1.44127,2e-05,1740.21873,1556.01,PC,centroid offset; check neighbors
320506985,1.08697,0.00021,1765.31897,1557.01,PC,Very likely to be EB
117322779,0.68601,0.0002,1791.07301,1558.01,PC,
241040309,3.46479,0.00043,1764.93926,1559.01,PC,Rs = 2.5 RSun - large planet
241076290,0.25792,3e-05,1790.84795,1560.01,PC,a/Rs nearly 1; likely EB
245462406,2.27456,0.00108,1791.81704,1561.01,PC,Slightly V-shaped
249862365,0.98999,0.00047,1791.5299,1562.01,PC,Significant odd-even; likely EB
249945230,,,1805.45128,1563.01,PC,single transit
250724252,0.55973,6e-05,1791.20154,1564.01,PC,Planet radius likely smaller than 14 Earth radius. V-shaped; possible depth aperture correlation.
251384275,,,1808.47423,1565.01,PC,single transit; close in epoch to TIC 259151170 but with no underlying systematic linking the two
256414077,3.01106,0.0008,1793.38207,1566.01,PC,
259151170,,,1808.52242,1567.01,PC,single transit; close in epoch to TIC 251384275 but with no underlying systematic linking the two
284050395,1.35932,6e-05,1765.47569,1568.01,PC,check neighbors
285666479,1.71614,0.00072,1791.98363,1569.01,PC,
285674856,1.74626,0.00163,1790.81038,1570.01,PC,other features at different periods in the BLS
285677945,1.2427,0.00049,1791.56106,1571.01,PC,Possible depth aperture correlation
292321872,8.66698,0.00261,1794.15217,1572.01,PC,Asymmetric transit shape; uncertain period
302773669,,,1809.070706,1573.01,KP,HD 17156 b
307111282,,,1804.60057,1574.01,PC,single transit; other signals in raw lc between 1780-1785 BJD
316254876,2.46094,0.00079,1793.17459,1575.01,PC,
327011842,0.78424,0.00011,1765.08506,1576.01,PC,sub mmag depth; likely EB; giant star (Rs 5.2) 
332154944,0.99837,7e-05,1791.36882,1577.01,PC,Check neighbor 332154930
348135793,1.97741,0.00024,1791.58678,1578.01,PC,Difference images failed. Possible depth aperture correlation between 2 and 3.
354400186,9.07768,0.00056,1794.28172,1579.01,PC,likely EB; Rs 2.5; Rp ~26
354469661,4.79539,0.00023,1792.47078,1580.01,PC,Large planet candidate; could be EB.
370759867,,,1810.30671,1581.01,PC,Single transit
374400599,1.89253,0.00027,1791.8149,1582.01,PC,
403256331,3.77188,0.00076,1765.82123,1583.01,PC,planet roughly 10 Re; check neighbors; possible stellar variability
418987806,0.88654,0.00019,1791.06276,1584.01,PC,likely EB
444415148,1.83641,0.00032,1764.8746,1585.01,PC,
445144327,1.80794,0.00062,1765.67889,1586.01,PC,large star and large companion
458914949,12.523,0.00311,1796.59728,1587.01,PC,Centroid offset; depth-aperture correlation
50120414,3.5804,0.00094,1793.48463,1588.01,PC,active star; slightly large planet candidate
52041724,,,1800.80678,1589.01,PC,single transit superimposed on BEB; large
71854745,3.10315,0.00208,1793.51014,1590.01,PC,Slightly crowded field; uncertain planet radius
82010657,,,1807.93693,1591.01,PC,single event
186599508,5.631807,0.001207,1794.89641,1592.01,PC,check neighbors
192372961,2.06313,0.00099,1792.29644,1593.01,PC,large pc around large star (Rs 6.1)
201154493,1.51233,0.00057,1792.1989,1594.01,PC,odd/even
385105624,1.74903,0.00026,1793.37454,1595.01,PC,"V-shaped; secondary which is also consistent with the secondary from a Hot Jupiter; could be on TIC 642958048. Check neighbors,."
431899140,1.97656,0.0007,1792.20585,1596.01,PC,Check fainter neighbors
68152139,0.73772,0.00018,1792.46525,1597.01,PC,
67418624,1.103694,9.8e-05,1791.62051,1598.01,PC,Low Signal-to-Noise
129979528,1.219868,1.6e-05,1791.414296,1599.01,KP,WASP-33 b
187029841,0.36113,5e-05,1791.80096,1600.01,PC,a/Rs only slightly bigger than 1; short period
139375960,5.33155,0.00052,1793.27728,1601.01,PC,Difference image shows an offset orbit 1.
129991079,6.15952,0.00486,1792.50412,1602.01,PC,2 stars in pixel; correlation with stellar variability
73448352,4.73231,0.00039,1794.3362,1603.01,PC,
118301361,3.46608,0.00112,1793.39828,1604.01,PC,Possible signature of exomoon ~6 hours before the primary transit.
101037590,8.70769,0.00143,1798.7416,1605.01,PC,Significant odd-even; possible single transits
125735470,4.71371,0.00114,1795.8723,1606.01,PC,check 640763859 and 640763860
26433869,1.03578,0.00021,1791.9029,1607.01,PC,small depth aperture correlation; large planet candidate
138017750,2.472722,0.000108,1792.459651,1608.01,PC,active star
229951289,13.3118,0.00203,1692.73536,1609.01,PC,potential L1 candidate
219776325,2.52894,0.00014,1685.35082,1610.01,PC,Potential L1 candidate; low SNR
264678534,16.19058,0.00437,1796.49652,1611.01,PC,check neighbors; potential L1 candidate
268403451,2.86415,8e-05,1793.90055,1612.01,KP,XO-7b (arXiv:1912.02821)
272625214,5.24666,0.00142,1769.60834,1613.01,PC,crowded field; brighter star nearby
317397615,0.74374,8e-05,1765.40805,1614.01,PC,Likely EB; a/Rs close to 1; check neighbors
317507345,3.94018,0.00016,1794.76292,1615.01,EB,ExoFOP FP; Retired as SB1	
