tic_id,Sector,Filename
9271387,21,tess2020020091053-s0021-0000000009271387-0167-s_lc.fits
165287082,21,tess2020020091053-s0021-0000000165287082-0167-s_lc.fits
287141943,21,tess2020020091053-s0021-0000000287141943-0167-s_lc.fits
302696624,21,tess2020020091053-s0021-0000000302696624-0167-s_lc.fits
156495758,21,tess2020020091053-s0021-0000000156495758-0167-s_lc.fits
198181981,21,tess2020020091053-s0021-0000000198181981-0167-s_lc.fits
233176032,21,tess2020020091053-s0021-0000000233176032-0167-s_lc.fits
229941134,21,tess2020020091053-s0021-0000000229941134-0167-s_lc.fits
308052958,21,tess2020020091053-s0021-0000000308052958-0167-s_lc.fits
153897964,21,tess2020020091053-s0021-0000000153897964-0167-s_lc.fits
147952576,21,tess2020020091053-s0021-0000000147952576-0167-s_lc.fits
219010838,21,tess2020020091053-s0021-0000000219010838-0167-s_lc.fits
27001259,21,tess2020020091053-s0021-0000000027001259-0167-s_lc.fits
310980902,21,tess2020020091053-s0021-0000000310980902-0167-s_lc.fits
331943547,21,tess2020020091053-s0021-0000000331943547-0167-s_lc.fits
219434593,21,tess2020020091053-s0021-0000000219434593-0167-s_lc.fits
263631958,21,tess2020020091053-s0021-0000000263631958-0167-s_lc.fits
233175599,21,tess2020020091053-s0021-0000000233175599-0167-s_lc.fits
357498249,21,tess2020020091053-s0021-0000000357498249-0167-s_lc.fits
406929098,21,tess2020020091053-s0021-0000000406929098-0167-s_lc.fits
298159885,21,tess2020020091053-s0021-0000000298159885-0167-s_lc.fits
198181783,21,tess2020020091053-s0021-0000000198181783-0167-s_lc.fits
86383177,21,tess2020020091053-s0021-0000000086383177-0167-s_lc.fits
233008396,21,tess2020020091053-s0021-0000000233008396-0167-s_lc.fits
1043853,21,tess2020020091053-s0021-0000000001043853-0167-s_lc.fits
316419348,21,tess2020020091053-s0021-0000000316419348-0167-s_lc.fits
17300246,21,tess2020020091053-s0021-0000000017300246-0167-s_lc.fits
318292329,21,tess2020020091053-s0021-0000000318292329-0167-s_lc.fits
357100232,21,tess2020020091053-s0021-0000000357100232-0167-s_lc.fits
101540135,21,tess2020020091053-s0021-0000000101540135-0167-s_lc.fits
99954694,21,tess2020020091053-s0021-0000000099954694-0167-s_lc.fits
207497114,21,tess2020020091053-s0021-0000000207497114-0167-s_lc.fits
329153618,21,tess2020020091053-s0021-0000000329153618-0167-s_lc.fits
219877950,21,tess2020020091053-s0021-0000000219877950-0167-s_lc.fits
199610976,21,tess2020020091053-s0021-0000000199610976-0167-s_lc.fits
4893717,21,tess2020020091053-s0021-0000000004893717-0167-s_lc.fits
219822564,21,tess2020020091053-s0021-0000000219822564-0167-s_lc.fits
456336094,21,tess2020020091053-s0021-0000000456336094-0167-s_lc.fits
258777137,21,tess2020020091053-s0021-0000000258777137-0167-s_lc.fits
219016721,21,tess2020020091053-s0021-0000000219016721-0167-s_lc.fits
252804773,21,tess2020020091053-s0021-0000000252804773-0167-s_lc.fits
362104394,21,tess2020020091053-s0021-0000000362104394-0167-s_lc.fits
156152377,21,tess2020020091053-s0021-0000000156152377-0167-s_lc.fits
