rowid,TIC_ID,TESS Disposition,TFOPWG Disposition,Planet SNR,Sectors,Comments,Full TOI ID,Group Disposition,Orbital Epoch Value,Orbital Period Error,Orbital Period Value,Public Comment
0,1003831,PC,PC,21.112694,8,some odd-even,564.01,PC,1518.203536,7e-05,1.6511419999999999,some odd-even
1,1103432,EB,FP,31.432276,8,possible synchronization,565.01,FP,1519.870491,0.000455,3.7278910000000014,possible synchronization
2,1129033,KP,KP,348.148499,4,WASP-77A b,398.01,KP,1410.9847109999994,7.000000000000003e-06,1.360025,WASP-77A b
3,1133072,PC,FP,9.50554,8,,566.01,FP,1517.531592,0.00017900000000000001,0.846542,
4,1449640,PC,FP,71.0,5,likely EB; hint of secondary.,446.01,FP,1440.4336,0.0003,3.50175,likely EB; hint of secondary.
5,1528696,KP,KP,33.0,5,depth is 8 ppt,448.01,KP,1438.40559,7e-05,0.88202,depth is 8 ppt
6,2758565,,,28.0,2,synchronized with stellar rotation,287.01,PC,1356.03117,0.00043,3.7819199999999995,synchronized with stellar rotation
7,2760710,,,11.973635,2,The second event is not real. single transit (no period).,227.01,PC,1364.102069,,,The second event is not real. single transit (no period).
8,4616072,KP,KP,20.633278,6,HATS-45,466.01,KP,1469.0616619999994,0.000656,4.18599,HATS-45
9,4646810,PC,PC,9.984915,4,may be two single transits,461.01,PC,1416.345972,0.002807,14.490034,may be two single transits
10,4897275,PC,PC,11.938421,21,,1774.01,PC,1872.341155,0.00328,16.710042,
11,5109298,PC,PC,16.0,7,,960.01,PC,1491.79665,0.0007099999999999999,1.6221,
12,5772442,PC,FP,20.0,7,Saturn-sized; Slight centroid shift; potentially blended (BEB or diluted planet); need SG1 to check,979.01,FP,1492.50181,0.00022,1.10578,Saturn-sized; Slight centroid shift; potentially blended (BEB or diluted planet); need SG1 to check
13,5868998,PC,FP,74.558151,10,Likely EB,749.01,FP,1569.93359,1.2e-05,0.63554,Likely EB
14,6663331,KP,KP,25.185488,13,HATS-28b,1068.01,KP,1656.633231,0.00024700000000000004,3.1803619999999997,HATS-28b
15,7088246,KP,KP,17.524658,13,HATS-23b,1065.01,KP,1654.347994,0.000276,2.160344,HATS-23b
16,7413227,PC,PC,28.0,11,possible EB,1940.01,PC,1601.23279,0.00035,3.4161599999999996,possible EB
17,7561203,PC,PC,17.0,7,may also be on 7561200,991.01,PC,1491.8825,0.00042,2.48454,may also be on 7561200
18,7624182,EB,FP,20.24239,4,hot star; could still be a planet,412.01,FP,1411.815795,5.2000000000000004e-05,1.108467,hot star; could still be a planet
19,8400842,KP,KP,155.07233,19,XO-3b,1676.01,KP,1819.064098,7.6e-05,3.191584,XO-3b
20,8767448,KP,KP,139.25148000000002,21,WASP-13 b,1767.01,KP,1870.743581,0.00011599999999999999,4.353217,WASP-13 b
21,8967242,PC,PC,7.147946000000001,22,low SNR; possible instrument or systematic,1799.01,PC,1904.815773,0.0020859999999999997,7.093853,low SNR; possible instrument or systematic
22,8988289,,FP,48.0,2,V-shaped,316.01,FP,1365.98759,0.0,13.323789999999999,V-shaped
23,9006668,PC,PC,7.622330000000002,2,centroid offset not significant.,238.01,PC,1354.669184,0.000206,1.272419,centroid offset not significant.
24,9032368,,FP,13.0,2,target is likely 9032367 (still possible to be a planet);,373.01,FP,1355.67942,0.00042,1.632,target is likely 9032367 (still possible to be a planet);
25,9033144,,FP,37.0,2,likely EB,367.01,FP,1354.29153,0.00057,4.714519999999999,likely EB
26,9100874,PC,PC,16.0,2,,307.01,PC,1357.84005,0.00199,6.16425,
27,9102327,,FP,16.0,2,target star is two stars in Gaia ();  check if it is on target;,313.01,FP,1354.54332,0.00086,3.2615,target star is two stars in Gaia ();  check if it is on target;
28,9348006,PC,PC,29.144968,21,,1775.01,PC,1877.5646760000002,0.001254,10.240374000000001,
29,9392421,PC,PC,63.0,22,,1822.01,PC,1911.71847,0.0017100000000000001,9.61396,
30,9725627,PC,KP,32.183025,2,,239.01,KP,1356.962278,0.000336,4.15701,
31,9727392,PC,FP,162.495651,2,1700 ppm secondary. Likely EB.,236.01,FP,1355.325711,0.000118,4.534451,1700 ppm secondary. Likely EB.
32,9804616,PC,PC,25.980261,4,faint target star,460.01,PC,1411.065871,1.6e-05,0.516835,faint target star
33,9837861,PC,FP,10.0,"18,19",Possibly variability; check 9837855,1679.01,FP,1817.9375,0.00027,0.65725,Possibly variability; check 9837855
34,9858404,PC,FP,35.0,4,v-shaped; some odd-even,394.01,FP,1411.26947,2e-05,0.39149,v-shaped; some odd-even
35,11111899,PC,FP,33.0,15,,1313.01,FP,1684.28928,5e-05,0.61944,
36,11561667,PC,PC,17.464441,9,GAIA DR2 Rstar = 0.6 Rsun which makes Rp ~1.5 RJup,730.01,PC,1543.867414,0.000563,3.087925,GAIA DR2 Rstar = 0.6 Rsun which makes Rp ~1.5 RJup
37,11996814,PC,FP,12.260779,24,signal could be caused by stellar variability; crowded region,2022.01,PC,1955.980306,2.9999999999999997e-05,0.449014,signal could be caused by stellar variability; crowded region 
38,12421862,PC,PC,11.134932,2,,198.01,PC,1356.375417,0.003312,20.427265,
39,12423815,PC,PC,19.285355,2,centroid shift is not significant.,234.01,PC,1356.088115,0.00031,2.839249,centroid shift is not significant.
40,12862099,KP,KP,36.095585,3,WASP-44,259.01,KP,1386.578118,0.00013700000000000002,2.423823,WASP-44
41,13021029,KP,KP,85.0,5,WASP-61b,439.01,KP,1439.1236199999994,0.00023999999999999998,3.85605,WASP-61b
42,13023378,PC,PC,35.0,2,,344.01,PC,1358.2573300000001,0.001,6.06764,
43,13023738,,,12.0,2,centroid shift in X/Y is due to the star nearby but the signal is on target.,360.01,PC,1354.97828,0.0029100000000000003,8.055769999999999,centroid shift in X/Y is due to the star nearby but the signal is on target.
44,13349647,KP,KP,96.0224,8,WASP-36,567.01,KP,1518.50535,4e-05,1.537368,WASP-36
45,13419950,PC,PC,37.0,"14,15",Matched to 1969293164,1162.01,PC,1686.3743600000007,0.00055,7.3178100000000015,Matched to 1969293164
46,13499636,PC,PC,7.183744,15,Possible single transit (first event).,1275.01,PC,1714.596964,0.010262,11.324682000000001,Possible single transit (first event).
47,13684720,PC,PC,51.745399,"14,15",,1433.01,PC,1695.0122239999994,0.00025,12.437607,
48,14091633,EB,FP,176.0,5,big;,447.01,FP,1440.9356699999994,0.00015,5.5288900000000005,big;
49,14091704,EB,FP,74.0,5,V-shaped;,445.01,FP,1438.41729,2.9999999999999997e-05,0.76502,V-shaped;
50,14165625,PC,PC,7.1548320000000025,"5,6",,875.01,PC,1442.024946,0.002316,11.020153,
51,14336130,PC,PC,12.347238,20,Slight depth-aperture correlation; small planet candidate,1716.01,PC,1843.846037,0.001661,8.088417,Slight depth-aperture correlation; small planet candidate
52,14344979,KP,KP,35.0,9,,1927.01,KP,1548.6286599999999,0.00032,4.11265,
53,14614418,KP,KP,26.83444,10,HATS-18 b,750.01,KP,1569.5391630000001,3.4e-05,0.837778,HATS-18 b
54,14661418,KP,KP,63.760841000000006,10,HATS-22 b,751.01,KP,1570.989566,0.000271,4.723155,HATS-22 b
55,15247229,,FP,47.0,14,Could be on neighbor,1188.01,FP,1687.19253,0.0013800000000000002,8.5112,Could be on neighbor
56,15445551,KP,KP,41.055016,10,WASP-87 b,747.01,KP,1569.667052,4.8e-05,1.68281,WASP-87 b
57,15565627,PC,FP,16.0,"14,15",Slight aperture depth correlation,1316.01,FP,1684.06072,0.00058,3.8050900000000003,Slight aperture depth correlation  
58,15692883,PC,CP,10.0,17,,1493.01,CP,1764.8563,0.0009599999999999999,5.14124,
59,15863518,PC,PC,12.751203,20,v-shaped,1713.01,PC,1842.712088,4.1e-05,0.5572010000000001,v-shaped
60,16102323,EB,FP,41.0,14,Could be on neighbor,1164.01,FP,1686.75992,0.00021,3.2080599999999997,Could be on neighbor
61,16288184,,KP,26.553631,12,K2-237 b,1049.01,KP,1626.800788,0.000122,2.180764,K2-237 b
62,16740101,KP,KP,223.896179,"14,15",KELT-9b,1150.01,KP,1683.4453219999998,0.0001,1.48112,KELT-9b
63,16884216,PC,PC,7.313857,24,possibly a single at 1982; possible multi; low snr ~7 from spoc-s24,2023.01,PC,1964.1285679999999,0.004959000000000001,11.190049,possibly a single at 1982; possible multi; low snr ~7 from spoc-s24
64,16920150,PC,PC,7.595617,17,,1459.01,PC,1765.5459809999998,0.003159,9.155934,
65,17005768,PC,FP,47.321503,17,There is a positive flare-like feature following the transit events,1460.01,FP,1765.265174,0.00047599999999999997,6.842650999999999,There is a positive flare-like feature following the transit events
66,17746821,KP,KP,38.926884,7,HAT-P-50b,492.01,KP,1493.168623,0.000285,3.122001,HAT-P-50b
67,17993892,KP,KP,44.57208,22,HAT-P-21 b,1800.01,KP,1902.3041600000001,0.000262,4.1244260000000015,HAT-P-21 b
68,19025965,PC,PC,10.420923,7,SG1 to check 19025962,493.01,PC,1493.31843,0.0013779999999999999,5.9477730000000015,SG1 to check 19025962
69,19451711,PC,PC,8.220099000000001,7,V-shaped and short period; GAIA Rp=1.6 Rsun,522.01,PC,1491.704967,4.2e-05,0.397554,V-shaped and short period; GAIA Rp=1.6 Rsun
70,19519368,PC,PC,8.022874,7,Gaia DR2 R = 0.8 R_Sun; check 195193366; dmag=5.3,494.01,PC,1493.296407,0.000465,1.701876,Gaia DR2 R = 0.8 R_Sun; check 195193366; dmag=5.3
71,19684256,KP,KP,98.0,"8,9",,1901.01,KP,1518.44478,2.9999999999999997e-05,1.3667200000000002,
72,20178111,PC,FP,16.904505,6,could be on 20178112,467.01,FP,1468.622239,0.000265,1.7344220000000001,could be on 20178112
73,20182165,PC,FP,119.77732,23,large planet; variable star,1830.01,FP,1936.906691,0.000125,9.781642,large planet; variable star
74,20318757,PC,PC,14.0,9,,1027.01,PC,1547.16357,0.00084,3.2862699999999996,
75,20892672,,FP,32.0,2,2 stars in same pixel with dmag 1,378.01,FP,1356.50088,0.00045,3.10926,2 stars in same pixel with dmag 1
76,21535395,PC,PC,7.390294,21,bright star,1776.01,PC,1871.488566,0.00059,2.800991,bright star
77,21744120,KP,KP,61.248714,25,HAT-P-18 b,,KP,,,,HAT-P-18 b
78,21755546,,FP,20.0,14,Could be on neighbor,1146.01,FP,1684.1310600000006,0.00011999999999999999,0.65957,Could be on neighbor
79,22221375,PC,PC,16.159866,9,small PC in known system (HD 86226 b has P = 1695 days),652.01,PC,1543.254774,0.000512,3.9846269999999997,small PC in known system (HD 86226 b has P = 1695 days)
80,22529346,KP,KP,234.725754,7,WASP-121,495.01,KP,1491.9986900000001,1.2e-05,1.274931,WASP-121
81,22705558,PC,PC,10.0,20,potential L1 candidate; low SNR,1699.01,PC,1842.9974899999997,0.00215,4.54856,potential L1 candidate; low SNR
82,22843856,PC,FP,76.710915,18,V-shaped; seems to be synchronized with variability,1644.01,FP,1790.980282,5.9e-05,1.8497540000000001,V-shaped; seems to be synchronized with variability
83,23434737,PC,PC,18.457853,"9,10",,1203.01,PC,1553.072254,0.003554,25.492499,
84,23650642,PC,FP,12.0,20,small centroid offset; potential odd-even,1700.01,FP,1843.3802899999998,0.00039,1.12355,small centroid offset; potential odd-even
85,23740089,PC,PC,19.0,23,Period may be double as even event is in a data gap,1849.01,PC,1932.6106899999997,0.00132,9.865310000000001,Period may be double as even event is in a data gap
86,24094603,,FP,12.0,13,possibly stellar variability,1121.01,FP,1658.61052,0.002,4.07611,possibly stellar variability
87,24364065,,FP,10.0,14,,1195.01,FP,1686.84696,0.00238,4.05135,
88,25155310,KP,KP,240.63535,"1,2,3,4,5,6",WASP-62 c,114.01,KP,1327.520924,7.000000000000003e-06,3.2887760000000004,
89,25334160,PC,FP,9.0,6,Large planet;  might be noise or a blended signal,885.01,FP,1471.20029,0.00214,2.5687599999999997,Large planet;  might be noise or a blended signal
90,25375553,KP,KP,0.873101,1,,143.01,KP,1325.58249,5.5e-05,2.310894,
91,25799609,PC,PC,45.0,7,two stars on same TESS pixel,963.01,PC,1501.3115,0.0011099999999999999,11.10934,two stars on same TESS pixel
92,26433869,PC,FP,14.0,18,small depth aperture correlation; large planet candidate,1607.01,FP,1791.9029,0.00021,1.03578,small depth aperture correlation; large planet candidate
93,26547036,PC,PC,56.73031,"14,15,16",Single transit; roughly Jupiter size; multiple stars in pixel,2010.01,PC,1712.3050230000001,,,Single transit; roughly Jupiter size; multiple stars in pixel
94,26880783,PC,PC,19.0,16,Rs 3.2,1364.01,PC,1740.4666,0.00037999999999999997,1.77587,Rs 3.2
95,27194429,PC,PC,13.531636,23,large star; slight odd-even; possible EB,1831.01,PC,1928.117932,2.3e-05,0.555293,large star; slight odd-even; possible EB
96,27649847,PC,PC,8.542186000000001,7,Small star; marginal transit,521.01,PC,1492.722769,0.000295,1.542131,Small star; marginal transit
97,27677846,PC,FP,19.0,"18,19",V-shaped; slight odd-even; shoulders before/after ingress/egress,1657.01,FP,1821.4485399999999,0.00223,5.6258300000000006,V-shaped; slight odd-even; shoulders before/after ingress/egress
98,27848472,KP,KP,181.59766,26,WASP-3 b,,KP,,,,WASP-3 b
99,27966179,PC,PC,48.0,2,,330.01,PC,1355.6917,0.00033999999999999997,4.27958,
100,28230919,KP,KP,114.427391,"14,15",HAT-P-11 b,1144.01,KP,1687.2061170000006,0.00025,4.887823,HAT-P-11 b
101,28900646,PC,PC,9.813819,19,potential L1 candidate,1685.01,PC,1816.225016,7.3e-05,0.6691739999999999,potential L1 candidate
102,29054413,PC,PC,7.373661999999999,18,Potential level one; period could be double,1631.01,PC,1795.5023829999998,0.001614,7.6260949999999985,Potential level one; period could be double
103,29119552,PC,PC,81.0,20,period could be 2x,1709.01,PC,1849.5719800000002,0.00037999999999999997,7.62897,period could be 2x
104,29191596,PC,PC,11.0,21,multiple stars in target pixel; potential centroid offset; low SNR,1792.01,PC,1871.1634399999998,0.00644,8.818660000000003,multiple stars in target pixel; potential centroid offset; low SNR
105,29191624,PC,PC,8.531814,21,Only two transits,1777.01,PC,1873.298287,0.00443,14.653198999999999,Only two transits
106,29344935,KP,KP,0.8341639999999999,1,HATS-14,109.01,KP,1326.1275289999999,0.000254,2.766737,HATS-14
107,29781292,PC,PC,32.06031,"1,2,3,4,5,6,7,8,9,10,11,12,13",follow up in progress,282.02,PC,1355.735635,0.005843,31.323498999999998,could be a secondary of .01 or a single transit detection of a second planet
108,29831208,EB,FP,22.854355,"1,3",known TOI,124.01,FP,1326.544424,4.6e-05,1.84286,known TOI
109,29857954,PC,CP,11.0,1,Star to NW checked. Transit likely on the target.,172.01,CP,1326.91973,0.00316,9.475719999999999,Star to NW checked. Transit likely on the target.
110,29918916,PC,PC,17.0,3,,852.01,PC,1387.1945,0.00151,4.94421,
111,29960109,EB,FP,12.0,4,may be on 29960110,393.01,FP,1411.66942,0.00061,2.49221,may be on 29960110
112,29960110,EB,EB,10.197658,4,,1201.01,PC,1411.67237,0.000323,2.491115,
113,30037565,PC,PC,9.48323,"1,2,3,4,5,6,7,8,9,10,11,12,13",,1209.01,PC,1337.093128,0.001016,40.719767,
114,30122649,PC,PC,9.388668,"8,9",First 3 transit events close to MD; 4th transit event in a gap,808.01,PC,1526.855864,0.001739,9.736402,First 3 transit events close to MD; 4th transit event in a gap
115,30312676,,FP,7.498463,11,low MES (7.5),817.01,PC,1597.680662,0.00018999999999999998,1.1024450000000001,low MES (7.5)
116,30329585,,,17.0,14,,1175.01,PC,1687.31837,0.0019199999999999998,7.5039,
117,30828562,EB,FP,187.647888,8,possible hot Jupiter,621.01,FP,1520.110439,5.2000000000000004e-05,3.112361,possible hot Jupiter
118,30853470,PC,PC,7.862228,"1,2,3,4,5,6,7,8",low MES; GAIA DR2 R = 0.576 R_solar,807.01,PC,1327.655008,0.000176,5.270334,low MES; GAIA DR2 R = 0.576 R_solar
119,31268146,PC,PC,9.0,11,low SNR,1948.01,PC,1328.33074,0.00062,3.64731,low SNR
120,31374837,PC,PC,58.0,"5,6",,431.01,PC,1440.63138,0.0008,12.45941,
121,31553893,PC,PC,7.703946000000001,13,Gaia sets the stellar radius to be larger than 3.191,1058.01,PC,1663.023442,0.005253,11.112686,Gaia sets the stellar radius to be larger than 3.191
122,31852980,PC,PC,8.890672,"1,2,3,6",periods are mismatched with existing .01 and .02,487.02,PC,1327.136315,0.000288,7.413857000000001,periods are mismatched with existing .01 and .02
123,31858843,PC,KP,118.221169,13,WASP-123b,1069.01,KP,1655.578988,7.4e-05,2.977692,WASP-123b
124,31858844,PC,FP,108.842781,13,triggered by nearby event on 31858843 (WASP-123b),1070.01,FP,1655.579241,9.8e-05,2.977615,triggered by nearby event on 31858843 (WASP-123b)
125,32090583,PC,PC,10.018258,"1,2,3,4,6",this is the toi.01 target (period 0.4 days),218.01,PC,1325.5469130000001,1e-05,0.438374,this is the toi.01 target (period 0.4 days)
126,32283946,PC,FP,127.0,3,warm Jupiter; might be too big; period might be double,845.01,FP,1389.0024,0.00108,7.06181,warm Jupiter; might be too big; period might be double
127,32497972,PC,PC,8.810804,"5,6",Potentially even HZ,876.01,PC,1448.181557,0.005052,38.69629000000001,Potentially even HZ
128,32499655,KP,KP,23.322733,"5,6",,437.01,KP,1440.2576900000001,9.300000000000001e-05,2.744062,HATS-44 b
129,32830028,PC,FP,18.210543,6,marginal signal,549.01,FP,1468.344415,2.1e-05,0.516278,marginal signal
130,33091633,PC,FP,103.0,7,planet radius mass and Teff are inconsistent.,984.01,FP,1495.71336,0.0009699999999999999,7.52118,planet radius mass and Teff are inconsistent.
131,33153766,PC,FP,14.02045,9,Need SG1 to check neighbor TIC 33153755 at ~14.32,653.01,FP,1543.227316,5.3e-05,0.688413,"Need SG1 to check neighbor TIC 33153755 at ~14.32""; period might be too short for the stellar radius (too close to stellar surface)."
132,33521996,KP,KP,68.375946,6,HATS-6; GAIA Rstar=0.7Rsun,468.01,KP,1469.31168,0.000149,3.325285,HATS-6; GAIA Rstar=0.7Rsun
133,33595516,PC,CP,17.0,3,flat-bottomed,849.01,CP,1384.01956,0.00015,0.76566,flat-bottomed
134,33690636,PC,FP,10.0,6,Centroid page weirdness; check all neighbors,891.01,FP,1468.9545,0.00244,4.99915,Centroid page weirdness; check all neighbors
135,33692729,PC,PC,19.369371,6,,469.01,PC,1474.567411,0.00264,13.632935,
136,33831980,PC,PC,7.648435000000001,"1,2,3,5,6,8,9",probably double the period; low MES,806.01,PC,1346.01819,0.000962,21.915670000000002,probably double the period; low MES
137,33878688,PC,FP,11.811237,"1,2,3,5,6,7,8,9,10,11,12,13",,1210.01,FP,1393.621316,0.00451,79.367354,
138,33911302,PC,PC,22.0,2,,341.01,PC,1355.75117,0.00023999999999999998,1.8138299999999998,
139,34068865,PC,PC,12.487692,9,GAIA R*=2.5 Rsun. 25 DR2 sources within 30,731.01,PC,1543.492309,1.9e-05,0.321941,"GAIA R*=2.5 Rsun. 25 DR2 sources within 30"" and an apparent small centroid offset. The period and DR2 radius also place the orbit of this candidate right around the stellar surface so the source may be a nearby star."
140,34077285,PC,PC,34.0,6,Need SG1 to Check 34077287 (R = 2.5 Rsun); Period might be twice,880.01,PC,1471.1351,0.0008699999999999999,6.38514,Need SG1 to Check 34077287 (R = 2.5 Rsun); Period might be twice
141,35009898,PC,PC,12.836975,9,low SNR in qlp; unknown GAIA DR2 radius,654.01,PC,1543.435847,0.000195,1.527419,low SNR in qlp; unknown GAIA DR2 radius
142,35516889,KP,KP,167.722733,9,WASP-19 b,655.01,KP,1543.621975,1e-05,0.7888430000000001,WASP-19 b
143,35582553,PC,PC,30.0,"6,7",GAIA DR2 Rad =  2.44 Rsun and teff = 6555 K,649.01,PC,1468.8359699999999,8e-05,0.9355600000000001,GAIA DR2 Rad =  2.44 Rsun and teff = 6555 K
144,35857242,KP,KP,39.151089,4,WASP-138b,400.01,KP,1413.315221,0.000217,3.6346529999999997,WASP-138b
145,36352297,KP,KP,28.433636,6,CoRoT-1 b,547.01,KP,1469.067593,0.000109,1.509017,CoRoT-1 b
146,36440357,KP,KP,17.856768,6,CoRoT-4 b,546.01,KP,1475.332024,0.004151,9.198554,CoRoT-4 b
147,36724087,PC,PC,11.443317,9,,732.01,PC,1543.91148,6.7e-05,0.768418,
148,36734222,KP,KP,309.28363,9,WASP-43b,656.01,KP,1543.603636,5e-06,0.81347,WASP-43b
149,37084932,PC,FP,88.0,6,Clear centroid shift; Need SG1 to check the low parallax target 37161310.,879.01,FP,1470.64431,0.00011999999999999999,6.58454,Clear centroid shift; Need SG1 to check the low parallax target 37161310.
150,37168957,KP,KP,18.792747,6,CoRoT-18 b,545.01,KP,1470.175133,0.00032,1.899994,CoRoT-18 b
151,37575651,PC,PC,12.51106,8,GAIA Teff=9422K; likely large stellar radius; possibly double the period,568.01,PC,1521.911663,0.001214,9.596295,GAIA Teff=9422K; likely large stellar radius; possibly double the period
152,37718056,KP,KP,9.0,3,,1908.01,KP,1384.09392,0.00053,3.65688,
153,37749396,PC,PC,8.303118,3,only two transits,260.01,PC,1392.294408,0.0032359999999999997,13.470018,only two transits
154,37770169,PC,PC,18.219587,6,bright star to N,470.01,PC,1474.492121,0.002908,12.194398,bright star to N
155,38460940,PC,PC,8.997781,"1,3,4,5,7,8",low MES; small star based on parallax,805.01,PC,1328.556583,0.000128,4.117662,low MES; small star based on parallax
156,38509907,PC,PC,8.741217,"1,2,3,4,5",needs SG1 to check neighbors in aperture,722.01,PC,1339.145845,0.001086,15.298914000000002,needs SG1 to check neighbors in aperture
157,38510224,PC,PC,8.192730000000001,"1,2,3,4,5,7,8",low SNR; period was listed as 9.2 d in previous dv reports; but 18.4 d seems more accurate.,711.01,PC,1329.90807,0.0008619999999999999,18.383334,low SNR; period was listed as 9.2 d in previous dv reports; but 18.4 d seems more accurate.
158,38541473,EB,FP,18.0,4,large; possible EB,395.01,FP,1415.51522,0.00116,6.0605400000000005,large; possible EB
159,38571020,PC,PC,8.061371000000001,"1,2,3,4,5,6",needs SG1 to confirm transits are on target or on near neighbor,721.01,PC,1325.9651119999999,0.000685,12.289067999999999,needs SG1 to confirm transits are on target or on near neighbor
160,38603673,,FP,7.379836,4,,459.01,FP,1413.04999,0.000654,4.428047,
161,38686737,EB,FP,67.0,5,,432.01,FP,1439.9796099999999,0.00014,2.24704,
162,38696105,PC,PC,7.370054,3,,281.01,PC,1387.482051,0.00248,5.566733999999999,
163,38846515,KP,KP,278.009491,"1,2,3,4,5,6",WASP-100b,106.01,KP,1326.745077,6e-06,2.84938,WASP-100b
164,39699648,PC,PC,10.820062,21,,1778.01,PC,1876.0250230000001,0.001553,6.515951,
165,39903405,KP,KP,236.0,25,HAT-P-2 b,2020.01,KP,1956.23822,0.00011499999999999999,5.633309,HAT-P-2 b
166,40083958,PC,PC,12.0,3,short period; nearby companion with dmag 5.6,851.01,PC,1383.9718300000006,0.00011,0.63002,short period; nearby companion with dmag 5.6
167,41173048,PC,PC,9.0,10,"evolved star, but difference images do not provide consistent centroid information to conclude it's a NEB",2006.01,PC,1328.7477900000001,0.0005200000000000001,6.40916,"evolved star, but difference images do not provide consistent centroid information to conclude it's a NEB"
168,41227743,PC,PC,8.668339999999999,"1,2,4,5,6,7,8",low MES; crowded field; check bright star at these coordinates: RA 91.4813184782682 DEC -69.4618643201317; Difference images inconclusive.,804.01,PC,1326.28033,7.2e-05,1.418474,low MES; crowded field; check bright star at these coordinates: RA 91.4813184782682 DEC -69.4618643201317; Difference images inconclusive.
169,41330864,EB,FP,65.0,14,,1168.01,FP,1684.8446399999998,9e-05,2.136,
170,41865539,,FP,12.0,2,odd even unreliable,335.01,FP,1354.86627,0.0004,1.26092,odd even unreliable
171,42015200,PC,FP,48.0,3,possible hot jupiter; a bit V-shaped and there might be odd-even difference,848.01,PC,1391.66318,0.0025399999999999997,9.77742,possible hot jupiter; a bit V-shaped and there might be odd-even difference
172,42054565,PC,PC,7.16804,3,low SNR; possible instrument systematic; source is possibly 42054566 which is 4.24 as away,280.01,PC,1393.67584,0.004156,10.175948,low SNR; possible instrument systematic; source is possibly 42054566 which is 4.24 as away
173,42123111,PC,PC,15.0,"14,15",,1334.01,PC,1686.4671,0.00044,4.0334900000000005,
174,42755801,PC,PC,40.0,6,V shaped,894.01,PC,1470.15594,0.00247,4.34358,V shaped
175,42821097,KP,KP,12.424889,6,CoRoT-19 b,548.01,KP,1468.686297,0.0012369999999999998,3.895456,CoRoT-19 b
176,43064903,PC,FA,8.720191999999999,15,Potential L1 candidate; could be 3 x period.,1276.01,FA,1712.548761,0.0025239999999999998,6.264298,Potential L1 candidate; could be 3 x period.
177,43647325,KP,KP,329.0,5,WASP-35b,423.01,KP,1440.12315,5.9999999999999995e-05,3.1616400000000002,WASP-35b
178,44631965,PC,FP,79.082832,17,,1461.01,FP,1767.3170519999999,0.00015,3.568678,
179,44647437,PC,PC,12.083445,"4,5",,435.01,PC,1411.843915,0.000301,3.3530620000000004,
180,44737596,PC,PC,31.310287,"4,5",,552.01,PC,1413.062549,8.9e-05,2.788503,
181,44745077,EB,FP,16.0,"4,5",v-shaped due to short transit duration,436.01,FP,1411.70271,0.00016999999999999999,1.8756,v-shaped due to short transit duration
182,44745133,KP,KP,12.0,"4,5",,1911.01,KP,1415.75534,0.0015400000000000001,7.81876,
183,44792534,PC,PC,93.0,"4,5",evolved star; possible spot crossing,954.01,PC,1411.90855,0.00013000000000000002,3.6847,evolved star; possible spot crossing
184,44797824,,,20.682949,"4,5",Candidate 3 is phased with the photometric modulation; may just be variability from detrending,865.01,PC,1411.586361,1.8e-05,0.7455890000000001,Candidate 3 is phased with the photometric modulation; may just be variability from detrending
185,46096489,,KP,103.528023,11,WASP-16b,818.01,KP,1598.0727769999999,8.4e-05,3.118536,WASP-16b
186,47316976,,,22.0,2,single transit,288.01,PC,1364.46064,,,single transit
187,47384844,,,9.0,9,low SNR; could be instrument noise,1022.01,PC,1547.4479999999999,0.00677,3.09574,low SNR; could be instrument noise
188,47423120,,FP,230.0,2,The period could be half;,352.01,FP,1356.83006,0.00022,11.6235,The period could be half;
189,47425697,,,10.0,2,a little v-shaped; possible EB,364.01,PC,1354.46949,0.00018,0.49393000000000004,a little v-shaped; possible EB
190,47484268,,FP,16.452566,2,The second event is not real. Single transit (no period).,226.01,FP,1358.500535,,,The second event is not real. Single transit (no period).
191,47525799,,,22.171879,2,single transit (no period); centroid information is hard to interpret,225.01,PC,1355.118503,,,single transit (no period); centroid information is hard to interpret
192,47617161,PC,PC,33.0,11,no TIC or Gaia stellar parameters,1973.01,PC,1602.13159,0.00047000000000000004,3.91899,no TIC or Gaia stellar parameters
193,47911178,KP,KP,179.145035,6,WASP-101,471.01,KP,1470.303946,8.4e-05,3.5856169999999996,WASP-101
194,48103627,PC,CP,31.02104000000001,9,large planet,657.01,CP,1547.312553,0.000539,4.569904,large planet
195,48188920,,FP,10.0,14,,1159.01,FP,1683.94707,0.0002,0.73774,
196,48476907,PC,PC,12.043224,9,two stars of similar brightness in the same pixel - 48476908 (T mag= 9.486),658.01,PC,1543.70074,0.001021,4.719906,two stars of similar brightness in the same pixel - 48476908 (T mag= 9.486)
197,48476908,PC,PC,12.275165,9,two stars of similar brightness in the same pixel; we released 48476907.,659.01,PC,1543.699323,0.000897,4.720083,two stars of similar brightness in the same pixel; we released 48476907.
198,49079670,PC,PC,21.0,"6,7",,641.01,PC,1470.20305,0.00016,1.8925299999999998,
199,49687222,PC,FA,8.44698,2,The transit shape looks asymmetric but it is not near known systematics; recommend to confirm signal on target before follow up.,254.01,FA,1360.073308,0.003807,20.186539,The transit shape looks asymmetric but it is not near known systematics; recommend to confirm signal on target before follow up.
200,49710555,,,16.0,2,possible centroid shift,291.01,PC,1359.62204,0.00381,12.07397,possible centroid shift
201,49771092,PC,PC,7.629786,6,marginal signal,542.01,PC,1469.060024,0.00042199999999999996,1.63127,marginal signal
