rowid,TIC_ID,TESS Disposition,TFOPWG Disposition,Planet SNR,Sectors,Comments,Full TOI ID,Group Disposition,Orbital Epoch Value,Orbital Period Error,Orbital Period Value,Public Comment
637,154872375,PC,PC,85.16721,"14,19,20",5.5 sigma odd-even,1135.01,PC,1684.151629,0.00035,8.02802,5.5 sigma odd-even
638,154927364,PC,FP,126.0,19,large; possibly synchronized,1647.01,FP,1688.9920100000006,0.0003,6.9737800000000005,Radius too large; follow-up suggests a low-mass binary companion
639,155005217,PC,PC,42.0,16,Possibly twice the period,1369.01,PC,1741.68632,0.00112,7.60475,Possibly twice the period
640,155044736,PC,PC,13.0,"7,8",,1015.01,PC,1493.0806699999994,0.00036,1.37259,
641,155114483,PC,PC,54.0,"16,17",Possible secondary; two stars in pixel; >3 sigma centroid offset,1370.01,PC,1740.10211,0.0002,5.2649099999999995,Possible secondary; two stars in pixel; >3 sigma centroid offset
642,155986102,,FP,26.0,2,Likely FP; the period is twice as reported; there appear to be a second event in the data.,337.01,FP,1360.6173099999999,0.00112,6.8716800000000005,Likely FP; the period is twice as reported; there appear to be a second event in the data.
643,155995204,,FP,26.0,2,big;,384.01,FP,1357.5838099999999,0.00218,9.30734,big;
644,156002449,,,59.0,2,Big;,324.01,PC,1357.7274,0.00063,5.2852,Big;
645,156016136,PC,PC,14.0,2,,371.01,PC,1357.43733,0.00073,3.4805,
646,156075294,PC,PC,31.0,2,,299.01,PC,1354.69581,0.0012,5.72144,
647,156115721,PC,PC,36.0,"7,8",Two stars within a TESS pixel,1006.01,PC,1493.67736,0.0005,2.5044299999999997,Two stars within a TESS pixel
648,156724719,PC,PC,53.0,"18,19",Period could be double; need stellar radius; Gaia plx=1.3,1653.01,PC,1818.1276300000002,0.0010400000000000001,10.95475,Period could be double; need stellar radius; Gaia plx=1.3
649,156987351,PC,PC,9.201258,6,check timing of possible pulsations; giant planet or EB; GAIA Rstar=2.3Rsun,476.01,PC,1469.873622,0.000493,3.062959,check timing of possible pulsations; giant planet or EB; GAIA Rstar=2.3Rsun
650,156991337,PC,PC,13.0,"6,7",,691.01,PC,1474.38669,0.00143,6.9074100000000005,
651,157225097,PC,PC,25.0,23,in-transit centroid offset of ~ 1 pixel but no ephemeris match,1854.01,PC,1931.88185,0.00029,2.52618,in-transit centroid offset of ~ 1 pixel but no ephemeris match
652,157266693,KP,KP,35.0,10,,1929.01,KP,1574.0190599999999,0.00062,3.8530599999999997,
653,157568289,PC,FP,113.0,"6,7",Either diluted or blended PC: matches 17000 ppm deep eclipse on 157568287 of dT=1.8 mag; need SG1 to check on which target,645.01,FP,1468.73679,5.9999999999999995e-05,1.8405099999999999,Either diluted or blended PC: matches 17000 ppm deep eclipse on 157568287 of dT=1.8 mag; need SG1 to check on which target
654,157586003,KP,KP,30.995977000000003,26,WASP-153 b,1626.01,KP,1684.67452,0.0,3.33069,WASP-153b
655,158002130,PC,PC,14.07206,14,followup in progress,1180.01,PC,1691.048241,0.00344,9.692136999999999,follow-up in progress; level 1 candidate
