,Unnamed: 0,TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH
0,0,450334304,2611.192131396757,0.9992916357048968,8.587090630423559,0.06852444446610129,5.302005390805845,8.20899963,4150.35009766,18.6912,3,0.529,0.231,4.0,0.023583554277754742,0.9993363481454448,0.9995562032185428,3.077862079418945,22.153072507294816,4.568660068751519,,544.94,,,2,4,175.614454110525,41.05103981757,-13.071,-12.975,18.41742832,0.205
1,1,154105890,2614.690301314772,0.9929770791640136,5.585135937125009,0.03414005179054413,1.5795393684988337,13.0635004,5997.0,1.2487700000000002,4,0.3345,0.2282,4.29043007,0.07728363393141757,0.9922707661625736,0.9946821187971714,2.044334138550723,15.086391457170606,13.915417299542089,1.11,756.221,1.81716871,0.570002,3,4,210.513590637097,71.3267611521694,-9.54231,-0.314628,9.54749553,
2,2,232611960,2612.759997756795,0.9969564151432374,1.9332258877653503,0.0036283346354120116,0.4267325095856293,13.66580009,3391.0,0.292639,11,0.1555,0.4459,4.93392992,0.051571664963252765,0.9969055712531072,0.9966185649728256,0.13442735044256107,4.04050918144876,5.102944492863996,0.268241,67.1974,0.0102016469,10.7036,4,2,258.92181886475,61.7303275147954,-51.5341,166.378,174.17635416,
3,3,4994918,2610.8648531055146,0.9994037244751999,1.1627452105493952,0.004142587016187528,1.2856302115446263,11.70440006,5346.52001953,0.86721,18,0.4036,0.2028,4.52560997,0.02226886791296887,0.999318621485559,0.9996055463466772,1.0227348518752828,5.4113659704717385,6.6726749171018405,0.92,230.665,0.5536405,1.41064,1,1,160.737332305668,31.9569655707455,-27.8334,-1.46817,27.87209498,0.26164299
4,4,252483474,2611.5168645608005,0.9993545401847792,1.018152915869917,0.0010247213731414684,0.24173640162949184,11.42080021,6023.14990234,1.13495,20,0.3345,0.2282,4.37732983,0.023429512532662858,0.9988344442933654,0.9992704177980984,0.8286814508331484,5.255250069440557,5.846022898079772,1.12,321.556,1.527362,0.766107,2,3,156.256623074044,48.9348693305803,-35.5345,-11.4638,37.33790836,0.1
5,5,70666157,2610.0435909393705,0.9995620296042564,0.9896520893765328,0.0018945206718160574,0.5450200368639695,11.17399979,5185.06005859,0.822701,22,0.4136,0.1999,4.55207014,0.01905248444426231,0.9994978117327756,0.999624548003358,0.4206928235456682,4.197871466684277,4.881358865896599,0.88,159.269,0.440751135,1.58036,1,4,155.496525565937,16.7614430421082,-73.4209,-14.5028,74.83956016,0.212
6,6,160603519,2611.361484410149,0.9832291587529302,0.7828765774707565,0.002904227064540632,1.8522291498726733,10.8135004,3819.0,0.912059,27,0.2581,0.3609,4.28144979,0.11966295905905475,0.9837698808647076,0.9840297552206356,0.8589787275369439,53.456554315695534,13.827073409572082,0.58,75.3893,0.159418762,0.764467,4,1,244.911425661951,76.9212814814141,-65.1351,-109.923,127.77185598,
7,7,441807753,2611.3445660555053,0.999289102069358,1.2524914496760484,0.005442116174732893,1.8594857412921744,8.68638992,7346.0,1.57969,17,0.2438,0.2464,4.26312017,0.024978619199762485,0.999392771133898,0.9992114067159832,2.468522431728407,25.08918438155096,8.474814741411755,1.6680000000000001,175.923,6.54697227,0.42313900000000004,4,1,266.177248323003,73.9802365034377,7.90385,-10.2547,12.94718954,
8,8,154511165,2612.721149169633,0.6680239955325761,0.8399936946828254,0.0029056577147869023,1.8065619139265807,11.95189953,6730.0,1.7235200000000002,22,0.3158,0.2206,4.12057018,0.533689372169087,0.6676383534569449,0.6683164131543945,0.1257226571261572,381.1253619407209,22.035977330968,1.43,754.404,5.490196,0.27931,3,1,187.102913026906,74.2353901423622,-21.0709,8.93223,22.88596862,
9,9,219730823,2612.494118755154,0.9991288084110046,9.471865578524936,0.04930686137396911,1.5811912878431262,5.77586985,4840.0,7.1799300000000015,2,0.4416,0.2763,4.0,0.026511013078002885,0.9991394742155236,,,25.71379977614161,7.936462222209357,,101.986,,,3,4,229.344246089934,74.0451399506274,-16.3814,33.3458,37.15228988,
10,10,289570571,2614.515368140104,0.9998601497818521,9.745316273026141,0.2737494078446412,14.133007196608606,5.25342989,3941.67993164,34.115,2,0.5718,0.2059,4.0,0.010411319476870207,0.999886527442388,,,15.068902002617454,5.514305334474317,,232.96,,,4,2,251.816055797465,63.5315083173825,-67.4436,66.2113,94.51230305,0.171685
11,11,99254945,2610.8778250497007,0.8316128801783537,7.709783885284832,0.01483792303446485,2.253162688910201,11.02029991,4780.0,0.7546930000000001,4,0.4642,0.1807,4.56958008,0.370487193736322,0.8564467465149325,0.8561131702903524,0.04250937610597802,175.9289539890966,42.78775318828984,0.7709999999999999,116.818,0.267884076,1.79367,2,4,169.332333210101,39.7175554783054,-39.0405,-10.1834,40.34677528,
12,12,386954534,2616.9281732333857,0.9997378223259304,7.190219773938672,0.08675386609819657,4.4484398334715936,9.30967999,6520.0,1.57497,2,0.3276,0.218,4.17094994,0.01496736727806966,0.999795891757668,,,4.6216772815782985,6.685149561486888,1.341,195.459,4.038566,0.343254,1,4,157.893237212518,23.2952612060649,-17.3013,3.92874,17.74175808,
13,13,453446670,2611.7079150657955,0.9754045320897556,0.6501348354808492,0.002289704847566909,1.5130215226155732,11.78829956,7393.43017578,1.61731,31,0.2683,0.2357,4.24836016,0.14638859677492244,0.9749273819709698,0.977780719453308,9.109298356561007,46.72537530262592,11.329626315669925,1.69,752.7760000000001,7.04154253,0.399487,2,3,148.105279376485,53.2525643738347,-6.69298,1.99487,6.98394499,-0.465
14,14,160421373,2613.5686416586827,0.99947302232374,5.0379036051172426,0.034198732771711704,1.390974913603554,10.11380005,6978.0,2.4597,4,0.2961,0.2276,3.84099007,0.02133014204735677,0.9995070499419236,0.999566346479878,0.2822315613220041,5.769655459326213,5.2650275422882205,1.53,481.157,12.923619300000002,0.10281199999999999,3,4,234.85902837654,73.1301544440982,-12.0581,8.03404,14.48942974,
15,15,264299645,2611.126060813864,0.9999730933780002,1.049435400484662,0.004290422115994841,1.5482163549943682,5.88165998,9314.0,3.76342,20,0.1721,0.2726,3.66055012,0.004913310620976556,0.999973265598852,0.9999724923433879,0.050837349140073686,5.093616288780488,4.566054847014904,2.364,149.251,96.02969,0.0443505,4,4,296.076738576536,69.3370606865579,9.21027,-22.0114,23.86065388,
16,16,289718762,2616.584939146773,0.999174470363982,11.8170862427288,0.09292593264558756,4.451702106081066,5.58623981,4709.0,16.0805,2,0.4534,0.2702,4.0,0.025760206503165288,0.9991976615688488,0.9994023319296578,3.959672456744105,30.45684634876858,4.577282878730974,,197.731,,,2,2,159.335634744579,56.4313411753476,-45.6616,-5.85284,46.03517623,0.28089699
17,17,377390037,2611.271468919247,0.9968888084329772,1.8058919726146003,0.02272574190801535,4.307389111741504,6.84406996,7255.0,2.57538,11,0.2801,0.2331,3.82937002,0.05195998641906655,0.997155656438552,0.9971186332996436,1.3965568446769765,100.28217521204759,9.913746251058038,1.633,121.24,16.554962200000002,0.09560060000000001,2,2,161.499466640836,56.9208388214748,10.424,14.5489,17.89777269,
18,18,356669204,2609.9817704226616,0.9994425230108474,0.7182136020892901,0.0015539741900306714,0.13797857824307708,11.94400024,3690.0,0.5599649999999999,31,0.2315,0.3808,4.68535995,0.02188783090924001,0.9989823825032846,0.9990110570033716,0.035550285501242784,3.571793140561768,4.639597846955816,0.554131,78.4645,0.0523747467,3.15595,1,1,161.632429854267,35.3812909566624,-69.4299,98.346,120.38457846,
19,19,4891611,2610.7187552957903,0.9997776189290298,0.8112923390114786,0.0007383499425601125,0.4122577146349726,6.61619997,7690.0,1.7955900000000002,27,0.2353,0.2551,4.18491983,0.013981562160085193,0.9997879346796475,0.9997194009189952,1.1376754453831568,11.078235602186613,12.340752713736627,1.8,82.9645,10.158196400000001,0.310919,1,3,147.444474986492,31.0770150033144,55.067,-42.877,69.79120015,
20,20,149928365,2610.795055594953,0.9999470559191376,1.0236916369844091,0.006096958458563395,2.3959032210307654,6.43985987,10251.0,2.22077,21,0.1588,0.2544,4.1660099000000015,0.0069207474418188355,0.9999488610815666,0.9999513636416804,0.15761317916398318,8.724868671150288,8.77018984699574,2.636,126.45299999999999,49.064440000000005,0.240677,2,2,162.207796656192,65.1324916349817,5.62933,6.67321,8.73046894,
21,21,259100413,2613.914565960491,0.9992355456207604,7.22447396159865,0.014688876944314087,0.6474517861425039,10.14470005,6252.0,2.41132,4,0.3383,0.2164,3.75634003,0.02550839245809244,0.9993047820760128,0.999372649430061,0.20991108248781165,5.4938615478348165,5.746869606975576,1.21,394.291,8.003507,0.086302,4,4,291.131621994535,69.00786904752,-11.4854,-15.248,19.08968091,
22,22,219873138,2611.812811361131,0.9995614541762418,2.7540929481719942,0.01331340194465147,2.6662450112485376,5.96976995,4669.24023438,11.6881,8,0.4534,0.2702,4.0,0.018775456088494867,0.9995113418332268,0.9996848403353288,4.9320046347379005,29.828826591485342,5.921311411734928,,166.88400000000001,,,4,2,260.236275683746,66.5627218541918,-8.8287,55.896,56.58894556,0.109154
23,23,252465007,2613.1876172838042,0.9966899198058284,11.410014516681953,0.05175099742227207,2.0321831970129245,10.35050011,5369.0,0.814315,1,0.3947,0.2049,4.584969999999998,0.0525504018823272,0.9970627494150888,,,15.27789982864933,4.459909471201723,0.93,117.609,0.49642452600000003,1.72229,2,3,149.734356225972,49.8211880359563,-7.34527,7.27633,10.33914743,
24,24,229436791,2611.449106711416,0.998938623313718,1.0076921461640902,0.011662023222655473,2.3705418594550345,9.94299984,5845.0,1.15972,21,0.3622,0.3078,4.0,0.029644299907715083,0.9990635514746132,0.9990517274500521,0.1586582692327443,31.84070162127611,7.011203602586469,,148.666,,,4,4,293.265025308164,62.2430274391984,-4.3,2.4,4.9244289,
25,25,142372249,2612.489143178938,0.9994674441381356,2.4440569329653923,0.006434236221490863,1.135222039465888,11.17280006,3805.0,0.483546,8,0.1828,0.4015,4.83262014,0.02155153347038077,0.9994477980946632,0.9996677338056886,0.831504701556688,4.660977437439736,5.993415848742808,0.58,46.7256,0.0441560037,5.12995,3,2,195.593440980198,63.2825888108756,-25.2933,23.4497,34.49115039,
26,26,236784225,2610.759453407764,0.9967280014167256,0.9581100545159934,0.0018609502781570253,0.8908076107840186,9.71409988,7490.0,2.62514,23,0.2683,0.2357,3.83528996,0.0533932377019542,0.9965762629652396,0.9970994513023312,1.028041975832675,16.931669752727835,7.5642919601617535,1.72,479.8,19.540105800000003,0.095076,4,3,283.155534930636,57.283249224095,5.69243,22.0873,22.80904603,
27,27,356919408,2610.661126249917,0.9991610438614926,0.6676505210274994,0.0014391674394656495,0.0850750971495717,12.19950008,3905.0,0.624616,32,0.2946,0.3316,4.63054991,0.026649659218292248,0.9987176267105652,0.9977979014687572,0.781644217238827,4.2453715881000615,6.530426829752928,0.607725,110.044,0.08173443379999999,2.49384,4,3,273.64266286149,58.5322456926454,0.497761,72.7905,72.79220189,
28,28,148894196,2613.571946491545,0.9612145388561352,4.943398204170778,0.01685975356804148,1.1398873264673393,11.70740032,3807.0,0.682293,4,0.2581,0.3609,4.58359003,0.18197712259782567,0.9630095793523841,0.9617168038587032,0.5492227177347313,100.4426471350072,24.212858108771357,0.650827,99.0879,0.08809841,2.04905,3,1,184.509395133394,70.2720753992782,-53.2388,-3.01016,53.3238304,
29,29,462552201,2613.328626045769,0.9985552524926122,7.2898807982064815,0.02090446955893644,1.2910805620182837,11.47229958,3922.0,0.614105,4,0.2946,0.3316,4.63932991,0.034971801830245904,0.9987435959677442,0.9987330053285424,0.011604366896085957,4.332385315211321,6.0076891773576975,0.5994470000000001,77.9161,0.08039154,2.58835,3,4,225.105099750956,72.5260170607605,-76.9537,40.3756,86.90259501,
30,30,353894978,2611.324516236093,0.8315812400513669,1.6714667678619235,0.0048814231306146824,2.8426232020654703,10.31970024,6292.0,1.94345,13,0.3383,0.2164,3.95081997,0.3786191153515779,0.8390012784270672,0.8391510924265335,0.04552730206741274,1527.7435126837836,24.89778714900505,1.23,356.685,5.333327,0.16756500000000002,4,3,271.685973321098,56.4070563954253,-8.21445,-4.91412,9.57213478,
31,31,233657068,2611.669847585223,0.9988405931976059,2.9566403956231886,0.00838793323018261,0.8486364810036094,11.97809982,4479.0,0.70349,8,0.5037,0.1581,4.59050989,0.03056455514200865,0.998854667220192,0.9990533526783282,0.3817765642121913,5.325693259742437,5.206574181265385,0.703,145.892,0.17944634,2.0192099999999997,4,2,259.719354646706,64.5488464427714,8.66225,26.7362,28.10442964,
32,32,165528645,2610.7299405913886,0.992282226443257,1.0426959077724645,0.004697110308981123,1.6982985318128925,13.66779995,3013.0,0.190131,21,0.1933,0.5347,5.08234978,0.08082517817552329,0.99230897825424,0.9932527818620784,0.9689569301551773,19.390227370872413,9.350471184181393,0.15936199999999998,32.5541,0.00268409029,23.186,4,3,266.053263991797,55.8305856588305,13.9476,266.167,266.53218837,
33,33,230062436,2610.4399634277656,0.9994631490086828,2.0821782464068432,0.012995492745820236,2.0536480237142287,9.89239979,7129.0,1.96844,11,0.2801,0.2331,4.05121994,0.021584029807906968,0.9994275195045372,0.9995898854026822,1.5951386730670454,13.429664480927816,7.1057132864130335,1.59,364.162,9.016788,0.208465,3,3,229.68417432292,67.0559033234764,-8.56599,6.35215,10.66423904,
34,34,172516274,2614.398314285612,0.9997285049990404,5.062338647923394,0.047121558367534185,2.8816590257058845,9.14080048,6476.0,2.76828,4,0.3237,0.2388,3.67422009,0.015211679372043272,0.9998261581138441,0.9996483415347418,1.7295521870970254,7.203121315925159,7.0080856219730565,1.32,312.306,12.1434164,0.0622222,1,3,142.479854960197,27.163851915647,-0.575033,-2.59461,2.65756731,
35,35,199658044,2610.865664253008,0.9998853339130741,0.7580863251752106,0.0010219474315785737,0.3602688093444373,8.66769981,4948.0,0.7013199999999999,29,0.4508,0.1887,4.65471983,0.009686555003199657,0.99991034700487,0.9998325796878904,0.8778137016345091,4.026273350432863,4.628194697280585,0.81,39.9294,0.2656107,2.34821,4,2,250.808253747714,58.5238823026196,50.5415,-231.804,237.2499476,
36,36,280033934,2611.5406206540983,0.7932210355644816,0.8361323799342293,0.0020239778963581645,0.9041296955051727,10.51930046,5376.0,0.965349,25,0.3947,0.2049,4.43810987,0.4153459325820816,0.8048545647914908,0.8054801711270296,0.14635178962967932,47.111006145856116,13.909870923885446,0.932,141.635,0.7012946999999999,1.03601,4,4,297.58946706991,70.2876512602732,46.2796,61.5244,76.98735722,
37,37,289722957,2612.24303801985,0.4338448875666957,2.217760726840957,0.011397503262005726,3.875597284528655,11.51039982,7069.5,1.97732,10,0.2961,0.2276,4.03904009,0.6991419399791674,0.4704819869512512,0.4683663794863341,0.17599487532065958,313.74882396773563,18.91144583939493,1.56,741.296,8.798364999999999,0.20178800000000002,4,3,274.180502886651,53.2464959098844,-13.7696,9.36897,16.65471354,-0.042
38,38,287231900,2610.790277190198,0.9992510509342872,0.814184552398425,0.004503679812778161,1.9275723016301904,11.35429955,3678.0,0.494781,26,0.2315,0.3808,4.74198008,0.02536970362666444,0.9994333220594014,0.9992031220499736,1.246294881953552,10.472392182618508,8.793037249686833,0.492874,51.3789,0.04036153,4.06909,2,2,151.10016532644,61.6642393205302,82.5177,22.0338,85.40877681,
39,39,99269890,2610.5697577831093,0.9922028922667524,0.7995856278312473,0.0010838405505184667,0.4112260995250997,14.02229977,2940.0,0.178739,26,0.1998,0.5387,5.10537004,0.08110345267350297,0.9924812470119404,0.9929072244661176,0.1905828354391608,9.073222358777718,11.141052018624857,0.148505,,0.002150417,26.0066,2,4,169.540336942482,38.4885933053369,-131.0,-80.0,153.49592828,
40,40,219100626,2611.15557745724,0.9989128597480872,0.6240375018841704,0.0008044502939703603,0.3586746261310762,9.59936047,7485.0,1.64722,33,0.2683,0.2357,4.24060011,0.030776731185872118,0.9991016170953724,0.9987605370088576,1.6583756120908961,13.996966909306938,10.789762717157632,1.722,284.857,7.67295647,0.385285,4,1,270.316746027238,71.2130588273526,-6.47696,8.4104,10.61535864,
