,Unnamed: 0,TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH
0,0,140274823,2229.377000210104,0.8824688056566138,0.6651738058439064,0.004095705526691751,1.7779896668228323,14.17430019,6000.0,,36.0,0.3685,0.5069,4.0,0.3052294528756411,0.9054745089329594,0.8958663686478314,6.096821607096378,181.70650811600743,11.421019699377362,,2988.49,,,2,4,115.826382041751,-19.8560337422297,-8.12362,-1.66099,8.29168799,
1,1,141652585,2230.157675894981,0.9703004814276759,6.0397502999951,0.1005234155574346,1.90672933179246,14.30799961,6000.0,,3.0,0.3685,0.5069,4.0,0.15343504612801126,0.9984504554183272,0.9558750237944788,6.1009370023538185,18.96886940726048,5.37146212854833,,,,,2,4,117.563462039738,-20.2241848050025,-9.27565,4.05536,10.12341976,
2,2,280369845,2240.8931584123247,0.9973512859233348,12.408178713378014,0.05789933028995176,1.094514294091427,6.33799982,6000.0,,2.0,0.3685,0.5069,4.0,0.045821299668799366,0.9970684382999332,0.9982180334012531,1.7046308010487488,13.05230168540363,6.232864562612472,,60.5769,,,1,4,115.029205,5.231104,-4.8,-24.4,24.86764967,
3,3,452838600,2229.299428165168,0.9998967755852856,2.188631096175199,0.01006188276872022,3.4978054697656202,8.58150959,5739.0,1.68435,12.0,0.3726,0.2129,3.99592996,0.009313495374533548,0.9999354727738248,0.9998760372577592,1.4583291514633951,6.426082292390686,5.3972485636345,1.025,121.744,2.77270079,0.21450100000000002,1,1,120.056355487816,0.213851424856824,52.7904,-3.61209,52.91383114,
4,4,265353022,2234.9383265114247,0.9996007313411988,7.669835036569487,0.022834057730419133,1.5744727515482555,9.6491003,5926.0,1.19386,3.0,0.3539,0.3109,4.0,0.0182065783444981,0.9997462445597368,0.9994913402513116,1.229057450376101,4.951406818758416,5.196222443872451,,143.08700000000002,,,1,3,133.680272134075,5.46579395032016,5.2,-34.4,34.79080338,
5,5,1038577,2229.5745109862687,0.9975534607074832,0.7529034229680932,0.0010363451713329974,0.4499301365071624,11.65919971,7582.0,1.66143,31.0,0.2353,0.2551,4.24261999,0.04637488938085897,0.9976033166333996,0.997781732879968,0.4630409780573741,14.785072393262405,14.568292187491185,1.76,749.205,8.218492,0.383768,1,2,130.491688111525,-12.4597380122843,-3.65639,2.19821,4.26629992,
6,6,81606110,2229.39351080204,0.9998266508035628,1.2950749292631594,0.010646663357240405,3.3716538813208903,8.10000038,6319.0,1.26532,19.0,0.3174,0.2305,4.33058023,0.01217987492373249,0.9998716079786422,0.9998145163384444,1.4335965256081218,11.069175271557226,7.597518908644117,1.25,86.7779,2.2997799999999997,0.617039,3,1,123.4025125217,-45.9589803157951,12.9399,3.66448,13.44877042,
7,7,434425683,2229.2531890979394,0.998909120874354,2.2498346720183617,0.008943311873092608,0.4708540298921086,11.40509987,3275.0,0.352142,12.0,0.1529,0.4604,4.87185001,0.030847590850842637,0.9991697692474928,0.9975075337827464,1.8393316318022441,4.841884295936472,4.065925222723623,0.33668200000000004,28.1753,0.012852143500000001,7.710210000000001,2,3,128.124462856137,-23.38924870378,-112.532,99.5652,150.25538285,
8,8,139691604,2229.6672561256514,0.9941928632483032,0.7624799277171417,0.0034997796164987216,2.0556767965645784,10.97350025,6000.0,,31.0,0.3685,0.5069,4.0,0.06784703764688246,0.9952739213454652,0.9945614374335048,2.1434469059576875,32.635578115888144,7.7369045853492535,,4287.65,,,3,1,126.55727146216,-46.1403711033922,-3.62289,3.75143,5.21522377,
9,9,404804908,2229.3175469099638,0.991296143926978,2.2083011933365486,0.007256443615180297,1.6451560187454184,10.86900043,6000.0,,12.0,0.3685,0.5069,4.0,0.08306263687613462,0.991988390174838,0.9933721728672468,3.9801286320589866,95.53075928577343,18.468438572458748,,243.345,,,4,4,84.763423,-70.902839,16.0,1.9,16.11241757,
