rowid,TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Disposition,Group Comment
10,136916387,1639.139580972212,0.9994617858787485,11.75572223319532,0.13343637756984886,1.4943225343112154,5.00199986,5739.0,1.02607,1.0,0.371,0.2094,4.51000023,0.021280773061422342,,0.9995052770673076,,20.577244692042125,9.759842971361717,1.03,14.682,1.02894092,0.9534790000000001,KP,nu 2 Lup; first event is a planet b transit; momentum dump at T0=1643 contaminates second planet b transit; second event is a single planet c transit
11,407126408,1625.2115862582075,0.9991789840275308,11.097833892821065,0.05576418129708927,2.9271270691967324,9.5710001,4948.0,0.732535,3.0,0.4508,0.1887,4.60394001,0.0259195618533974,0.9992880458263349,0.9992394053633544,0.28579395088811016,13.340918132101624,15.224643931401234,0.82,65.1769,0.29473206399999996,2.08607,PC,High priority; small (2.56 Re); potential multiplanet system; will see again
12,139198430,1333.0905271611148,0.9983934986966913,8.093304779503745,0.022008180649911502,0.8880722651344184,9.2670002,5984.0,1.21977,2.0,0.3484,0.3103,4.30751991,0.036562960213149816,0.9963549744114828,0.999787835093148,11.039925924088411,20.388680283390066,5.909990580160997,,135.265,,,PC,V shaped. Second event might not be real. CTOI from Juha Lipponen
13,101955023,1544.716555194519,0.9972459636072922,1.62862665995999,0.003990296348198474,0.7186522797019304,10.93799973,3202.0,0.22640700000000002,14.0,0.1529,0.4604,4.86374998,0.0490137322120953,0.9976116360365328,0.9972905229274196,0.9918710436789804,22.689765426273322,23.146848345009907,0.195794,12.613,0.00522249,16.8706,KP,GJ 1132b
14,1129033,1410.98636162658,0.9846442008220856,1.3598405646607803,0.001464425885066678,1.7608097781168035,9.50199986,5500.0,0.933975,18.0,0.3785,0.2075,4.48297977,0.11352248438113295,0.9849961823840536,0.9856890248395672,3.3198418245076167,521.4821137502178,40.22667514659759,0.991,105.166,0.7756530640000001,1.21638,KP,WASP-77A b
15,447283466,1550.1908812461807,0.9979117450633485,6.595250547472022,0.0444147552180989,2.7562185132449826,7.83189011,5225.0,0.684487,2.0,0.4913,0.1645,4.73332977,0.04109763249887765,0.9981111252506176,,,30.778870745030986,5.554507303167111,0.74,23.7748,0.194647908,2.30747,FP,crowded; need SG1 to check neighbors
16,66818296,1630.8611858502786,0.9830892402935956,3.736099197118347,0.020236368788568715,3.3559412044027828,11.0,6650.0,1.57323,6.0,0.3276,0.218,4.1638999,0.12020682375444612,0.9837637759299444,0.9843635079695844,1.5670398246201278,127.48208840197869,19.97218595407611,1.354,405.908,4.0993557,0.34772800000000004,KP,WASP-17 b
17,266980320,1329.2054669579347,0.9984249131862092,6.033476012158796,0.029789817426776114,1.89832479570646,9.15400028,5586.0,1.05168,4.0,0.3862,0.2061,4.36763,0.03630725004607671,0.9986038060788164,0.9985684102740424,0.2520793423626084,32.03248668222501,18.64647172134929,0.97,94.1719,0.9298624,0.833917,CP,
18,364107753,1628.0976915831814,0.9997691311819136,3.9041772475663166,0.02498367892283726,3.2489096992519158,7.017000200000001,6059.06005859,1.30863,6.0,0.3276,0.2297,4.28999996,0.01402923787068347,0.9997804654479,0.999759075293583,0.6380737444820723,20.179934309765827,13.25363217944927,1.13,51.8209,2.07945681,0.504228,FP,High priority (2.7 Rp); bright; nearby star
19,23434737,1553.078779393246,0.9997473654231996,11.847529824958935,0.08456155187135382,5.88354625409443,7.96799994,5742.22021484,1.17321,2.0,0.371,0.2094,4.28999996,0.014579957272652828,0.9996287095797964,0.9999259477042428,4.8281385865310895,11.020505212059165,5.3177275796468235,1.03,64.9943,1.34823787,0.637835,PC,
20,61538902,1573.693712379747,0.9877743947792108,5.743687383984248,0.031165900217998036,2.4164329583799664,11.30200005,5900.0,1.1278299999999999,4.0,0.3345,0.2282,4.52994013,0.10196798379936313,0.9891958293549672,0.9894014656643724,0.3243780989914905,74.19004950811863,17.587413014283214,1.1,301.462,1.46257544,0.766755,KP,WASP-129 b
21,44797824,1412.374231099252,0.9912710218462008,1.4986096354392986,0.015069023614220913,3.6937037381671036,9.77400017,5181.0,1.19844,15.0,0.3947,0.2049,4.14485979,0.08533721925833647,0.9927936080563524,0.9920220987987259,3.703304569026825,78.04377458797781,7.79109328045701,0.95,136.02200000000002,1.13825357,0.551916,PC,Candidate 3 is phased with the photometric modulation; may just be variability from detrending
22,307111282,1791.2930883871365,0.99865302712285,6.636772284306677,0.04688774619561986,3.397695087478663,10.29780006,5791.0,1.21025,3.0,0.3495,0.2247,4.28893995,0.03375805685629535,0.9960254357955708,0.9999738541185688,18.48763703849185,17.083832858934898,4.27363709257019,1.0390000000000001,186.665,1.484076,0.5861310000000001,FP,single transit; other signals in raw lc between 1780-1785 BJD
23,154618248,1361.5422897209714,0.9991772535094504,8.779679054338063,0.024957178702623928,1.0992498710986391,8.44099998,6208.0,,3.0,0.3339,0.3162,4.0,0.0262262476557274,0.9992993272046112,0.9992970110520256,0.013101216036781212,15.141553992500212,9.048272958585,,126.730667,,,PC,"The target is two stars separated by <1""; TICOffset and OOTOffset not significant; no other star at the location of the centroid shift indicating signal likely on target"
24,178709444,1572.6737722935559,0.961693196968646,3.4737800566088395,0.010750042096023591,0.9224714038100033,13.49699974,3399.0,0.426785,6.0,0.1529,0.4604,4.914680000000001,0.18279776881638907,0.9648408285203908,0.9626156815024912,0.4818479533507841,27.636150086404122,19.84578583484319,0.421357,98.4458,0.0193669759,5.4202900000000005,PC,Likely EB
25,44631965,1767.3191207770635,0.9811645919207151,3.5678902667954953,0.012068681863001808,1.6156376850101877,11.38049984,6046.0,1.28529,5.0,0.3345,0.2282,4.26928997,0.12656574072194968,0.9816177689273043,0.9818378668393438,0.3715198372145904,105.30793889025166,20.616409776011807,1.12,359.959,1.98869312,0.5274939999999999,FP,
26,403224672,1325.5396284424248,0.9998002573706124,1.0078110739169717,0.0027404280337701703,1.3685867556080815,7.357999799999999,5795.29003906,1.1318700000000002,27.0,0.3495,0.2247,4.0,0.01299970198094838,0.9998143083555494,0.9998128826542988,0.06024532089350894,22.27706339011138,18.755202403805498,1.04,48.0883,1.30192769,0.71721,CP,
27,29960109,1411.66125271539,0.9979634303651648,2.490990212325773,0.006564602337819414,0.243411971600768,10.72000027,3856.0,0.446984,9.0,0.1555,0.4459,4.71930981,0.04218597368084283,0.9975788152295204,0.997285306472828,0.3354120623708902,7.900299848202369,10.732745394436767,0.4433220000000001,37.8932,0.0255008731,4.96413,FP,may be on 29960110
