,Unnamed: 0,TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH
0,0,410451312,2282.613437868286,0.998160905245126,0.6314706987797997,0.0005784375215806548,0.39916233838562337,10.55309963,7744.0,1.6446,34.0,0.2448,0.2339,4.26840019,0.04021604877428199,0.9981107772822804,0.9982515596229408,0.4976129678244669,15.664166997328525,14.204124416793489,1.83,425.154,8.76349449,0.411405,3,3,120.028236174587,-60.4189922139639,-5.22113,11.3723,12.51356887,
1,1,55652035,2283.2168951869394,0.997514662969134,0.6138483290760304,0.001407594152517011,0.6916396242120186,10.13360023,6919.33984375,2.50818,33.0,0.3026,0.2256,3.81833005,0.04627310986586825,0.9975643828944716,0.9977195934021812,0.5817474445848443,21.62258696999797,8.149730917298228,1.51,489.642,12.991888000000001,0.09569710000000001,4,3,73.9974048188325,-61.0947049044289,5.55139,11.8036,13.04388377,-0.37416101
2,2,179369863,2282.7674948533154,0.9997576851917116,0.7568904497618318,0.0010948538250061255,0.44952668241189575,8.53199959,9294.0,3.00942,28.0,0.1748,0.2433,3.85402012,0.014777349784361526,0.99977093273468,0.99975622506173,0.18752482581898802,8.363435777680737,6.736106866356052,2.36,364.699,60.8793449,0.0865895,4,4,80.1231860941565,-71.533701395376,12.9082,23.1607,26.5148949,
3,3,146897920,2285.3952800232496,0.9993661402458828,7.157514232724654,0.10165279895672574,5.163047780070944,9.41219997,7554.02001953,2.06826,3.0,0.2353,0.2551,4.04990005,0.023604965936358628,0.9995189598173132,0.999259565041854,1.9701898623887573,14.893760367350804,8.124728901278841,1.75,304.823,12.5491877,0.1978,2,2,161.006387599438,-47.3584460920155,-25.1949,6.61921,26.04989303,-0.26729301
4,4,80296685,2282.199897745196,0.9996361426139864,10.588861354935856,0.12315864442815536,4.691148326419303,8.35739994,6704.0,1.95131,3.0,0.3158,0.2206,4.00969982,0.017668545741516703,0.9997380300373112,0.9995333368003796,2.8269274446581405,13.64776882541391,5.403579660012988,1.42,157.533,6.92918825,0.19112200000000001,2,2,165.030515282084,-50.4941753282189,-23.5981,9.70398,25.51543751,
5,5,295072161,2284.620563343078,0.999569106734408,4.272861730698383,0.014716801869926409,1.1876406589902042,10.0447998,4470.0,0.70512,5.0,0.5037,0.1581,4.58663988,0.018633095522505857,0.9994626388867148,0.9998049732106868,1.429365189964915,4.285393091760228,5.959900247499901,0.7,61.3544,0.178834558,1.99668,4,4,72.6782211420824,-70.3544366802519,63.5529,-75.8864,98.98341681,
6,6,75048615,2282.8333335300267,0.995544913477823,4.5853767879609695,0.023859489496855343,0.4709941287328122,13.90950012,6000.0,,6.0,0.3685,0.5069,4.0,0.05942619653559905,0.9958554584157168,0.9936360354967116,0.6614674430433777,4.230104332005693,7.771596089066034,,,,,3,2,138.432882879502,-47.7901076041868,,,,
7,7,286156790,2282.437839315065,0.9889787283175738,0.7752455545917977,0.002986286435570363,1.5787056310868648,9.30790043,6000.0,,28.0,0.3685,0.5069,4.0,0.09346859566077716,0.9892823696313996,0.9911326969423816,2.9064356996892835,33.510858171099784,9.467025868876268,,90.3267,,,3,3,123.829038206661,-49.2224082399922,-29.1926,-95.4087,99.77488627,
8,8,140349824,2282.082313948205,0.9976030346015352,0.6658803346280928,0.0012190989999674715,0.6356887492787018,4.8586998,7450.0,3.04036,33.0,0.2605,0.2581,3.70520997,0.04566967748379812,0.9982057745263628,0.9972799732318326,4.203549725848914,20.15380713891663,7.920364521859591,1.71,59.9442,25.6549015,0.06084439999999999,3,3,126.902440276607,-53.0884788655803,-66.9714,25.4572,71.64661506,
9,9,34734149,2282.183770116565,0.9972652006193596,1.2561133896857741,0.0021497381720386732,0.5532389064335157,9.194299699999998,8037.0,1.74755,17.0,0.2273,0.2465,4.24101019,0.04914507170625183,0.997652412671845,0.9970979664831164,1.9362586961599315,17.766661322872018,7.925670273006804,1.94,269.469,11.4796276,0.36351,2,1,147.137764595261,-45.5598902018877,-30.2492,5.18251,30.68994152,
10,10,162481379,2282.586417233409,0.999567607474027,1.4381235074391658,0.008530727705823193,2.600055662629689,8.41940022,7224.0,1.66806,16.0,0.2801,0.2331,4.20315981,0.019370674420301173,0.999550626731408,0.9996555889549862,1.7320809818981822,17.935723112703222,7.291676489317994,1.62,155.153,6.82696724,0.349045,2,2,169.840410912417,-41.9800067777186,-55.6187,25.2652,61.08821589,
