,Unnamed: 0,TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH
0,0,737163462,2064.0715105642003,0.9990421341854844,5.5561472833336465,0.04198916346642178,2.024056738246426,5.87050009,5833.0,1.48521,4,0.3662,0.214,4.11568022,0.028403845632342325,0.999147066366408,0.9991764395306344,0.11242095848337202,9.330821715095787,6.0438409545494975,1.05,31.9241,2.30058,0.320499,4,4,96.1108432685523,-63.4290062004914,-17.3701,-87.1708,88.88458104,
1,1,279614617,2067.937616348352,0.9961964631835692,6.589670825007117,0.05258154670675852,2.2338086650253777,9.15359974,5522.77001953,3.2881,2,0.3859,0.2899,4.0,0.05595088003564835,0.996276957448448,,,46.28438828464492,11.105548083310175,,279.505,,,4,4,106.301325727989,-57.5704793558467,1.68808,-16.2878,16.3750433,-0.108513
2,2,278078825,2073.701523396179,0.9970190609744408,11.885873092005331,inf,1.5029264848943389,8.86680031,5478.0,0.896317,1,0.3862,0.2061,4.51541996,0.04994794843441906,,0.996732608169662,,31.68807855494064,11.665003190778412,0.96,68.3882,0.651788,1.33317,4,2,106.597766913893,-78.5443941082984,-5.43679,66.5551,66.77679254,
3,3,137812873,2062.4732254415844,0.9994273412756984,2.6018678362513974,0.009849008188328678,1.4398339712411314,11.44499969,5347.0,0.969598,8,0.3987,0.2865,4.0,0.021661207855438,0.9996103463149284,0.9992682249577032,0.9907072682750048,4.6157838406234655,4.761884478632233,,233.153,,,1,3,335.158677164624,-22.0296793544383,20.3972,8.89481,22.25226759,
4,4,149473467,2062.708047286814,0.8181004150888778,1.0945375448555714,0.004203751629937136,2.613143593722985,9.29730034,6888.0,1.76114,18,0.3026,0.2256,4.12257004,0.39586936698919867,0.8254040948793528,0.824594745062478,0.25515013215043825,318.18550023862474,19.389496030184613,1.5,231.615,6.29007053,0.27460500000000004,4,4,85.2705184310038,-61.8578410440104,-14.1003,-3.1899,14.45662208,
5,5,179315999,2061.96149927248,0.9938881115742244,0.6344556840429597,0.004618781612844347,1.5973634336315676,13.05830002,3115.0,0.368785,34,0.1606,0.4974,4.85581017,0.07265000423183543,0.9947667173709578,0.9944559051670079,0.5866234702921111,28.74865176881957,8.952697872789921,0.35587199999999997,58.2387,0.0115364827,7.09535,4,2,79.7674912866551,-71.0678412494253,43.2068,41.6769,60.03158802,
6,6,403317897,2063.8884032576098,0.9996036921925788,2.1769253916366202,0.014602687887985244,1.1954762128930472,10.476900099999998,6242.0,1.13805,8,0.3216,0.2301,4.40853024,0.01840177181824957,0.9995083342301262,0.9995493198553068,0.15968572640046091,5.706781691799423,4.773183304856785,1.21,224.753,1.77137411,0.8209270000000001,2,1,343.157906469257,-62.7901686191615,27.2542,-4.53633,27.62914598,
7,7,139128537,2062.1079522915115,0.7326929461773077,1.5779084661121598,0.0029866867970568256,1.3077487418153606,10.52089977,4545.0,0.752731,13,0.5037,0.1581,4.54211998,0.4640933727361707,0.7546646478424687,0.7551009584648094,0.0657101188504363,418.14374389935824,32.46461080300015,0.72,83.4209,0.217826009,1.6881599999999999,2,3,344.121522803718,-47.3630105411129,98.3711,37.5003,105.27652072,
8,8,220519835,2062.782591838153,0.9996327859514832,1.1066659766637603,0.001214738953459027,0.4944060772330782,10.40450001,5876.0,1.22367,18,0.3454,0.2253,4.28804016,0.017639347594016225,0.99963379441154,0.9996327384734806,0.005017960035670864,4.954594758263384,6.556155554547553,1.06,210.954,1.60823786,0.578513,3,4,41.7712248968595,-62.5162102267116,46.28,46.6872,65.73836813,
9,9,139283769,2062.057694242804,0.9995077104896338,3.800934863845362,0.0579276244717446,4.961048163788481,11.29349995,6232.60009766,3.07875,6,0.3425,0.2339,3.54410005,0.02041801586476006,0.9997723733994862,0.9990678471730768,3.454265568689645,6.9323492155999125,5.0646734883851865,1.21,906.423,12.886096,0.041463,2,3,347.836849901333,-46.0039820433947,33.6331,-9.96537,35.07839812,-0.69999999
10,10,405425625,2073.264640595849,0.9992486482690393,11.432455989603335,inf,3.014027233449129,9.80270004,6168.0,1.96892,1,0.3451,0.21600000000000005,3.92148995,0.02525613934329771,,0.9988933563834782,,9.449917152673653,6.884465953430049,1.18,279.285,5.055097,0.154595,2,1,337.265807988208,-67.5056638828258,49.7469,-5.39511,50.03859782,
11,11,229806104,2067.122267033329,0.9985362085953241,5.997763233356537,0.04605952735688845,3.4705286212998736,8.13949966,4897.0,8.32863,3,0.4307,0.2796,4.0,0.034430031550283874,0.998395530852814,0.9988736811497292,5.667227467868662,34.019815376013234,6.784049471067077,,356.58,,,3,2,352.456462006506,-71.6632005658984,8.76746,-10.3151,13.53771188,
12,12,167812449,2065.334244326675,0.9816248246621372,4.235988295729607,0.016630032265994018,0.9168352074588728,11.24300003,5799.5,1.21045,3,0.3495,0.2247,4.28920984,0.12468487115363686,0.980553209351204,0.9799055456371252,0.6978098979331565,76.11835893196044,21.089602523335817,1.04,281.312,1.49331462,0.5863970000000001,4,3,104.782440726005,-61.8400661936471,4.56717,38.2574,38.52905003,-0.14889599
13,13,159731901,2062.280785443604,0.983920571414954,0.7963215701598056,0.003691789104236343,1.93440112824544,14.70219994,2854.0,0.137544,23,0.1998,0.5387,5.20810986,0.116468338808541,0.9838677133007416,0.9866389606096454,1.2359779100880115,16.50739450997909,9.306715538476595,0.11141,31.9132,0.0011308210699999999,42.8153,1,1,318.874050471838,-41.0889714079033,79.1952,-8.95474,79.69985616,
