,Unnamed: 0,TIC_ID,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH
0,0,38573641,2156.578451713958,0.9988498045958344,12.626611992690547,0.07274814710471844,3.382942025266372,8.38309956,3958.0,35.5085,2.0,0.5595,0.2153,4.0,0.02990670687659656,0.9987799671808156,0.9993144408835719,4.5301032983907605,25.279367945725088,10.637765387703672,,1029.98,,,4,2,63.7257590759432,-60.3737973607994,8.60705,11.1724,14.10332696,
1,1,122618115,2144.821498756665,0.9985769635499936,0.7530125692576107,0.0010191914533183577,0.5150894328833492,12.42500019,4476.0,0.694731,31.0,0.5037,0.1581,4.59953022,0.03386165411778734,0.9989651910421936,0.9984840687567854,0.6907425681191961,5.397056810217223,6.670096790112621,0.7,176.16299999999998,0.17453755399999998,2.0876,2,1,41.8042931043419,-33.987308124909,-18.9157,-5.59288,19.72521263,
2,2,149971113,2148.0126700605824,0.9997371672549747,4.134567271752126,0.023045961997426808,0.7645548253533813,8.4836998,5168.64013672,0.789805,6.0,0.4136,0.1999,4.58751011,0.014759409189485912,0.9997204745733822,0.9998228269910836,0.8318770693397898,5.315015174767656,6.124528242357414,0.88,45.1155,0.40108788,1.78617,4,1,90.113160208823,-60.4943227456867,10.7193,-79.5895,80.30810608,
3,3,77253676,2150.6002104792346,0.999549536263338,8.609146096581608,0.0524677136284879,3.3071658792844643,9.35529995,5519.0,0.968149,3.0,0.3862,0.2061,4.45295,0.019416503519982243,0.9995937143785296,0.9996518745796584,0.5155694360016165,9.563154050772416,12.742158548430377,0.97,93.7714,0.7834671999999999,1.06892,3,1,69.704069597951,-36.6814335969947,28.1678,25.0513,37.69605534,
4,4,200364466,2144.885594768572,0.9840354801250432,0.6162275714426487,0.0036342938455217744,1.6044191183956236,11.15890026,3340.0,0.45842,37.0,0.1529,0.4604,4.77403021,0.1180078416331934,0.9858744147169408,0.9854714539991803,2.323282386909717,146.14664644219988,11.751626929183404,0.455505,37.1692,0.0235617589,4.728269999999999,3,4,77.2648525265649,-42.1555118878055,26.4913,60.9195,66.43022246,
5,5,306635088,2151.0825966389534,0.999626579690061,8.504956125332543,0.11170533469186417,11.284928169285129,10.06070042,6206.0,2.14238,3.0,0.3451,0.21600000000000005,3.85181999,0.017805094658399703,0.9995400006051892,0.9999162732367244,3.9506849297726543,10.122415329289307,8.40223002084422,1.19,322.879,6.13385534,0.121021,4,4,119.892246586143,-69.4557117128987,15.2828,-15.2382,21.58162911,
6,6,149422364,2156.508079555576,0.9984449799703056,12.424931241842206,0.241380945726422,3.3670941063542634,10.07129955,4875.0,0.7714409999999999,2.0,0.4508,0.1887,4.56654978,0.03567137470435445,0.9974536561105688,0.999787520854952,10.234912740644042,17.960417282779495,5.367858962885258,0.8,81.2343,0.302829981,1.74253,4,1,84.5488060113769,-63.104153718202,-0.137813,2.56401,2.56771099,
7,7,381975024,2144.9318307927233,0.9986020703598044,1.191733719309782,0.001879858171456084,0.5695032698808308,9.47319984,7085.49023438,2.14471,19.0,0.2961,0.2276,3.97123003,0.03474083841374726,0.9987464824718979,0.9986234059385436,0.7150902279593362,19.699334152591973,10.630709442258103,1.57,318.303,10.4450569,0.159146,4,1,76.9856014979411,-57.7723144815205,10.0641,43.0694,44.22962045,-0.46515599
8,8,141869060,2144.642767076544,0.999474887981607,0.8713901446403822,0.003299941695084075,1.8220803318325505,10.57419968,6225.60986328,1.91869,27.0,0.3451,0.21600000000000005,3.95124006,0.021114037981440542,0.9995369813728926,0.9994795348830584,0.5076685095266168,12.032064304494906,9.268368112964108,1.2,369.99800000000005,4.982319,0.16989,4,3,93.70855921722,-72.2829542872143,-5.15664,26.5714,27.06714307,-0.119712
9,9,178349386,2146.9770538355297,0.9991315036901964,5.881368528231249,0.015802794668855036,1.0252785599287066,10.9034996,5329.0,0.804773,3.0,0.4036,0.2028,4.59004021,0.026875628941229152,0.9993499700899988,0.999109149337866,0.4857395663272309,4.756289651734919,5.451462257159772,0.919,146.709,0.47056967,1.76318,2,2,61.3696909565042,-23.7704361573811,-3.91546,-18.0746,18.4938366,
10,10,259675295,2146.3895348476203,0.9841903709494813,2.232584467221588,0.014461384484852237,4.540279646539457,8.10060024,6432.0,2.30199,10.0,0.3332,0.2167,3.82780004,0.11611509440249315,0.9851822855252936,0.9852934728213248,0.7858624751267371,221.66627687088024,16.869673561812842,1.3,161.695,8.171228999999999,0.10656900000000001,3,4,73.7101989916901,-52.915253362249,-2.27324,-11.2838,11.51050662,
11,11,178242590,2145.449821993556,0.9845399485933336,1.3020592757419396,0.004227815966382442,2.370763827601262,11.41889954,6342.0,1.43494,17.0,0.3383,0.2164,4.22477007,0.1147130351019776,0.9852796286135468,0.9854112397557588,0.5504437784351681,179.40195809475762,20.948420354038387,1.26,446.195,3.0010000000000003,0.42645299999999997,2,3,59.1577665595981,-18.2375056161406,-0.274851,-0.0191862,0.27551984,
12,12,300327482,2144.6863241988767,0.9988955657888879,0.6597292364418973,0.0011385214587646966,0.5395929478201015,10.17630005,5766.95019531,1.19789,35.0,0.3495,0.2247,4.29406977,0.030568064451504912,0.9990459905897544,0.9988970742756568,1.117430469820773,16.846510962991065,10.335333322481322,1.03,167.525,1.4299226999999999,0.599222,4,4,110.731849500294,-69.4328459618945,-22.9124,92.2661,95.06845577,-0.0999742
13,13,150189505,2145.213687572257,0.9995635053808666,0.7409708247488632,0.0009974849166292654,0.25900726212226904,11.09700012,5908.18017578,1.22947,30.0,0.3454,0.2253,4.28801012,0.01923146291112733,0.9994069245226906,0.9996954348721706,0.8614552103712061,3.828052608830181,4.754715532891353,1.07,286.47900000000004,1.65938473,0.575741,4,1,94.0229233249412,-60.7619071263754,4.33607,7.15899,8.36974557,-0.0462572
14,14,404804908,2145.459290551485,0.991215435877858,2.2067053604795768,0.008543004069865079,1.4676013784373063,10.86900043,6000.0,,11.0,0.3685,0.5069,4.0,0.0834468547652932,0.9913344216899715,0.9930257687165712,5.056822694323337,93.98891968873869,19.52644722783917,,243.345,,,4,3,84.763423,-70.902839,16.0,1.9,16.11241757,
15,15,399948758,2145.123775932857,0.9993886553043316,1.3034751203509796,0.00141130777910492,0.4827371132492154,10.4066,7420.08984375,1.7045099999999995,18.0,0.2683,0.2357,4.20531988,0.023079307707504708,0.9992794530941844,0.9993476179434146,0.2563141768149719,7.314319430899724,7.920556845627752,1.7,369.055,7.93468428,0.34328200000000003,1,3,51.8816135685149,7.36057775222979,27.58,-16.2654,32.01905116,
16,16,219362976,2149.761260618326,0.8291852979456409,7.977295948554863,0.015798971453916618,1.526702778339251,11.34309959,4387.0,0.984933,2.0,0.5098,0.1592,4.2901001,0.3704798333567961,0.8259556930768615,,,133.3734420365654,38.12700880475445,0.69,146.095,0.323726743,0.7221529999999999,3,4,75.1141029626668,-49.4239807857299,18.219,57.5466,60.3617688,
17,17,361994022,2151.4650568131483,0.9980161525437662,7.477888666898664,0.08652078759183368,3.2097106180369086,11.17850018,5616.33984375,1.08661,3.0,0.3785,0.2075,4.36330986,0.04080372504617963,0.9991819056981234,0.9959510907864556,8.525637176441519,15.714479946107746,3.8110281359508127,0.9940000000000001,228.79,1.05840969,0.774762,1,3,51.9578634001919,2.77697664077205,1.91539,-15.9772,16.0916015,-0.580594
