TIC_ID,TESS Disposition,TFOPWG Disposition,Planet SNR,Sectors,Comments,Full TOI ID,Group Disposition,Orbital Epoch Value,Orbital Period Error,Orbital Period Value,Public Comment
39903405,KP,KP,236.0,25,HAT-P-2 b,2020.01,KP,1956.23822,0.000115,5.633309,HAT-P-2 b
40083958,PC,,12.0,3,short period; nearby companion with dmag 5.6,851.01,PC,1383.9718300000006,0.00011,0.63002,short period; nearby companion with dmag 5.6
41173048,PC,,9.0,10,"evolved star, but difference images do not provide consistent centroid information to conclude it's a NEB",2006.01,PC,1328.74779,0.0005200000000000001,6.40916,"evolved star, but difference images do not provide consistent centroid information to conclude it's a NEB"
41227743,PC,,8.668339999999999,"1,2,4,5,6,7,8",low MES; crowded field; check bright star at these coordinates: RA 91.4813184782682 DEC -69.4618643201317; Difference images inconclusive.,804.01,PC,1326.28033,7.2e-05,1.418474,low MES; crowded field; check bright star at these coordinates: RA 91.4813184782682 DEC -69.4618643201317; Difference images inconclusive.
41330864,PC,FP,65.0,14,,1168.01,FP,1684.8446399999998,9e-05,2.136,
41865539,PC,FP,12.0,2,odd even unreliable,335.01,FP,1354.86627,0.0004,1.26092,odd even unreliable
42015200,PC,,48.0,3,possible hot jupiter; a bit V-shaped and there might be odd-even difference,848.01,PC,1391.66318,0.00254,9.77742,possible hot jupiter; a bit V-shaped and there might be odd-even difference
42054565,PC,,7.1680399999999995,3,low SNR; possible instrument systematic; source is possibly 42054566 which is 4.24 as away,280.01,PC,1393.67584,0.004156,10.175948,low SNR; possible instrument systematic; source is possibly 42054566 which is 4.24 as away
42123111,PC,,15.0,"14,15",,1334.01,PC,1686.4671,0.00044,4.0334900000000005,
42755801,PC,,40.0,6,V shaped,894.01,PC,1470.15594,0.00247,4.34358,V shaped
42821097,KP,KP,12.424889,6,CoRoT-19 b,548.01,KP,1468.686297,0.0012369999999999998,3.895456,CoRoT-19 b
43064903,PC,FA,8.720191999999999,15,Potential L1 candidate; could be 3 x period.,1276.01,FA,1712.548761,0.002524,6.264298,Potential L1 candidate; could be 3 x period.
43647325,KP,KP,329.0,5,WASP-35b,423.01,KP,1440.12315,6e-05,3.16164,WASP-35b
44631965,PC,FP,79.082832,17,,1461.01,FP,1767.317052,0.00015,3.568678,
44647437,PC,,12.083445,"4,5",,435.01,PC,1411.843915,0.000301,3.3530620000000004,
44737596,PC,,31.310287,"4,5",,552.01,PC,1413.062549,8.9e-05,2.788503,
44745077,PC,FP,16.0,"4,5",v-shaped due to short transit duration,436.01,FP,1411.70271,0.00017,1.8756,v-shaped due to short transit duration
44745133,KP,KP,12.0,"4,5",,1911.01,KP,1415.75534,0.00154,7.81876,
44792534,PC,,93.0,"4,5",evolved star; possible spot crossing,954.01,PC,1411.90855,0.00013000000000000002,3.6847,evolved star; possible spot crossing
44797824,PC,,20.682949,"4,5",Candidate 3 is phased with the photometric modulation; may just be variability from detrending,865.01,PC,1411.586361,1.8e-05,0.7455890000000001,Candidate 3 is phased with the photometric modulation; may just be variability from detrending
46096489,KP,KP,103.528023,11,WASP-16b,818.01,KP,1598.072777,8.4e-05,3.118536,WASP-16b
47316976,PC,,22.0,2,single transit,288.01,PC,1364.46064,,,single transit
47384844,PC,,9.0,9,low SNR; could be instrument noise,1022.01,PC,1547.448,0.00677,3.09574,low SNR; could be instrument noise
47423120,PC,FP,230.0,2,The period could be half;,352.01,FP,1356.83006,0.00022,11.6235,The period could be half;
47425697,PC,,10.0,2,a little v-shaped; possible EB,364.01,PC,1354.46949,0.00018,0.49393,a little v-shaped; possible EB
47484268,PC,FP,16.452566,2,The second event is not real. Single transit (no period).,226.01,FP,1358.500535,,,The second event is not real. Single transit (no period).
47525799,PC,,22.171879,2,single transit (no period); centroid information is hard to interpret,225.01,PC,1355.118503,,,single transit (no period); centroid information is hard to interpret
47617161,PC,,33.0,11,no TIC or Gaia stellar parameters,1973.01,PC,1602.13159,0.00047,3.91899,no TIC or Gaia stellar parameters
47911178,KP,KP,179.145035,6,WASP-101,471.01,KP,1470.303946,8.4e-05,3.585617,WASP-101
48103627,PC,CP,31.02104000000001,9,large planet,657.01,CP,1547.312553,0.000539,4.569904,large planet
48188920,PC,FP,10.0,14,,1159.01,FP,1683.94707,0.0002,0.73774,
48476907,PC,,12.043224,9,two stars of similar brightness in the same pixel - 48476908 (T mag= 9.486),658.01,PC,1543.70074,0.001021,4.719906,two stars of similar brightness in the same pixel - 48476908 (T mag= 9.486)
48476908,PC,,12.275165,9,two stars of similar brightness in the same pixel; we released 48476907.,659.01,PC,1543.699323,0.000897,4.720083,two stars of similar brightness in the same pixel; we released 48476907.
49079670,PC,,21.0,"6,7",,641.01,PC,1470.20305,0.00016,1.89253,
