rowid,TIC_ID,Probability,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
0,198388252,8.161314326571299e-06,1900.5132957383692,0.8301827164447717,0.7906573430709445,0.0024687407564398245,1.3525691817253085,11.64529991,6074.0,1.4651299999999998,30.0,0.3507,0.2158,4.16321993,0.3792860153970251,0.844093091269325,0.8437583965336912,0.10759384833832564,47.63860779820335,12.603267729395279,1.14,469.601,2.63237119,0.362472,4,2,258.19533854361,57.0528889369116,4.2079900000000015,-28.9494,29.25363123,,,
1,142307246,0.04733272269368172,1901.1578331068213,0.9998442726188808,5.596086566633159,0.07021796858206164,7.669657212810026,8.86190987,6785.0,1.77785,5.0,0.3096,0.2225,4.10173988,0.011570714109533777,0.9998846290764241,0.9998226526309684,1.2615307613012072,8.29751492588825,7.1952624180159335,1.457,191.672,6.035095,0.259283,3,1,193.20177842820598,61.9257772244334,-3.80771,-36.6749,36.87203473,,,
2,376524552,0.9944456219673156,1903.5809867507212,0.9833137017142868,3.7139613480780955,0.010939103070251031,1.4608520754288403,11.12370014,4719.0,0.812087,6.0,0.4776,0.1729,4.49737978,0.11640015508163044,0.9845960955906692,0.9841270393190747,0.7614239521199201,112.10684687776792,24.10907925606676,0.7559999999999999,128.23,0.2946453,1.41161,1,1,188.92257973721803,27.2144229614475,-45.874,-10.7657,47.12031592,,PC,
3,147625755,7.75687453824503e-07,1900.4717709658053,0.5235287941939082,0.6760784041701446,0.001984367159271028,1.735554381096176,11.02110004,6554.0,1.65487,35.0,0.3215,0.2192,4.13407993,0.6387505722359522,0.5556644167799161,0.5563709787548294,0.09231009164892484,224.34465862084681,21.659981796691326,1.36,452.013,4.55247736,0.300087,3,1,184.152306047107,64.8575892513557,-13.03,6.59628,14.60451334,,,
4,237096809,1.4324642805263466e-08,1900.7675328835894,0.9956277755925642,1.0171970935448602,0.000988558599296474,0.4502706808718722,8.70454025,7254.0,1.97412,23.0,0.2801,0.2331,4.06030989,0.06159661898485976,0.9955089898719968,0.9962252565778912,3.6531508768868304,26.45214866034424,15.631808521001654,1.633,217.468,9.7219305,0.212258,4,1,239.614634583336,69.71925708025,-21.7244,9.20089,23.59249737,,,
5,282925798,0.0006101472536101937,1900.2304391005825,0.923694146148798,1.222601787835404,0.005577677083042576,3.1358326175064777,6.42481995,6652.0,3.0051400000000004,21.0,0.3089,0.2445,3.62877989,0.25561578763557125,0.9450837999575992,0.9161958717319184,40.87442086040517,408.77324873420594,19.1029025377286,1.401,102.714,15.9306316,0.0516231,3,3,226.95900023555998,63.1171046684827,1.57677,0.162081,1.58507851,,,
6,372445638,4.456077476788778e-06,1900.2584165307485,0.9985569234773424,0.7937456873498562,0.00702549670236835,1.871639986036866,10.39900017,6000.0,0.344,29.0,0.5221,0.3406,4.91798019,0.03331687952417283,0.9990353801853806,0.9986542217173152,1.9101079727929795,16.432131525441047,7.907885312234218,0.35700000000000004,29.40318,0.0132677555,8.76987,1,3,165.7853,15.2978,-424.74,-102.57,436.94927909,,,
7,219755626,8.598660497227684e-05,1900.6429997168661,0.9962488604675084,0.6289469018329462,0.0020879043918109463,1.5356372905580582,13.38519955,3055.0,0.232345,36.0,0.1606,0.4974,5.01116991,0.05691536754054605,0.9960760082097064,0.9968232153145756,1.306726869819753,16.8995651432855,11.42939986628277,0.20201,38.12,0.004236490470000001,16.1054,4,2,261.601453814142,60.3318409767442,-57.1155,52.4881,77.57049041,,,
8,219900027,2.484408014424844e-06,1900.681256821628,0.7324950085866422,1.0302271530368403,0.0040236428248002784,1.7093521897838628,11.20240021,6524.0,1.84639,23.0,0.3276,0.218,4.03252983,0.4780942358256031,0.7490973543789105,0.7498591149085111,0.15230576773361065,73.22238479490936,13.770300225589589,1.34,545.361,5.564119,0.212881,4,1,263.838687037098,68.63861656157411,-7.19065,15.0708,16.69833704,,,
9,272785018,5.630760614716567e-12,1900.4774753973413,0.9995111977021712,0.6500861443509262,0.0008010026279692827,0.42976288240204863,9.40950012,7661.0,1.58371,37.0,0.2559,0.2329,4.29157019,0.020691394007249914,0.9995113093326152,0.9995013824832376,0.08120045231637887,10.958568990264668,12.484718437381895,1.79,260.363,7.783749,0.4506350000000001,3,3,238.7718202605,66.5654306381165,7.54921,-3.65461,8.3872967,,,
