rowid,TIC_ID,Probability,Unnamed: 0,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
10,281581467,0.0010795891284942627,2839,2037.2881363654626,0.9542583522998824,1.9949089290996431,0.011348501314720538,3.1233416782611285,10.95030022,5315.0,2.08192992,10.0,0.402,0.2082,3.7649199999999996,0.1950000813669257,0.9466879786966294,0.975537729018564,28.13455688286259,184.45681376300843,13.935125134398696,0.92,357.301,3.1163168,0.10195,4,3,115.984978695791,-60.39644590781629,-56.0308,13.0731,57.53569755,,,
11,350954375,1.2782521707777053e-07,2881,2036.7368631928366,0.9986003775065664,0.8424537885042273,0.0012339619876817198,0.4718758381253887,10.65200043,7655.0,2.25374007,28.0,0.2353,0.2551,3.98511004,0.035076176428636294,0.9986647611334478,0.9986448880857698,0.06701399808321985,11.968256820318821,10.461901028247377,1.79,623.625,15.7138519,0.156366,4,4,90.9497128198246,-55.2943557372754,3.73855,15.4134,15.86031701,,,
12,97456906,0.2797560691833496,2896,2037.184365632156,0.9934715742756212,2.8835297729696534,0.01908956092475456,2.6936463874459435,10.286999699999999,3918.0,0.5814060000000001,8.0,0.2946,0.3316,4.66699982,0.07434063484984108,0.994202921747916,0.9936528622662784,2.2623048398032872,90.2268408443919,11.726122868518253,0.572646,42.4019,0.0717648,2.91372,1,4,296.5519063812,-29.7405305391985,-14.2592,-161.56,162.18803404,,,
13,100603766,0.013140171766281128,2901,2041.75912737564,0.9279353173010404,7.814278197692577,0.03208621937798073,5.017629941765309,7.85290003,6749.20019531,2.41292,3.0,0.3158,0.2206,3.83134007,0.2486545708399857,0.9366287981427938,0.9366092167467798,0.007853633005842355,151.1483832800191,29.700759186841026,1.44,159.904,10.8840685,0.102502,2,3,309.75600151112997,-53.8551855608811,29.2783,-54.1704,61.57638417,,,
14,114886941,0.013219051063060759,2941,2036.8306374038293,0.9968686388905764,1.045261847447895,0.006031998790502424,2.4853713112487457,13.52530003,5965.0,1.07532001,22.0,0.3345,0.2282,4.4124197999999994,0.051605409065920725,0.9972418993729468,0.9969984266898406,0.31851821685480003,10.409475238364012,10.00748184400248,1.09,789.5360000000002,1.31890428,0.8766200000000001,1,2,310.27410852541,-39.1653446948081,22.0012,-69.4587,72.85989162,,,
15,218925869,0.05740510672330856,2967,2047.962349983561,0.994890486306396,11.749258170047927,inf,3.780688247270392,11.52260017,3929.0,0.61341399,2.0,0.2946,0.3316,4.63991022,0.06576757300341114,0.9994989776478098,0.9923792233602344,11.598383547727265,22.51143803972623,10.741112299556377,0.598897,80.5153,0.08078489999999999,2.59472,1,4,298.126471416589,-35.7137665724379,-18.5424,-22.2361,28.95280195,,,
16,141608198,0.0008916875231079758,3003,2041.647705203005,0.9962184783834782,9.02696137496508,0.050229501070535136,2.059678325741687,12.53950024,3264.0,0.33014601,3.0,0.1529,0.4604,4.89378023,0.05743362522157169,0.9962332096795756,0.9974153030050826,1.1334324965956677,9.836269997549604,13.625357811478695,0.311261,42.8091,0.0111457007,8.64981,4,2,88.9605844424677,-73.9846887969685,80.4563,-139.153,160.73821456,,PC,
17,271799457,0.04031448811292648,3007,2036.3551716673428,0.9835527763111896,1.909321443061469,0.00998366682889229,2.9200349856381447,11.53610039,5886.0,2.85124993,12.0,0.3596,0.2317,3.55737996,0.11764613403987707,0.9848724209354076,0.985075386037232,0.4777458201225529,168.00809981171076,17.603792867967073,1.07,709.1260000000002,8.791159,0.0461613,4,2,111.635223447923,-75.556617642872,0.944224,10.7893,10.830538,,,
18,262020326,0.4462084770202637,3012,2038.268643345861,0.981889083074331,3.2123988378861545,0.013068812336387348,3.7942374377653976,8.98880005,6327.0,2.02874994,6.0,0.3383,0.2164,3.92052007,0.1241588047216089,0.9827750274431448,0.983357537560193,3.0032148743942395,178.90587712014698,24.758813782642388,1.25,204.674,5.94213152,0.149701,2,1,323.719821631837,-72.1738258738701,39.4341,-57.855,70.01606436,,,
19,260353841,1.679848355706781e-05,3071,2036.9735609474121,0.9661775528155908,0.8408037740373917,0.0032841397712579656,1.480946185564199,10.31159973,6209.20019531,2.33809996,28.0,0.3451,0.21600000000000005,3.77589011,0.16945244242753554,0.9698923826707524,0.9698225166442748,0.10597168859252899,103.63965181707864,18.68360309448339,1.19,407.807,7.32088757,0.0931016,4,4,95.0567517215318,-54.5369600461039,-13.8787,5.96937,15.10800092,-0.25,,
20,267263253,0.9507346153259276,3118,2039.747037036097,0.9906196172843124,4.123721512012462,0.01712280014035894,4.04046214620014,9.22049999,6792.0,1.58737004,6.0,0.3096,0.2225,4.20106983,0.08980240175178274,0.9916896956209402,0.9917944454396712,0.5370325717345821,150.75747400620017,22.38304777863254,1.46,196.852,4.831035,0.365023,3,1,7.32896964490478,-76.3040620158817,-2.97004,6.96121,7.56832757,,CP,
21,351336681,0.12674443423748016,3136,2038.664122068029,0.977363942486124,5.414236455875144,0.03594789744030935,3.167615494194634,10.52729988,6147.0,2.4779501,4.0,0.3494,0.2332,3.71807003,0.13827481060092067,0.9794115209653436,0.9808305041054208,1.5298192435307856,123.29245351909452,13.817933805050993,1.17,481.791,7.898313000000001,0.07689630000000001,2,4,301.19310277996004,-61.248409044667994,12.5447,-4.29225,13.258691800000001,,,
22,179317684,0.994376003742218,3152,2039.7132933928851,0.9932519713868184,4.2280391378295334,0.03186587966595855,3.6427796646201127,10.8718996,6671.0,1.66401994,5.0,0.3158,0.2206,4.14496994,0.07608931341405763,0.993535186602336,0.9932996291733271,1.0033952267572408,73.01405616454613,15.45523010775549,1.41,411.719,4.94052362,0.306018,4,1,79.76815427783659,-71.89559735417959,7.1402399999999995,16.3738,17.86293239,,CP,
23,381914077,0.012139197438955307,3200,2046.2880544887241,0.9993580741150916,11.777934977287135,inf,15.623906799044823,11.22099972,5982.0,0.84234899,2.0,0.3345,0.2282,4.62847996,0.023365285523297204,0.9993470227399818,0.9995199313404872,0.8661260955528473,8.46620308869586,9.700265728975264,1.1,218.09,0.8185865,1.84042,2,3,322.924226894608,-54.228115925149794,44.5683,7.383380000000001,45.175742,,,
24,265334670,3.2242733141174536e-06,3236,2036.7589844652318,0.4715737189890321,0.8888535615141118,0.003532109043700049,2.026158944287281,11.53579998,6850.0,2.1208601000000002,20.0,0.3096,0.2225,3.95531011,0.6740154900963424,0.4956672970580242,0.4962774659274782,0.07411502447757169,189.63967107253052,19.35740360279335,1.48,767.725,8.922364,0.155141,2,1,308.872912836397,-70.7708532553298,6.61005,0.875389,6.66776326,,,
