rowid,TIC_ID,Probability,Unnamed: 0,Unnamed: 0.1,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
0,154096314,9.611690984456802e-06,325,325,1739.2731008585833,0.8966562427950187,0.9815569319140508,0.004266784101579768,1.976521609853529,8.00366974,6707.0,1.60592,20.0,0.3158,0.2206,4.18013,0.2977675249082196,0.9013828497842838,0.90183553576714,0.2288816843828251,73.23825939395522,13.624432694729435,1.4240000000000002,116.246,4.701718,0.343825,1,4,341.576578049568,43.8688532116523,-3.08807,-52.8356,52.92576692,,,
1,390019439,0.0005192916141822933,326,326,1739.2813555859605,0.9972684125718976,0.6696314670958745,0.0012383602588433296,0.4346736767312262,8.91469955,7364.0,2.75371,31.0,0.2683,0.2357,3.78095007,0.04878510633019476,0.996988961908586,0.9979537983202652,2.1092553411551287,16.06784231596757,7.0107244144129846,1.67,338.634,20.090229,0.0799768,3,1,277.406437838535,55.1493551838952,9.08337,18.4213,20.53903367,,,
2,312662432,2.6052968376405476e-12,327,327,1738.8675632534325,0.9986845187952528,0.7093756853912254,0.0010041642234165926,0.4027154201615461,7.72455978,7744.0,2.12281,30.0,0.2396,0.2457,4.04598999,0.03400807478418935,0.9988055070995544,0.9986305778278468,1.0312424416577597,19.32126583996109,14.225701267133742,1.827,158.951,14.6008015,0.190989,2,3,313.608432503424,48.9298132056905,13.1686,2.88849,13.48166905,,,
3,288434781,0.0015157234156504273,330,330,1740.6590275284889,0.7375179130754821,3.169207593523814,0.02295176798648324,3.914605628522076,10.32970047,6220.0,1.49946,6.0,0.3451,0.21600000000000005,4.16501999,0.4720577744259893,0.7267342423084955,0.7952879106913365,3.8373821030185487,178.90507720425362,13.38697363903622,1.199,276.416,3.0319580000000004,0.355647,4,3,203.021961437463,46.002058197557794,-18.7556,-25.0294,31.27688277,,,
4,199444169,0.9999049305915833,333,333,1739.7351772692816,0.9986256710130836,1.2162730646329605,0.0035511579001221705,0.9198997940811608,10.19169998,4507.0,0.778749,17.0,0.5037,0.1581,4.50652981,0.03327710295695613,0.9987379982540102,0.9988098192590564,0.4419891882504111,22.360192309748644,18.35772957221885,0.71,72.7512,0.225444853,1.50337,1,3,334.883242725476,42.560269351825795,-67.4165,10.3852,68.21170612,,PC,potential L1
5,243248327,0.04354290291666985,335,335,1739.3994414120486,0.9869611646020556,1.2689848749411163,0.0065451393891968745,1.4050426088001489,8.39286995,6349.0,2.40424,17.0,0.3383,0.2164,3.77647996,0.10534809947447436,0.9881537870527316,0.9875558906226866,1.26983661914473,80.63143652166335,10.966606940076618,1.26,188.268,8.461982,0.0906643,3,4,235.876887219122,59.113796520230004,-6.0332300000000005,-11.4177,12.91370348,,,
6,315920120,0.0013206620933488011,337,337,1739.1788029526206,0.9988663188008776,0.6329036472659808,0.0023766311767185466,0.6377767102052183,11.94709969,5175.0,0.7191350000000001,31.0,0.4136,0.1999,4.66744995,0.030653121741828764,0.9989703761612299,0.9988476738858174,0.328145161085698,7.9052701339603155,8.201597547126473,0.877,199.82,0.334161967,2.35813,2,4,316.483159789361,65.73101226431521,5.62464,-23.7718,24.42816101,,,
7,321446584,5.434081656874311e-11,340,340,1739.0719172262238,0.9986648107962528,0.6331997896786977,0.0009296834693273693,0.386454863082276,7.40186024,7146.0,1.87337,29.0,0.2801,0.2331,4.09502983,0.0340390208122712,0.9986208172694688,0.9987833121069428,1.6469099467826978,24.097818856622705,14.389784638276408,1.5930000000000002,110.154,8.245092999999999,0.242294,2,1,320.031584247506,69.5682122537802,5.58173,-12.2764,13.48575941,,,
8,405504882,1.2558792150230147e-05,342,342,1739.8163367573181,0.6829910941103747,1.9134258030858,0.007521307096773122,2.7458495360137034,9.40116024,6665.0,2.061,10.0,0.3158,0.2206,3.95819998,0.5215199653798203,0.6473477081669153,0.7423665013587294,14.476032258061776,454.2882357999346,21.95281147074932,1.4069999999999998,276.475,7.551832000000001,0.160716,4,1,224.66691572135602,56.7520009285616,0.8336100000000001,-8.99531,9.03385342,,,
9,159831469,0.0632423534989357,344,344,1738.6709412547482,0.9952352368409482,1.2952621841922236,0.011921752204102742,3.2540590661365814,5.53849983,10360.0,2.41474,18.0,0.1552,0.2583,4.09884024,0.06567452340362309,0.9955812483784068,0.9955268310035552,1.3226805651414737,51.15242141248382,9.570739523900864,2.67,92.3033,60.51659,0.189627,4,1,235.71150340652198,52.3609012252896,-66.2138,29.3081,72.41016528,,,
10,320526252,7.073626875353511e-06,347,347,1739.248034142418,0.9998225814821764,0.8913368683805424,0.005897076036254223,2.2402648688760625,8.7495203,7180.0,1.85903,25.0,0.2801,0.2331,4.10496998,0.012408095453853041,0.9998362432000644,0.9998431556362872,0.1761538288495497,11.909106953615296,9.005235583694125,1.605,206.142,8.274961,0.249813,3,1,264.953339837471,58.7082711006647,12.4341,-3.0051,12.79208618,,,
11,219738202,1.0446157716614833e-08,350,350,1738.963279755663,0.7726449621162124,0.8681927757898157,0.0040730229911693505,2.04147731186046,10.45390034,7106.0,2.16277,23.0,0.2801,0.2331,3.96671009,0.44417891960888856,0.7848316805035266,0.7754533218917966,2.5907174185365576,50.316419432405475,11.271721706151752,1.58,513.779,10.7452126,0.156181,3,4,241.57236343601397,62.7628026946829,-11.0609,10.102,14.97978347,,,
12,365213081,5.452275436690356e-11,352,352,1738.8240005116131,0.7928432386524289,0.6272573375993225,0.00142215835608539,0.7732615481919574,15.13300037,31000.0,0.18,34.0,0.1258,0.235,5.59961987,0.43629846206729067,0.8004424082761628,0.8029426000767623,0.23091882074026546,26.68394698632033,11.163312001854546,0.47,1025.41,26.9579277,80.5899,2,3,311.659035028522,51.7932211103716,3.13932,-7.766210000000001,8.37671462,,,
