rowid,TIC_ID,Probability,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
0,288471156,9.49441869124712e-07,2010.5103404742545,0.9896365057942732,0.6740685834863377,0.0047983323514071965,1.826703551971752,14.19390011,3132.0,0.238227,36.0,0.1606,0.4974,5.00263023,0.0946021571966454,0.9902533416530978,0.9913166192513868,0.9064580610461354,22.54089707145762,8.66258492887301,0.208231,60.8777,0.0049199840000000005,15.4018,3,3,271.62743244980703,78.386250690409,26.01,-66.3581,71.27354022,,,
1,406930461,1.1930826993022949e-08,2010.3718777916806,0.9992830105261852,0.6186314575920274,0.0005342875136027937,0.40137203308788943,9.91429043,7510.0,1.54166,40.0,0.2559,0.2329,4.30064011,0.02505991081967245,0.9994050180694352,0.999206260800496,1.1270206377095608,10.060654253585053,10.165501291432607,1.732,309.891,6.81133747,0.472695,2,1,287.541668107993,57.052411055621604,-2.58945,4.10736,4.85547706,,,
2,297904202,0.000629567657597363,2012.462710214786,0.9991669940387166,1.0001121088574878,0.009270453201573992,2.4871639200578235,10.15569973,5684.0,0.8708600000000001,20.0,0.371,0.2094,4.56292009,0.026474874554740804,0.9991971853167944,0.9993195206022872,1.1287652280353366,19.824655763409726,8.151051472992048,1.011,126.25,0.7131946,1.53075,4,3,56.1692453780505,78.68886610262541,1.6303,-63.746,63.76684399999999,,,
3,28570546,1.6231275628024108e-14,2010.31525300328,0.9996096400359696,0.7145831322578148,0.000970728757926642,0.5178418221390785,5.15280008,8492.0,2.7034,34.0,0.2042,0.2456,3.89853001,0.018649684392802783,0.9995989288028032,0.9996786695795172,2.5232989959372825,22.555504316834945,9.027946152603688,2.11,71.36,34.24157,0.106796,1,1,282.47048971810904,32.5510598904048,-10.8566,-11.6696,15.93879944,,,
4,229671667,2.418032408968429e-06,2011.1215856784693,0.989327156715042,0.8556340142821706,0.006171410275354339,2.3266006122080305,14.10550022,3047.0,0.19623,28.0,0.1933,0.5347,5.07078981,0.09504750495700873,0.991108266512606,0.9899195567716654,1.1077606678453928,23.523096261666065,9.392974067505255,0.165292,43.5012,0.002990304,21.8754,3,4,251.997277125844,73.6095634614843,-100.898,219.453,241.53679971,,,
5,280033918,5.893617526453454e-06,2010.7825220672642,0.99588685892863,0.8362165581573183,0.0023955948460853142,1.0711021066131254,9.45843983,5526.0,1.8453,29.0,0.3861,0.2114,3.89315009,0.058641795206747636,0.9963562621227732,0.9963523765074828,0.032156222544019814,47.188729158919905,12.810319576833074,0.971,173.34099999999995,2.86071086,0.154531,3,2,297.616799584629,70.30527228174279,-16.1487,-52.2562,54.69452395,,,
6,199573174,6.986815015430636e-10,2010.6236927812408,0.9957690260057892,0.6426977225246608,0.001124398572399321,0.6178139931546696,8.37067032,7197.0,1.98462,38.0,0.2801,0.2331,4.05007982,0.060593470901928785,0.9960093869721924,0.9962599628076174,0.8658149864605297,30.618441062574462,15.230911161105475,1.612,185.488,9.520403,0.206221,3,1,241.33127937264496,65.3180486133961,21.4732,-3.9723900000000003,21.83754108,,,
7,377049136,5.425309507200993e-11,2010.4035529212008,0.9972152822413411,0.7276870412502159,0.0009945352024698373,0.4404751712141386,7.81378984,7501.0,2.52683,33.0,0.2353,0.2551,3.87046003,0.049476319040011096,0.9975441535258984,0.997375267839527,0.7656855950993896,22.711217208496198,13.507139733843765,1.7280000000000002,193.781,18.2105312,0.107107,2,1,284.674531732622,54.8700601437465,29.0847,22.6233,36.84743515,,,
8,122953576,0.0005705235525965692,2010.4264003807173,0.9993272956854421,1.0032036753486826,0.008132673635778076,2.7003549784972014,9.63206959,6076.0,1.04637,24.0,0.3276,0.2297,4.45446014,0.02394768548105177,0.9993417242642004,0.999449292938679,1.747610580118684,28.01379696606168,8.60999255373599,1.137,134.898,1.34441221,0.992454,2,4,278.61616320937696,44.497153002269286,14.392999999999999,-6.76801,15.90485487,,,
9,84885384,0.056252311915159225,2012.2859031013852,0.9995579335439492,5.0372593571908615,0.1098056521812132,12.476367302177653,10.04259968,6185.0,1.1497,5.0,0.3216,0.2301,4.38988018,0.01943511469924281,0.9995791097086404,0.999595669162974,0.1804590728164812,12.87998319729294,7.781025008133549,1.183,182.668,1.74270129,0.77845,1,1,274.630146545686,29.482973008613,15.0398,-25.1971,29.34432539,,,
10,269663477,2.1820592208121603e-12,2010.6065068913806,0.9931239926590496,1.1640923083191226,0.0024824387860178376,0.8238351228586576,8.56130981,7166.0,2.58417,21.0,0.2801,0.2331,3.81754994,0.0772456119812278,0.9936116736366328,0.9937336792306736,0.2838685198665764,29.456502179264533,11.217330704866473,1.6,255.796,15.865139,0.0927165,3,2,301.21003717973,69.1410825582207,-6.40747,-5.55235,8.47845872,,,
11,243316446,1.4093201627929375e-07,2010.3410011029405,0.9995606916074424,0.8119449301759507,0.0011509377700357206,0.5306898639190998,9.60809994,7385.0,1.90502,30.0,0.2683,0.2357,4.10435009,0.01956430629050697,0.9996010196632232,0.9995783124282992,0.17944465848744642,9.169643277312128,9.713238532836305,1.683,321.663,9.725165,0.243435,2,1,289.63776931717,59.4109101644462,1.84434,-15.2748,15.38574357,,,
12,237126094,2.591653469607991e-07,2010.769813231764,0.9983006580251552,0.6404939640646728,0.0011192300482347206,0.5622534068292192,8.03472996,8153.0,2.1865900000000003,37.0,0.2147,0.2467,4.05739021,0.03883110166665404,0.9986366193291056,0.9982001513104586,2.2043475947526447,20.992779151145808,8.799384277003462,1.99,205.971,19.0325756,0.19035,2,4,277.641209012084,48.2979931621834,9.80145,-13.1965,16.43824913,,,
13,372714341,0.0879601389169693,2010.4416934356848,0.9997528189188659,7.403419976538638,0.17508449209690635,12.884859974991727,9.29310036,5490.0,0.890523,4.0,0.3862,0.2061,4.52104998,0.014382974883021078,0.9997157023370798,0.9998354429297838,1.9365743713845656,10.302051426447347,8.786664841503061,0.96,83.0094,0.6490446329999999,1.35936,4,1,154.53269513288,83.3668246863348,15.1828,30.7766,34.31787469,,,
14,298649058,8.090102710411884e-06,2010.9784950910828,0.9907025926688386,0.7625787957340168,0.0045874227337795465,2.1148821882754283,10.68459988,3561.0,0.674395,31.0,0.2125,0.3984,4.58987999,0.08956278876714542,0.991702008983072,0.9916606241541414,0.29673441754576096,62.66878546793754,10.560247910716939,0.6451140000000001,56.4878,0.065888755,2.10326,2,1,272.499026592117,51.918976281779614,-15.8925,21.0786,26.39846462,,,
15,101875081,0.21398432552814484,2013.9978301726944,0.9980135958688944,6.5039742467287285,0.06777104348917717,6.022297329811224,10.522399900000002,5558.27978516,0.895394,4.0,0.3785,0.2075,4.52526999,0.04083000939297347,0.9965162231703992,0.9999864366524772,21.352504779541928,31.73388678738579,8.957768543779958,0.98,147.819,0.6894213,1.36516,1,2,261.209699768836,37.0538017569204,23.9662,125.111,127.38579616,0.012,,
16,229480487,0.03063381649553776,2010.2812348178463,0.9672112301046016,1.2861778075057102,0.014898058195295438,3.3870560814237614,10.24720001,5409.0,1.35338,20.0,0.3943,0.2089,4.14881992,0.16534097163222575,0.971010598179236,0.9719068312930214,2.525957141150524,156.70263705591296,9.983443453221524,0.941,187.395,1.41253591,0.379607,3,2,295.52485001879904,65.780496212015,4.9733,8.97758,10.26307242,,,
17,232681667,1.2105803648410074e-07,2010.312721367978,0.9977640784491558,0.8946916450116603,0.0017476836600862633,0.534545876388693,9.84387016,7311.0,1.7065400000000002,27.0,0.2683,0.2357,4.19236994,0.0441375257789939,0.9981801143463042,0.9977638268244392,1.6766125184713292,19.002018538005785,11.296917583503951,1.654,320.482,7.49604654,0.332805,2,1,282.405551874402,58.2884669114398,6.46369,-1.06451,6.55076102,,,
18,257583211,0.0013453911524266007,2012.7812673629912,0.8088318539314681,3.9483565377354597,0.015797221141321538,2.7483666965912312,11.53890038,6313.0,1.3308,6.0,0.3174,0.2305,4.28325987,0.4044731304668851,0.8294400324766948,0.8296455874740342,0.030764232346398426,198.40322441789127,25.93363636966156,1.24,436.80800000000005,2.5343310000000003,0.526118,1,2,258.750220891721,25.597880355377196,-1.14093,1.8162,2.14483186,,,
19,356109646,0.0002990462526213377,2010.3102348163181,0.9994880908740118,0.6911105646205821,0.0034085171489174892,1.7358919218865838,10.66059971,5771.0,0.990866,35.0,0.3495,0.2247,4.46055984,0.020811071958030274,0.9994200483203431,0.9996347929661752,1.8348255770463824,11.456362614581993,9.234964665076555,1.034,187.484,0.9811359,1.06286,2,2,261.394567901978,55.610060325586296,-34.5001,100.199,105.97214965,,,
20,259235909,3.594988484678652e-08,2010.4722923556194,0.99896239071271,0.6202361280149139,0.0005361365342861912,0.4118198078765385,9.61093998,8102.0,1.56228,38.0,0.221,0.2358,4.3450098,0.030337996387411432,0.9990042080452364,0.9989444739406452,0.2549273457769259,11.934238243276713,15.827070761925814,1.97,293.061,9.475081,0.5166390000000001,3,2,293.089222866466,66.7470650041403,3.30144,-8.87998,9.47383507,,,
21,237104803,1.038169461509142e-08,2010.5277766344147,0.9973416606016888,0.7499736003154726,0.0006906770005027929,0.4541128511349741,8.84790039,8293.0,2.09407,32.0,0.2147,0.2467,4.10571003,0.04856736408101681,0.99742430158761,0.9973799344031148,0.06601835685593195,12.118405793149314,14.196261484390948,2.04,291.757,18.6863613,0.222154,3,1,241.373264465546,66.98815754787739,0.633258,18.7129,18.72361189,,,
22,116161302,4.5366461563389755e-05,2011.5813697984365,0.4691554240695413,2.531739338388445,0.02098593806172766,6.262182484152985,11.368200300000002,6978.14990234,3.92777,10.0,0.2894,0.2507,3.43446994,0.6763544287635536,0.528700734953503,0.5291897117393435,0.05069219144014638,273.97601473872896,15.352972227643395,1.53,1412.77,32.957,0.0252496,1,2,267.471083758847,37.1443842174166,2.2967400000000002,0.055266199999999994,2.29740484,0.14399999,,
23,159510109,0.0007757936255075037,2018.7247658739968,0.9230452891969694,10.4312072447776,0.06930790218617043,3.1786554499625805,8.85229969,5920.0,1.1179,2.0,0.3454,0.2253,4.37469006,0.2553527149687687,0.8683891164153967,0.9999705575978338,38.622360312140096,101.99257631384724,7.296785195348897,1.08,97.3391,1.38288689,0.773065,3,4,247.535191204545,80.3074790983941,-18.3348,66.5362,69.01616333,,FP,False positive; TOI released on secondary of an EB with primary transit visible in multisector data 
24,236857439,1.8890301362262107e-05,2010.7400986086082,0.9998001972497256,0.8920824902924236,0.006069469776285696,2.225026784502822,8.16413975,7504.0,1.57621,27.0,0.2559,0.2329,4.28087997,0.013228903919812407,0.9998128455745264,0.9998169000124808,0.13381871223261838,16.348812740422087,8.147756832613453,1.73,141.80100000000004,7.09734964,0.441775,1,4,279.545033614099,16.513599132197402,22.639,7.67727,23.90532986,,,
25,459986319,0.5420960783958435,2011.115087348781,0.9992569151246824,2.9806014790986204,0.05005509363921612,7.1714873549726335,9.68426991,6178.0,1.27513,9.0,0.3216,0.2301,4.29884005,0.02519779497724016,0.9993075259363152,0.9993678323870541,0.8415708146999055,25.7631844631098,8.369942025977027,1.18,171.364,2.133999,0.569141,2,3,259.89418139305,47.3316192083437,-7.018910000000001,26.4472,27.362739,,,
26,258773721,1.00662300717147e-09,2010.7840146206686,0.9986182734336184,0.718472408527234,0.0013045029594084825,0.5331629763236722,7.986450200000001,7942.0,1.85076,32.0,0.2273,0.2465,4.18372011,0.03493238922690503,0.9988608406490984,0.9985605808743728,2.1664764217734254,22.175906417416936,12.683258314563133,1.907,165.763,12.2776194,0.300816,3,2,286.004742753757,66.4288446207442,13.578,-5.49372,14.64728792,,,
27,428796528,8.88853464857675e-05,2011.4953221830676,0.9992219668113956,0.7243982857424885,0.003747504548745728,1.9172379334391871,9.11168957,7461.0,1.58329,31.0,0.2438,0.2464,4.27270985,0.026131471355404657,0.9991147146101588,0.9994725963129224,4.3429837064991546,22.782294347837208,8.053216148004259,1.713,214.98,6.99844646,0.431598,4,2,41.26629139760811,80.8757131561229,14.7177,-10.2718,17.94771764,,,
28,193627658,1.3622099004351185e-06,2010.2763933337408,0.638080057848202,0.7870902083542534,0.0029464738031577675,2.117496192322688,11.05729961,6245.0,2.29173,31.0,0.3451,0.21600000000000005,3.80052996,0.5543085484536612,0.6726390954999469,0.6727241157768337,0.015118616044789906,150.46178656023784,17.77779279213543,1.21,585.696,7.196967,0.10053,2,3,266.562678441007,45.3921663341278,-8.91089,3.48558,9.56834513,,,
29,329248002,0.001655982225202024,2010.2688636457647,0.9400747969074286,1.5551964866056296,0.004562366553798825,3.234583974564328,8.79769039,7483.0,2.89922,15.0,0.2605,0.2581,3.74928999,0.22835042253300306,0.9393964961158028,0.9486661467614238,8.763976523235531,785.0049624608231,25.53103009891604,1.721,344.44800000000015,23.7442856,0.07062180000000001,2,2,263.817855760543,55.003394959587794,9.330639999999999,0.84024,9.36839613,,,
30,123409994,0.28860366344451904,2011.2673678892718,0.9768898480409643,2.7577517822143007,0.05297583235758152,7.52901922941528,10.71399975,6768.0,4.02256,9.0,0.3011,0.2475,3.39042997,0.1408451961283621,0.9801617777207492,0.9784765461776234,9.450746111475839,92.63406452552984,7.9989894962909505,1.45,996.048,30.58737,0.0222771,2,4,281.882501068044,43.300211252265214,2.42048,6.99175,7.39887096,,,
31,229538448,5.070207407698034e-06,2010.4834347157605,0.7409669448666221,0.6012826389269041,-5.915132988983692,1.0431368944287411,12.57559967,5747.0,1.06933,40.0,0.371,0.2094,4.39268017,0.466860843318858,0.7704169272792014,0.7690766571690499,0.2526229242494927,54.051114762595155,16.178105444517566,1.03,482.198,1.1237911,0.842361,3,4,221.755284854561,74.681883027781,-5.27599,10.1147,11.40803342,,,
32,311716768,0.007512720767408609,2010.3926443781586,0.9996846122347548,1.0042239416376044,0.009677277747838886,2.7021258726102992,10.10980034,5760.0,1.10102,24.0,0.3495,0.2247,4.36774015,0.01633504878431026,0.9996630303304821,0.999757990575604,1.1922269846275664,10.252921962128172,8.090547034399691,1.031,159.235,1.20219314,0.772457,1,4,277.11497993265897,15.1032708244642,5.69376,-29.0929,29.64482642,,,
33,336128819,0.8393963575363159,2017.7126421070082,0.99674705451262,7.844541879714366,0.03159769996298767,1.5881848160070795,11.73709965,3384.0,0.34388,3.0,0.1555,0.4459,4.87998009,0.05331591145377794,0.9972953996499782,0.9969403443682168,0.4115359622545893,10.244259367636774,15.104077746268716,0.32713400000000004,33.3631,0.0139710791,8.04461,1,1,281.176524484804,36.562368209087,-33.7996,177.358,180.54991865,,PC,
34,237199217,0.005128724966198206,2012.4314277599915,0.9944274768930674,6.006834299081812,0.07218257527132232,6.593660480938894,9.51961994,5224.0,1.35377,4.0,0.411,0.2061,4.12436008,0.06795344930582754,0.9942919738943234,0.9960532688896035,6.368240336960424,39.95220528682698,9.22565460433685,0.89,125.657,1.22970319,0.358716,3,3,292.536996782564,76.53345347296309,21.0188,22.4202,30.73199182,,,
35,289379110,2.03537047127611e-06,2010.5479361643213,0.38140151753168905,1.948695669057087,0.009868639633042629,3.6189359084255184,11.07079983,6766.0,2.1533900000000004,13.0,0.3096,0.2225,3.93319011,0.7292595048079351,0.4334056666594849,0.4280917805203766,0.4248744538503463,397.0908568414022,20.25746716113979,1.45,627.2280000000002,8.755202,0.14521199999999998,2,4,278.315057766267,37.75357470704729,-4.8028,-17.2082,17.86586228,,,
36,268392799,1.914565291372128e-05,2010.5768244394799,0.6757224564489202,0.9259674148667522,0.0018296306406835328,1.4401158882536145,13.20199966,3967.0,0.886919,26.0,0.339,0.2994,4.3332901,0.5210112587138679,0.7147727173711466,0.7044552582752702,1.4382822498132746,931.1434156292028,31.12965737886965,0.618,229.778,0.17551396800000002,0.8858010000000001,3,3,275.908812600864,85.080902713101,7.28412,-29.6739,30.55484815,,,
37,332966717,0.2873881459236145,2011.7314415892447,0.9986203452578616,2.2957815061772933,0.0352743328597207,6.153534253501174,8.19122982,10977.0,3.5278,11.0,0.1426,0.2695,3.79973006,0.035385105075834075,0.9986012011960336,0.9989064894059928,6.256554974600173,50.07052662845027,7.082059909009247,2.862,432.415,162.793991,0.0651863,1,4,274.959706580803,19.1712667370067,-2.6168099999999996,-10.2275,10.5569622,,,
38,286968775,1.748172280713334e-06,2010.880191719394,0.3734495658422688,1.916921970024696,0.012068573574333885,4.379155115669522,10.79259968,5872.0,2.34611,12.0,0.3596,0.2317,3.72268009,0.7261216377790755,0.4268253842870362,0.4266917414112063,0.013365560417572338,315.05466443260053,17.4547439142941,1.06,461.907,5.89568329,0.08208480000000001,1,3,268.76496615932,14.177570588816499,-7.704039999999999,-22.4088,23.69612943,,,
39,233080133,5.478259026858724e-06,2010.303877910132,0.973546360337689,0.7915361430889359,0.004084491979080784,2.1175014975140583,12.10179996,3952.0,0.55991,31.0,0.339,0.2994,4.68541002,0.14880975022262655,0.9766037283402332,0.9766888868788779,0.2493037781065199,105.5887007626474,14.111754684250464,0.554082,116.772,0.06889678,3.1566,3,2,271.562377556305,65.7068107517411,-40.29,266.87,269.89420335,,,
40,377055044,7.567226020910311e-06,2010.6225566452995,0.6768479996219823,0.7479565053700096,0.0017193981032931904,1.5682920165632632,13.06140041,4709.0,1.0608,32.0,0.4776,0.1729,4.26185989,0.5122441199665229,0.7582149287755299,0.6750086335311378,13.792811702612994,873.5996191087413,26.451395379480573,0.75,402.702,0.498511285,0.6282939999999999,2,1,285.128002220941,59.203925851301,-6.65635,1.14872,6.7547429999999995,,,
41,137157702,1.284646260896194e-11,2010.564143517516,0.9964819810621222,0.6992671702853426,0.0012582077723934935,0.5539322417549067,8.76896,7027.0,3.79356,35.0,0.2894,0.2507,3.47003007,0.05506044696255582,0.9968183337813118,0.9967607687190768,0.15472363548826654,21.72704217514748,9.225419493948774,1.5490000000000002,373.104,31.6132,0.0283733,4,2,29.774663305773892,77.5976430833858,18.8986,8.33187,20.65374396,,,
42,259101798,3.229881639921217e-11,2010.625593794156,0.9975679723252908,0.6388220214266064,0.0008369864530712867,0.4643420855460773,9.43408012,7570.0,1.7870700000000002,38.0,0.2353,0.2551,4.17830992,0.04623714878161502,0.9979650643342566,0.9975204464242798,1.5999098106772456,20.42623170799376,14.853415009459512,1.756,284.221,9.448419,0.307683,3,2,291.16834809520014,71.9076355209108,2.87263,12.1088,12.44488009,,,
