rowid,TIC_ID,Probability,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
0,196991868,6.044429596840928e-07,1843.1904081536616,0.9972558838454728,0.7006293230117979,0.0026834288179131693,1.585980772347011,12.98989964,3361.0,0.279462,32.0,0.1555,0.4459,4.94918013,0.04896882581432278,0.9976002730067004,0.9971865804057936,0.7032786773875619,12.425779219840873,9.197795204674225,0.253369,46.7819,0.008978716999999999,11.6087,1,2,95.55862968820091,41.8403663182619,-66.03699999999999,-86.9149,109.15624220000001,,,
1,237203014,2.4301038138219155e-05,1843.072563023797,0.9973561966362204,0.8392799688307391,0.006456517747944368,2.2572579727476816,12.87699986,3336.0,0.551225,30.0,0.171,0.4514,4.69288015,0.04789785415140239,0.9976664503287852,0.997479778818278,0.5531007133907035,19.79425878590285,9.366237480120263,0.546355,102.187,0.03390445,3.26203,4,1,293.301972029422,73.6088285809214,18.0384,63.4377,65.95244996,,,
2,400095573,2.2699616408772272e-08,1842.66207656,0.998907946515801,0.6024696781305795,0.0004873296336848077,0.4125364310125885,8.55475044,7619.0,1.51394,42.0,0.2559,0.2329,4.32729006,0.030927519233177207,0.9989293539274442,0.9989937278399236,0.322330248785313,14.353025476142285,9.875976526399096,1.776,164.61700000000005,6.95832,0.5118189999999999,2,2,96.685220752511,73.75819301779092,-1.99,-27.8854,27.95631652,,,
3,457095787,0.3717581927776337,1842.5797787634576,0.9988340629400504,12.197109810245097,0.2853178654208657,4.11970451569166,9.33129978,5032.0,0.801257,3.0,0.4244,0.1961,4.55480003,0.031030454733365968,0.9992702628137232,0.9984036933009364,5.451398148709772,22.74927656568747,9.65764602098801,0.84,64.1349,0.370852172,1.63292,2,2,118.38215886540002,67.6745145785846,-70.4737,-33.3031,77.94638453,,,
4,333792986,0.5747267603874207,1843.5524345230285,0.9984579902174312,6.214365940186268,0.02188387146235593,0.983074976078648,9.95444012,5942.0,0.943372,4.0,0.3454,0.2253,4.52452993,0.03614651558495895,0.9987399403983144,0.9983513106097,1.0514325452049391,11.66426747808447,16.984539831527723,1.086,135.539,0.999520361,1.29354,1,4,120.24081886791402,36.87803542718029,3.5226300000000004,-10.0295,10.63013605,,,
5,165555377,4.3332260247552774e-05,1842.624392978016,0.9838734056949308,0.7054586103902236,0.0030072433514864447,1.8523261175268864,14.03509998,3162.0,0.228888,36.0,0.1533,0.4776,5.01632977,0.11840121802328132,0.9852662273480366,0.9850038429342506,0.2774578938567553,33.95127109043965,11.00295894160106,0.198383,54.0934,0.004718329,16.5438,4,3,267.062196187872,59.389693011929296,-56.8338,88.0705,104.81647672,,,
6,259100107,5.102467184769921e-06,1842.8222825872504,0.989944799516698,0.9696086424496402,0.006897869242571297,2.600849354764505,13.64330006,3163.0,0.278486,26.0,0.1533,0.4776,4.95033979,0.0934932392215305,0.9907478502381072,0.9909104822679976,0.2547632936985257,35.39670174016483,9.290090579927208,0.252275,56.1899,0.00699355872,11.6806,4,1,291.278348667306,68.4658763574282,2.22083,59.3421,59.38364184,,,
7,441629144,3.1088688956515398e-06,1842.9207449889907,0.9958894724638632,0.8640430394443137,0.0051138049017629425,2.177464298954656,13.37839985,3263.0,0.255593,26.0,0.1529,0.4604,4.97887993,0.059879989727556364,0.9962648347009738,0.9962679209252018,0.005246954076491846,17.60033508983852,9.737456680731883,0.226939,47.9052,0.006672075,13.5913,2,2,122.075650623906,72.2648153166317,-53.3632,-23.3801,58.26027970000001,,,
8,141070753,0.0009766132570803163,1843.8701103978533,0.9998183216075854,1.7451603993003455,0.01109301051107614,3.2159060616521287,8.36034966,7100.0,1.60792,13.0,0.2961,0.2276,4.22310019,0.012524179336959387,0.9998501572780772,0.9998008837523882,1.3406244312011844,13.063451529152427,7.489189683638602,1.5759999999999998,147.118,5.919104,0.379109,1,1,119.49931453913099,43.01131584922422,8.25348,-3.2488799999999998,8.86990154,,,
9,159342866,0.3860918879508972,1847.8487617720762,0.998537875387534,8.652636817876134,0.12035295716357107,3.1006651796414624,10.65649986,5307.0,0.831032,3.0,0.4036,0.2028,4.55929995,0.0348711958885965,0.9988355874263146,0.9984941593240024,1.156403622244655,13.951050694426394,7.753329916381836,0.913,134.191,0.493544579,1.59081,3,4,234.620046264095,82.74661143922042,19.907,-0.762069,19.92158122,,,
