rowid,TIC_ID,Probability,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
0,115551110,1.2049444997330738e-08,1764.8319157113626,0.9979417725104625,0.6589623412050539,0.0009320677257242392,0.4058865014792612,8.73480034,7533.0,1.85903,29.0,0.2353,0.2551,4.1402998,0.042535689422859714,0.9978936094897988,0.9979454966995864,0.17854712195164285,18.21660241245328,9.471758003340263,1.741,216.47,10.0262165,0.270984,2,3,8.05391748726357,38.2752774589065,28.4216,-3.6926900000000002,28.66048335,,,
1,321446584,5.311366277349627e-11,1765.2213145443384,0.9987236883417197,0.6332246075823369,0.0008921972586938832,0.4008570044758898,7.40186024,7146.0,1.87337,31.0,0.2801,0.2331,4.09502983,0.03328005386406115,0.9989638998951056,0.9985850733621876,3.61606116672966,23.536386660431052,11.943838167235914,1.5930000000000002,110.154,8.245092999999999,0.242294,3,3,320.031584247506,69.5682122537802,5.58173,-12.2764,13.48575941,,,
2,467421670,5.463213437195691e-09,1765.226331859576,0.9994421745806198,0.6535573448487435,0.0009020777648409696,0.4249973161829184,8.43634033,7647.0,1.64195,32.0,0.2559,0.2329,4.25946999,0.022104071745830043,0.9991490794701648,0.9996743384750024,3.731245387522209,11.325497422559366,9.647090128461064,1.787,171.255,8.305773,0.403685,3,1,336.213726876495,51.9016346802143,19.3894,1.07394,19.41911892,,,
3,243315719,6.312719960988034e-06,1765.4240488426017,0.9995254627439568,0.7684064354852798,0.0049963135314952676,1.874368313997751,8.36779022,6510.0,1.30354,26.0,0.3079,0.2295,4.33362007,0.02019115810499416,0.9995812530592264,0.9995581160391336,0.645782690416974,28.450765278524408,8.955995542682347,1.336,106.544,2.7495904,0.60316,4,1,289.372539867365,59.3651036489053,29.9852,16.7114,34.32758525,,,
4,233608839,0.002145279897376895,1765.1256408997492,0.9996269483153164,1.5736792454825486,0.02003912713935441,3.742894769116072,8.71805,6901.0,1.54666,14.0,0.3026,0.2256,4.23594999,0.01792753361204709,0.9996652412687966,0.9996365731316595,0.6459452922230006,21.761258317904225,8.407756612530937,1.5019999999999998,159.933,4.8880043,0.405963,4,1,283.152006648586,62.9116367767984,2.33317,-37.333,37.40583606,,,
5,462575057,0.00010427492816234007,1764.788084128362,0.9997664318781968,0.6816802189303919,0.004798094070950332,1.5226919141435065,7.91969013,6891.97998047,1.52171,27.0,0.3026,0.2256,4.24891996,0.014185440512631882,0.9998101023066248,0.9998063253649326,0.11911343015548218,16.190511731947964,7.099057797382022,1.4980000000000002,108.924,4.70686436,0.425129,4,3,232.75988583524898,66.6712574960856,28.3245,11.6122,30.61242377,,,
6,272822330,0.08606498688459396,1767.3810437824616,0.8840467063284227,4.500174914544443,0.03176117356479668,3.6127465688255,9.74520016,7340.0,3.56787,4.0,0.2605,0.2581,3.55596995,0.3176425010736487,0.8870784826084678,0.8857180903843966,0.518112221384831,134.86519336379482,18.17486538577564,1.67,599.004,33.2886772,0.0367697,3,2,356.57469923602,62.0259460490471,-2.93242,-5.47628,6.21198275,,,
7,232612416,0.9982019662857056,1765.6076715065203,0.9946429916340144,4.358566819464103,0.024400178464156763,1.6442479123244418,11.11530018,5227.0,0.874131,4.0,0.4136,0.1999,4.50478983,0.06663315854138797,0.99488003005689,0.995085353278104,0.5008151992198123,36.675606409610594,16.924972985674636,0.8909999999999999,168.735,0.513875,1.33398,4,4,259.023619094492,63.105956038348296,-2.8671900000000003,-81.0291,81.07981145,,PC,Low priority PC
8,199688409,5.9504359342099625e-06,1765.1719518327677,0.84141880645594,0.8685861373963385,0.0032223926071835995,2.0647572590352024,12.04899979,7738.0,1.91336,22.0,0.2396,0.2457,4.13455009,0.3733924776211287,0.8476735344625177,0.8468607096780778,0.3741606798405427,291.07929550376036,19.32577572894988,1.82,1065.4,11.8250427,0.259825,4,4,253.051450226442,57.7254690748411,2.4853,-3.14795,4.01077365,,,
9,232982544,0.003578347386792302,1765.0814878567512,0.9999222737534248,0.7799674693236817,0.004508399450938616,1.7941656895338067,5.48500013,10046.0,2.19524,22.0,0.1621,0.2508,4.16504002,0.00838316654245368,0.9999163453937688,0.999931384134172,1.2668921475242148,17.973648500905547,9.048653438222145,2.57,79.6976,44.2211952,0.242934,4,3,241.58199252332,67.8101345946226,-36.0963,63.3361,72.89996184,,,
10,471012662,2.6032972755274386e-07,1764.8065250640818,0.986738809899942,1.0171490970640311,0.005028395980370526,2.257575592316255,10.60700035,6000.0,0.425,19.0,0.5221,0.3406,4.85375023,0.1009975614802887,0.9883750132707436,0.9872637365722484,1.4870896280679968,30.505624503995662,9.807546829702787,0.47,40.99667,0.0230007283,6.12253,2,4,15.9254,40.8544,97.42,-155.17,183.21677134,,,
11,232606431,1.45113296379229e-11,1764.7363676370553,0.9992924703357612,0.6570786699097563,0.0006317004057109776,0.363727891569102,5.48029995,7834.0,1.63877,30.0,0.2448,0.2339,4.27854013,0.02494420531692245,0.9990317227237812,0.9993495444853356,1.9140247444641,12.638194290443748,16.027319734998255,1.86,43.8899,9.11308,0.422628,4,4,258.135754538385,62.874331548036295,15.9306,47.6402,50.23318298,,,
12,376023519,8.007731594261713e-06,1764.796606817023,0.8764462204488552,0.7284674342701795,0.0024549347275316658,1.4191342094387227,9.36297989,5654.0,1.3630799999999998,30.0,0.3726,0.2129,4.17076015,0.3222177837837107,0.8838174081921669,0.8859608140523099,0.8233754278457104,51.75421386776736,13.195937191803287,1.004,132.36,1.71065784,0.396429,3,4,317.282208609476,62.8889044861032,62.8901,68.9389,93.31525390000002,,,
13,352317587,5.884073783768429e-10,1765.118294548514,0.9984959807766516,0.6075187934562041,0.0005600414000949684,0.34361026370048225,7.10876989,8464.0,2.33748,30.0,0.2042,0.2456,4.02320004,0.03660711854275669,0.9984001216037046,0.9985168005382936,1.0821399089162185,19.862602647793246,11.431905051845012,2.102,149.982,25.263567,0.16458399999999998,1,1,15.1308815458764,37.7915054040577,13.2518,1.64087,13.35300182,,,
14,233570240,5.151107325218618e-05,1765.0481277596384,0.9924763318762984,0.6092950852475436,0.005973017691231652,1.4952323490719417,13.28649998,3263.0,0.275863,32.0,0.1529,0.4604,4.95347023,0.08101170103327572,0.9932205525976312,0.9933330362698192,0.1791080145051132,28.63745696624097,8.090107916272634,0.249338,49.5384,0.00777230645,11.877,4,1,281.996631565093,64.5824427211461,-21.1864,-55.626999999999995,59.52500881,,,
15,280069113,0.00025046145310625434,1764.8426019651154,0.9862153450422664,0.7383496727088388,0.005114765230628482,1.8043782229497352,12.71119976,3295.0,0.461509,27.0,0.1529,0.4604,4.77128983,0.10965561782066224,0.9872530576595776,0.9879906908573978,1.7517197589205755,73.97101508595243,10.572301884145814,0.458762,73.5867,0.0226191729,4.6671,4,1,297.98668964527,67.2838468400541,12.3517,-67.3371,68.46056916,,,
16,416401395,3.750221921200447e-12,1765.2014282326513,0.9955189729927478,0.6426287441520977,0.0009085118110066516,0.4014845656667523,8.20324039,8058.0,2.00367,31.0,0.2273,0.2465,4.12512016,0.06290802016797821,0.9949044877947056,0.995007575546488,0.17801017747165698,19.20572254606793,22.24203047881952,1.953,200.58900000000003,15.2494612,0.242787,4,1,287.875772081099,58.5338961208524,15.5284,21.497,26.51890299,,,
17,289572269,0.003600291209295392,1765.09648904947,0.9995405054117226,0.6816556371412839,0.0006854079219170697,0.3767483123165785,9.87475967,7428.0,1.77529,26.0,0.2683,0.2357,4.16998005,0.02000874750010575,0.9994373334945352,0.9995634580378088,0.7518521235657502,8.425378792066939,14.766861616685615,1.7,344.838,8.644150999999999,0.303836,4,3,252.11762484579498,61.957660131919795,14.3148,-26.6416,30.24381506,,,
18,196896001,1.2571006664074956e-05,1764.9180170802813,0.9309933924533064,0.6108366244321058,0.0028835626503728173,1.3642330047000841,15.41559982,9242.0,1.39978,30.0,0.174,0.2313,4.5151701,0.24968784429375104,0.925526358688986,0.9514686713361206,5.788690481110186,37.94717235300795,11.03198019206805,2.34,4297.01,12.8788462,0.853175,2,4,19.791298881383103,43.98531519643479,-1.3942299999999999,-1.5891899999999999,2.11409606,,,
19,219900027,2.684056198631879e-06,1765.1610227487986,0.7427286202384129,1.0305578409783986,0.004757225501267337,1.6439451927202742,11.20240021,6524.0,1.84639,17.0,0.3276,0.218,4.03252983,0.4688601265768048,0.7465148720209576,0.7442403989915702,0.4160261127657739,62.90828329480856,12.554934838365929,1.34,545.361,5.564119,0.212881,4,3,263.838687037098,68.63861656157411,-7.19065,15.0708,16.69833704,,,
20,376963666,2.8917365852976214e-05,1765.1896558659603,0.5756189014773239,0.6244208099558313,0.0034488882238851715,1.5832537031419438,10.07579994,6746.0,3.58348,32.0,0.3089,0.2445,3.48781991,0.6028187635157509,0.590934154213941,0.6522676527686482,24.80758040161005,357.9089267164431,12.383380411124456,1.44,546.903,23.96014,0.0312931,3,2,341.586250821578,67.7062272152468,10.3197,8.25432,13.21476473,,,
21,269598225,8.012951413505219e-10,1765.6020490456533,0.9973736827200852,0.9342630052917535,0.00149825693037281,0.4518227124659618,9.6882,7683.0,1.67419,21.0,0.2353,0.2551,4.24572992,0.048048560903623375,0.9976575978079336,0.9972696406939556,1.0035001422160559,15.09051911479769,8.659505587874866,1.8,302.05,8.79888,0.383582,4,1,301.026716919403,66.2944792965535,10.8793,2.50311,11.16354461,,,
