rowid,TIC_ID,Probability,Unnamed: 0,Unnamed: 0.1,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
0,231822493,0.0019809273071587086,329,329,2145.137282303515,0.9996841979002992,1.1980620850242747,0.010089963629197896,3.1412049394793167,9.68500042,6889.0,2.56861,19.0,0.3026,0.2256,3.79475999,0.01649466688444862,0.9997190620685787,0.9997127654289372,0.1102977294509836,13.780451894458833,9.266033075201227,1.5,403.832,13.3880243,0.0885107,3,4,86.2906817258033,-48.355805390514604,0.773975,25.7503,25.76192903,,,
1,141152931,2.455593508480375e-13,330,330,2144.930783320459,0.9979245598852172,0.6456750568092016,0.000829263786297163,0.4512713071033311,8.1534996,7660.0,1.59155,36.0,0.2559,0.2329,4.28728008,0.04263617485035159,0.9980573317990292,0.9981169741182884,0.274311356396585,20.01372352660545,10.679984610862132,1.79,142.485,7.856878,0.44401,4,3,80.58678316678359,-75.0101239862583,-9.70253,-20.9249,23.06491987,,,
2,35744706,1.6399500964325853e-05,331,331,2145.2117596750118,0.9970948709201932,0.6926406610684037,0.0021273069251827588,1.115231463937,11.10200024,5484.60009766,1.02021,32.0,0.3862,0.2061,4.40340996,0.049308730927780826,0.9972959559693294,0.9973273073043688,0.18309919886382608,37.48957531738888,13.583380083958074,0.961,212.318,0.8485009,0.905017,1,1,40.0184180667565,-5.96274971892571,-53.4338,-57.2506,78.31220967,-0.28999999,,
3,308851965,5.297486950439634e-06,333,333,2144.6772439946017,0.9597089492302394,0.6806715635217269,0.0020759593088767736,1.581861738072393,11.92669964,6289.0,1.3750799999999999,35.0,0.3174,0.2305,4.25131989,0.18568901349096634,0.9629038098844072,0.962809577862224,0.12393208188462992,51.66468476340943,13.55396386733082,1.23,491.866,2.66487527,0.473066,4,4,122.65975011441999,-64.119065058191,2.70831,-0.9272469999999999,2.86264389,,,
4,350274840,0.3564123809337616,334,334,2145.7186902157055,0.9987291115444472,1.5981413433975478,0.004626452343806211,1.196344413222108,11.682100300000002,6241.37988281,1.55578,14.0,0.3451,0.21600000000000005,4.13696003,0.0328472515717219,0.9990756923730548,0.9985719610092249,1.7273343460725523,11.087159197879275,14.377344983970517,1.21,514.13,3.30913019,0.321322,4,1,83.36776927454659,-58.7376075132064,1.3950799999999999,-7.742439999999999,7.86712307,-0.53834802,,
5,382200986,0.4625009596347809,336,336,2156.592723008147,0.9945730949678108,12.227475360050313,0.0696980387139492,3.3703563888250407,11.89109993,4937.0,0.732008,2.0,0.4508,0.1887,4.61751986,0.06663892210580342,1.0001270806508542,0.9938303050231998,8.823845707982636,20.11855239112829,13.59148557982028,0.81,179.419,0.28680014600000003,2.06508,4,1,81.8187055759389,-54.9461737403595,-6.30692,17.5803,18.67737101,,,
6,179034327,0.9610964059829712,337,337,2147.324624994716,0.9985869103077396,9.061606442890481,0.07510916229699305,2.440582746904502,9.05669975,5091.0,0.794471,3.0,0.4244,0.1961,4.56732988,0.03416138349589106,0.9991626993586572,0.997982234002928,3.9610540151477083,13.582446999723766,9.565467069496043,0.85,57.3973,0.3819996,1.6950599999999998,2,2,64.1841227582397,-26.7659057898041,-25.8301,-116.428,119.25884978,,PC,
7,364398359,0.08777275681495668,341,341,2145.4898598524,0.9997948067996716,1.2380241171587971,0.007262415696102642,3.2928573312613882,9.7784996,5948.0,1.6396,18.0,0.3599,0.215,4.04602003,0.013161462673929756,0.9998201098065392,0.9997906208227452,0.4524685288324875,8.331392809166795,8.390084473854168,1.09,206.728,3.03146577,0.247295,4,4,119.77195312419599,-60.8344884299374,-32.9378,6.51275,33.57550568,,,
8,372851229,1.9877965939940623e-10,343,343,2144.700449799493,0.9966539704179268,0.7619590198808951,0.0010340917505016196,0.4582828750025052,11.63090038,7572.0,1.6184100000000001,30.0,0.2559,0.2329,4.26539993,0.05413623134074084,0.9968129902874328,0.9968764814648721,0.13315613309223776,17.39423729430244,11.891031172492273,1.76,703.2289999999998,7.75740433,0.415187,4,4,97.95042469477859,-63.0295329885592,-2.25806,10.5209,10.76049124,,,
9,121007190,1.0069195477413473e-10,345,345,2144.8935860085903,0.9992947256708412,0.8527110300960516,0.0012029694369221078,0.44015621413702666,6.51065016,8459.20019531,2.55437,27.0,0.2042,0.2456,3.94571996,0.025067896347331985,0.9993188297677889,0.9993144849011312,0.06385819991046722,20.81922607140284,12.746774693924609,2.1,120.632,30.100898699999995,0.125999,2,3,55.3432915155227,-19.5843881719033,-8.5411,3.29958,9.15628841,,,
10,13958047,4.5890252708957756e-10,349,349,2144.654616522734,0.9997514401200328,0.6424156066591887,0.001098840601050366,0.6433462675034103,7.94369984,7713.0,2.28498,36.0,0.2396,0.2457,3.9779799,0.014782750211059731,0.9997364565761164,0.9997980022837236,1.3713132492749651,13.631063499110455,9.256543705562482,1.81,193.03,16.6477,0.15171500000000002,3,1,75.5029920542638,-39.0773977818278,16.8933,34.4281,38.34941531,,,
11,1099837,2.3844112462256817e-08,350,350,2145.0364611554314,0.9991162617218314,0.6033640715203035,0.0007576244833873425,0.2770304315503838,6.70779991,7215.0,1.92241,38.0,0.2801,0.2331,4.07988977,0.02769283930591768,0.9991394708915874,0.9990591773519208,0.7233024650836679,15.79534745049715,8.850330087622313,1.62,84.8804,9.022582,0.228023,1,1,35.842605403741395,-6.192740883610691,-33.8382,-34.3365,48.20808035,,,
12,12529950,0.959389328956604,351,351,2146.111019394972,0.983374629753492,2.399532059617858,0.007967397801272423,1.2725995358907252,12.06340027,6052.0,1.23377,9.0,0.3276,0.2297,4.30867004,0.1190521113825882,0.9845503847929729,0.9839491776438442,0.7497396026086715,86.39877835174333,19.75837781432156,1.13,466.557,1.83976424,0.601687,1,2,51.6875814512295,-9.342129891035661,36.2166,18.2197,40.54133179,,,
13,140072112,3.175553899836814e-07,353,353,2144.8399219461808,0.999253019457828,0.7953037993338102,0.0021910814009556967,1.2992548529864063,4.84180021,10046.0,1.96553,29.0,0.1602,0.2331,4.26104021,0.02603980774039369,0.999283009625023,0.9992854993096691,0.04562556487711529,28.24271059593077,11.335553487984265,2.57,52.6273,35.45081,0.33845,3,2,57.1494775678809,-37.6201510645976,80.6781,-5.00684,80.83331161,,,
14,220434811,8.790109751188878e-10,354,354,2144.6420777368385,0.9976448519506004,0.7200900583094818,0.0009601859771607436,0.4413191723703422,11.26109982,7235.27978516,1.8671099999999998,33.0,0.2801,0.2331,4.10792017,0.04520794426648272,0.9972130831804928,0.9984846190245203,2.8814727935900044,13.340374253475234,8.186010814013388,1.63,657.177,8.607054,0.25042600000000004,3,4,73.56488785612319,-56.576236356783504,5.16571,25.8339,26.34530222,-0.44561999999999996,,
15,98827443,0.00035053683677688236,355,355,2144.8665821705986,0.9907434137450306,0.8221794844269554,0.007248529496404531,2.068891903773784,12.97500038,3617.0,0.604333,28.0,0.2125,0.3984,4.64755011,0.08936595586638361,0.9914172666801501,0.9917030127634866,0.6924839777180457,53.32858266613372,8.822919145839958,0.591609,132.612,0.05631724,2.68044,1,1,45.5796109513468,-13.9803427932902,-16.0008,-55.2852,57.55413921,,,
16,257433501,2.0773077267222103e-05,356,356,2145.2122611414193,0.8733752511983688,1.1300860914135662,0.003500207267292832,1.69788174461257,11.97459984,5963.0,1.40432,19.0,0.354,0.2157,4.18056011,0.3273085222288293,0.8805799458678222,0.8807083351250534,0.05390180516353275,157.1935186715786,19.90178318076238,1.09,510.028,2.246384,0.393579,2,2,57.108451508691104,-26.2346650493194,6.59727,-3.5325599999999997,7.48351198,,,
17,36845865,1.537541720608715e-05,357,357,2144.708268151725,0.9979359786678343,1.4718445659555592,0.0016594998538340675,0.5334595397528155,11.665100099999998,7493.0,1.36186,16.0,0.2438,0.2464,4.40784979,0.042561986825461084,0.9978314360447882,0.9980038080087,0.3422346170965381,11.187892538426475,10.809568146555026,1.73,601.165,5.267233999999998,0.684934,1,1,42.916966539733,-8.20331344431611,0.967944,0.408958,1.05079124,,,
18,150431617,1.0719070814957377e-05,359,359,2145.1012547452665,0.9770584555700964,0.6540815317511617,0.003376635661577309,1.7053875473815805,13.05980015,3391.0,0.46788199999999996,34.0,0.1555,0.4459,4.7656498,0.14158908361901126,0.9789411015862178,0.9789825999805776,0.08650744561798449,52.07629859081656,10.77073761008542,0.465435,90.2876,0.0260782558,4.54412,4,1,97.3915250767168,-60.7044250696366,1.7855900000000002,18.7322,18.81711052,,,
19,251094569,6.433272938011214e-05,360,360,2145.036279040755,0.9801820620917298,0.6013526729681539,-6.055514672446054,1.5241698814744762,14.58080006,3251.0,0.344598,37.0,0.1529,0.4604,4.87927008,0.1314807485428347,0.9822847362969208,0.9819830036901762,0.2037043137553496,34.11744456894107,10.51926297370309,0.327963,118.742,0.0119505553,8.01469,1,1,38.0355639475059,-5.25957060676184,4.459169999999999,-8.60074,9.68797841,,,
20,382101519,2.340702849323861e-05,364,364,2144.6353866303884,0.7363656124218547,0.6724177042380449,0.0023356221157599393,1.749589023665436,10.40480042,6692.0,2.49627,34.0,0.3158,0.2206,3.79576993,0.475593856908528,0.7609496710318061,0.7614583464323682,0.2536578151363669,1364.1467870365952,18.80938142621588,1.42,527.612,11.2590418,0.091288,4,1,80.171336164829,-56.3183408111225,9.17573,15.6216,18.11707503,,,
21,350622984,0.013117365539073944,367,367,2145.3229649544064,0.9995685100423148,0.8408130928536447,0.008631336555443625,2.209627914788376,7.05149984,6939.0,1.56187,27.0,0.3026,0.2256,4.23261976,0.019280637477647126,0.9996121003505164,0.9996178994571656,0.30831020624573485,53.678815808230326,7.401700682894499,1.52,76.8639,5.095336,0.39894,4,1,87.54963799545479,-55.0812042747246,1.73521,76.06,76.07979071,,,
22,231122278,0.005467523820698261,368,368,2144.9972773699733,0.9998322542216828,2.0886292704924565,0.02633124268942799,5.546257888783911,8.08460045,10307.0,2.77536,11.0,0.1552,0.2583,3.97467995,0.012322592028292523,0.9998091057746248,0.9998678814108812,2.093618536804904,15.97456023645328,7.562510231374928,2.65,321.097,78.31798549999998,0.123962,4,2,69.5550144474826,-68.8116578288401,8.439,8.07436,11.67955523,,,
