rowid,TIC_ID,Probability,Unnamed: 0,Unnamed: 0.1,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
0,320538048,0.532098650932312,2395,2395,2237.248372058737,0.9984811873650395,10.22278328170047,0.044902965311298886,1.6057663814972625,10.26109982,4645.0,0.742314,2.0,0.4913,0.1645,4.56612015,0.03504912228144852,0.9990110366417486,0.9983612893700216,1.1985470573054162,10.582533607606576,7.376031704658829,0.74,75.9743,0.23110716,1.80912,1,4,120.070245893307,7.4875801626556395,-73.0669,18.6018,75.39760499,-0.191,,
1,458685416,0.6984580755233765,2085,2085,2240.907228301067,0.9882469356126926,12.500112004849589,inf,1.3349435792584383,12.57590008,3732.0,0.42716499999999996,2.0,0.1737,0.4118,4.80195999,0.10132082694836286,0.9912061569158264,0.9878478685729448,1.8866167357240549,15.033509642859096,12.90856335580235,0.421776,75.2865,0.0318898559,5.41122,1,3,132.00463895331998,8.945910740927939,-192.863,-674.888,701.90451581,,,
2,6281605,3.3090870488194923e-07,1010,1010,2229.271103388677,0.9981169264537256,1.0544568602180109,0.001620670675998026,0.5119735926012106,11.47430038,7715.0,1.49966,23.0,0.2448,0.2339,4.34614992,0.04069405682839559,0.9980475870496304,0.9984081995892172,0.8177789262322693,10.57876853900919,10.427582811408216,1.82,613.059,7.178323,0.539628,2,4,112.500520665339,-9.947479897628071,-7.81387,3.06739,8.39436989,,,
3,278179191,4.845935208663832e-09,663,663,2229.607356455866,0.9993476348347105,0.6561853229070881,0.0005760317915040059,0.42864436582051546,8.22949982,7715.0,1.54637,36.0,0.2448,0.2339,4.31950998,0.02395205208554125,0.9993360489700852,0.9994165216983876,0.6314426447202275,12.58037209677294,18.528878429707188,1.82,140.467,7.632500999999999,0.492185,4,4,108.74046616528099,-81.2229895171902,-22.1183,32.1282,39.00564613,,,
4,26047188,9.026879524753896e-06,931,931,2230.0249873210373,0.9982526349668834,1.0664278894279693,0.0022048160775983705,0.5302765082137151,10.76189995,7330.04003906,2.37327,22.0,0.2683,0.2357,3.9074800000000014,0.03901858570737683,0.9985129446182842,0.9983085421138334,0.7487660279492793,14.410696982319172,9.71374803164375,1.66,681.316,14.6491556,0.124185,1,1,119.719338712594,-2.9663450064123897,-0.057761599999999996,-2.23458,2.23532641,0.11063599999999998,,
5,31774464,0.0014427880523726346,462,462,2232.976764974443,0.9998900972776882,4.105434997736843,0.039734762827871695,6.411184725439933,7.09119987,6407.45019531,1.3006799999999998,5.0,0.3115,0.2298,4.32031012,0.009709885789607943,0.9998974098467996,0.9998984832636708,0.04337523383688868,11.29151384883425,7.643649396150786,1.29,57.2983,2.56909084,0.586238,2,4,116.371836815655,-10.160669890887,8.61837,-1.50104,8.74810966,,,
6,266545168,2.3909961331799665e-14,3461,3461,2229.6021498476816,0.9981069519447462,0.658372527393821,0.0011586410627126287,0.6903168791907017,8.73330021,7577.0,3.70776,36.0,0.2458,0.2616,3.54536009,0.04068669835115176,0.9982663218504624,0.9982658168431192,0.0064435588600956035,29.536203643954238,11.820134231783126,1.76,439.514,40.823307,0.0345284,1,4,118.89856658717301,3.2719858813131295,-9.13735,-4.95694,10.39530756,,,
7,81403626,4.708917700213533e-09,853,853,2229.3965476032963,0.9986420128023364,0.7474822211469236,0.0010297599578107939,0.4786800091821035,11.25160027,7698.0,1.59182,32.0,0.2559,0.2329,4.29195976,0.03448823499852734,0.9989849155866534,0.9985035207722098,1.4166139020782231,9.793077575539485,8.06074158672923,1.81,591.573,8.016702,0.44874,2,1,106.779197194437,-23.233070541426002,-1.94885,4.01745,4.4651899,,,
8,50894724,3.99829650632455e-06,2257,2257,2229.257162712886,0.905646447174519,0.6113349437968011,0.0020931077953336708,1.6436244496549328,11.90639973,6409.0,1.60667,39.0,0.3332,0.2167,4.13679981,0.2836657935119847,0.9134597844886212,0.9161855972360314,1.8092786098260791,57.047727986187155,12.800190340296679,1.29,638.246,3.92384124,0.311033,1,2,127.079491361248,-10.7078266053476,-2.49364,5.193969999999999,5.76155923,,,
9,296343127,1.53460655294424e-09,2927,2927,2229.1729533885195,0.9990772328998752,0.7721728266997613,0.001069899926962492,0.4508941356160462,7.31575012,7404.0,1.8257400000000001,31.0,0.2683,0.2357,4.14308023,0.02835474554439005,0.9990776279075108,0.9991656456336486,0.6584758118964483,18.19606124768296,13.628892983716328,1.69,110.015,9.024802,0.277697,2,3,125.18971181487,-14.363112041019,-30.4221,13.6897,33.36033655,,,
