rowid,TIC_ID,Probability,rowid_0,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
10,233282561,0.0016467028763145206,2540,1684.0901563084533,0.8560181077868037,0.8013545735491686,0.00489113772033728,2.233126829941268,9.84311008,7098.0,3.89988995,32.0,0.2894,0.2507,3.45323992,0.3522447950143791,0.8737895348747937,0.8707694377919073,5.798485200657646,221.72434600294292,12.764823696142635,1.575,661.2669999999998,34.7811546,0.0265536,2,1,300.211742289388,55.689381900253295,4.470680000000001,8.92233,9.97972706,,,
11,230114503,0.011672919616103172,2546,1689.13734547158,0.9594881006215836,11.52900881536315,0.09780066882992157,5.583120990568492,11.24450016,5800.0,2.32856989,2.0,0.3704,0.2275,3.72092009,0.18432024852702145,0.9648488837573488,0.9642445296928579,0.3435671271416584,119.3136577665012,15.221089073754635,1.04,574.6669999999998,5.5282300000000015,0.0823691,3,4,248.782764313418,69.9404463001529,-11.4678,19.6911,22.78705457,,,
12,351193032,1.95172215171624e-05,2561,1683.7235125830161,0.9993730903595952,0.8905925927878494,0.003617439196584305,1.7824768317810011,9.04236031,5346.35986328,1.78350997,29.0,0.402,0.2082,3.90119004,0.022828709645282125,0.9994472272766656,0.9994435719854188,0.06908568228323378,26.818070151551154,9.84458121671919,0.924,138.08,2.34140563,0.162873,2,4,296.650600486569,50.2526254569242,-57.5313,-89.99,106.80847616,0.32925001,,
13,59256820,0.0007236783276312053,2563,1683.7257328451376,0.9962827906137326,0.7026882414640812,0.003227282155106148,1.2826652322990044,12.73690033,3462.0,0.35252401,29.0,0.1604,0.4325,4.87147999,0.057013276943371126,0.9958210119380309,0.996879090750178,0.8463518894869,8.321671491642102,7.251487465150527,0.337124,59.1923,0.016083491999999998,7.69527,1,1,297.10124780738204,32.8424936470427,121.995,174.015,212.51823509999997,,,
14,26489741,4.603718844009563e-05,2564,1683.488522393613,0.7600676040217588,2.465394303395339,0.007822910178728605,4.4193561369679495,6.87709999,6182.0,2.26654005,11.0,0.3451,0.21600000000000005,3.79922009,0.4513253886488042,0.7901424966098236,0.7886078521850021,0.332664838233976,457.64084894637284,25.471860455485267,1.18,85.245,6.759861999999999,0.101342,2,4,291.699776720401,50.1454946141392,55.4972,75.0095,93.30790051,,,
15,232611139,0.0002129264175891876,2567,1688.4673110293918,0.9943819988980844,8.186723725465713,0.25663549562362586,17.824580194156486,11.83300018,5229.43994141,0.69071901,3.0,0.4136,0.1999,4.70982981,0.06823703500753328,0.9943850940925384,0.9988042360655738,11.426503010846867,41.40799036137214,7.279501934082867,0.892,190.359,0.321453184,2.70683,3,1,258.763955053799,60.502409137325,-10.475999999999999,12.5886,16.37740596,0.11582200000000001,,
16,139157339,0.0003915721026714891,2568,1684.0720093053358,0.9728011934738541,1.0927901418990242,0.009510029559411937,2.062680309470597,11.76830006,6660.33984375,3.11344004,15.0,0.3089,0.2445,3.59771991,0.15261023790983602,0.9758003126431524,0.9740993562643376,3.1137113856942493,67.38173699087254,9.905740762981587,1.4,1133.44,17.1854115,0.0463883,1,1,295.270329898874,41.024111670622894,1.3774,-5.190180000000001,5.36984164,0.317,,
17,147971761,1.2858937872839428e-11,2570,1684.1118635651746,0.9980460694118664,0.7923090584616944,0.0017196068193128244,0.5800468812431393,6.88479996,7455.0,2.79628992,30.0,0.2683,0.2357,3.77789998,0.0412604793468404,0.9981351576586188,0.9982218494876806,0.35193876982979205,20.20236834585166,10.469185545403267,1.71,138.94799999999998,21.75951,0.0782079,4,4,169.694450990836,66.6842059826043,-46.7883,-6.39202,47.22290691,,,
18,138577541,0.05739196389913559,2572,1684.1452678713354,0.9984771178386972,12.075573831515152,inf,8.007568631731193,10.19239998,5399.0,0.81805301,2.0,0.3947,0.2049,4.58471012,0.0356442871412164,0.9996333929902304,0.9976092018672702,13.307806310098849,22.84331250577849,8.366007817763041,0.938,111.179,0.5122846999999999,1.7134,4,4,175.103754043044,64.5396257958449,-46.8151,-6.94745,47.32779996,,,
19,233047440,0.0020433387253433466,2583,1686.8068050515176,0.9986240727989668,9.562352854004908,0.19982555735968247,16.204199819173173,10.77859974,4021.0,0.73551399,3.0,0.33899999999999997,0.2994,4.50423002,0.03393801202169885,0.9986969459278372,0.9989649299416908,1.4418457874286563,20.163896109695266,8.49266128846903,0.63,67.4227,0.127412573,1.58332,3,1,268.69456753925897,61.2748127723689,-5.94229,84.6372,84.84554458,,,
20,355867695,0.9033023715019226,2588,1684.0174036218084,0.9989175711642558,3.126051776358016,0.015031719607530247,1.7210611995403382,10.81159973,4225.0,0.69343102,8.0,0.4429,0.2201,4.57560015,0.029713955657837268,0.9989875788612452,0.9990561474329333,0.2573084486255813,10.522873171027507,13.860092268039795,0.66,73.5977,0.13804112400000002,1.9794,4,3,157.145936711808,65.8545506373776,-177.236,-81.7719,195.19027467,,PC,Possibly two level one candidates but scattered light present in difference images
21,160601758,1.8222855068992204e-16,2589,1696.2827272701832,0.9992777916769578,13.424962048640955,inf,17.522238346479586,11.66170025,5177.0,0.73669398,2.0,0.4136,0.1999,4.646490099999999,0.02446585978343533,0.9993955293670878,0.9993050401197192,0.3519982221413219,7.119511325342504,9.322131782119364,0.877,179.706,0.351222336,2.1935,3,4,244.29964162000098,72.1654142000559,45.7978,11.9203,47.32369424,,,
