rowid,TIC_ID,Probability,T0,Depth,Period,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Period_Uncertainity,odd_even_mismatch,Disposition,Comments
0,271550131,3.981038389611058e-06,1468.6172671825138,0.9986665283076788,0.7103803910267557,1.9112134837627688,10.49100018,5974.0,1.12819,29.0,0.3345,0.2282,4.34671021,0.03367600370089652,0.9988306451923792,0.9987266712352956,31.921222271880268,11.26397615134229,1.11,211.111,1.50008368,0.772987,3,3,86.90378199999998,-46.95105,9.59705,-15.9625,18.62537986,,0.003299855490069614,1.1043070010971785,,
1,235289324,9.232757787469571e-12,1468.4543882984008,0.9993538435289764,0.7038494297226899,0.5584713124239692,5.58199978,7395.99023438,2.3642,30.0,0.2683,0.2357,4.0,0.02372731261496881,0.9994238815752866,0.9994120801575316,17.134627016760028,9.615578281833095,1.69,62.2121,15.0677958,0.127889,1,3,103.206118,8.380369,-33.0,-31.0,45.27692569,,0.001086460895408814,0.13790770990337153,,
2,300012851,0.0035419117193669076,1468.6820047342844,0.9979472143257596,2.568450793987107,0.6731239661979429,10.28199959,6871.25976563,2.65292,9.0,0.3026,0.2256,4.23594999,0.04205405193970183,0.9982750325643808,0.9980907823133064,14.821723350866153,7.659698839870503,1.49,512.972,14.13471,0.0798025,4,4,107.180781,-66.715813,-6.5,15.2,16.53148511,-0.31883201,0.004072027557530332,0.5739602339844979,,
3,50525230,0.0005828061839565635,1468.4995439197367,0.9990071140352488,1.148810112764945,3.1161428985001494,9.13799953,8422.0,1.88923,18.0,0.1701,0.23,4.24020004,0.029975468334975712,0.9990554791163349,0.9991076793874564,34.72643910592237,7.536964183604415,2.38,329.343,24.6917057,0.35296,1,1,81.779212,-2.928975,0.717637,-1.36096,1.53857564,,0.011161823461318776,0.8656549458541262,,
4,261399229,0.8667351007461548,1470.3837521335406,0.9981994904555741,6.546565121202757,1.378518616484694,11.28800011,4812.0,0.743359,4.0,0.4642,0.1807,4.51970005,0.03831038181927676,0.9992767714785212,0.9975451848798924,8.931136141953138,8.784595471240348,0.77,129.588,0.25536117,1.87454,4,4,94.801979,-78.147856,-5.25128,72.1242,72.31511714,,0.03559839528708286,3.0614567425747747,,
5,47911178,0.9516223073005676,1470.3072756311933,0.9881975427666558,3.5845867015044646,1.9746478048789584,9.77600002,6400.0,1.34556,5.0,0.3115,0.2298,4.34434986,0.1006227342365772,0.9887445340311524,0.9885320440038214,139.26123193042886,25.20430821648713,1.2770000000000001,201.22400000000002,2.712802,0.524179,2,2,98.351101,-23.486203,-2.65533,24.8444,24.9858958,,0.012701881324876265,0.8123068814165932,KP,WASP-101
6,272434749,2.02154524231446e-06,1468.8718977866486,0.9923360421322568,0.8654959984917091,2.366755425611604,13.92300034,3358.0,0.518213,24.0,0.1819,0.4364,4.0,0.08149749292738162,0.9931715875952768,0.9927727736453612,21.857366019578567,8.586830854525786,0.5157649999999999,158.276,0.030726753199999998,3.7061800000000003,4,4,120.605124,-75.595619,-22.3016,24.057,32.8039725,,0.005255600786333582,0.48045932868402,,
7,271892595,0.16619351506233215,1468.900529364424,0.9996175105561866,4.962688757931084,10.827945893512258,8.91499996,8395.0,1.8526,5.0,0.1796,0.2326,4.20143986,0.018567801027726368,0.9996607483321756,0.9996406114766896,22.22750124630322,8.490537606438918,2.26,272.298,19.947105399999998,0.355435,4,4,113.256572,-72.587997,-3.94468,-11.9236,12.55916945,,0.11792875177851815,0.43284821335243495,,
8,350740905,8.768305193029846e-09,1468.8927112133954,0.9924939033808272,0.6223190972577788,1.6008678787552824,8.42000008,7679.0,2.72582,33.0,0.2147,0.2467,3.83558989,0.08161056691263842,0.9931585396272736,0.9932003096874126,38.79277333152936,11.102422366028499,2.0,296.606,29.9856777,0.09875060000000001,4,2,88.55196,-56.17769200000001,-7.683160000000001,-1.72141,7.87363956,,0.002460377711564543,0.28023811880505106,,
9,172193026,3.319271940638302e-11,1468.8676137454413,0.9920220555614176,0.6260390475658747,0.4629027862681489,9.07199955,8236.0,1.58031,33.0,0.2448,0.2339,4.33911991,0.08376119211800928,0.9930832209953234,0.9923666966101826,16.43511669114651,12.127430093595873,1.844,226.005,8.268734,0.46723000000000003,2,2,98.443986,-27.95607,-18.3833,0.440567,18.38857847,,0.0012399848120731027,0.6735261696059378,,
10,156194000,1.453933917705541e-10,1468.784504674475,0.9959798652489924,0.8858064207961757,0.4738801944836167,7.51999998,7607.0,2.11066,24.0,0.2683,0.2357,4.04415989,0.0591834132701652,0.9959273995679544,0.9966101802679096,18.21677417816957,10.121427030774946,1.6869999999999998,138.591,12.015834800000002,0.17941500000000002,1,4,86.390353,8.581952000000001,8.68502,-19.3575,21.21655907,,0.0009848698741035666,1.5476047236930337,,
