rowid,TIC_ID,Probability,Unnamed: 0,Unnamed: 0.1,T0,Depth,Period,Period_Uncertainity,Duration,TMag,Teff,Radius,NumTransits,a,b,logg,rp_rs,DepthEven,DepthOdd,odd_even_mismatch,snr,sde,Mass,distance,lum,rho,Camera,CCD,RA,DEC,PMRA,PMDEC,PMTOTAL,MH,Disposition,Comments
0,11114789,2.9830891890014755e-06,410,410,1711.7106695293473,0.9864408746688488,0.7274014755625362,0.0021469898875619013,1.2123017285844258,13.64649963,3545.0,0.475051,26.0,0.1604,0.4325,4.75931978,0.10888882929770706,0.9868744243532682,0.9868223532222956,0.02326783329205094,15.905875967823501,10.042967861537893,0.472865,130.55700000000002,0.032109987,4.41079,1,2,303.915908278634,36.986522185369395,48.0588,38.2771,61.43927605,,,
1,298666271,8.844892249726398e-07,414,414,1711.7254657219653,0.9229780179799674,0.8958537054422558,0.00424293483163396,2.0418257537327675,8.77420044,7304.0,2.29195,21.0,0.2683,0.2357,3.9356699,0.2590520589270699,0.9279214485570186,0.9218253637512656,5.978517814573825,44.238419567835074,10.007649673687633,1.652,263.757,13.4693546,0.137213,2,2,278.351503873267,58.706485076122505,6.31661,11.7521,13.3420919,,,
2,369487358,0.33219999074935913,417,417,1715.4410275166138,0.9998708844869704,7.169902173867352,0.06013603520308841,3.1429392861397902,6.88590002,6041.33984375,2.11055,3.0,0.354,0.2157,3.83850002,0.01045170702798418,0.9999226080951512,0.99982730209086,2.1733106216636746,7.650452534809903,7.9540896786658015,1.12,76.2857,5.34586859,0.119133,1,4,333.263508285426,33.6033514843645,7.959,66.8929,67.36472186,-0.20337801,,
3,320526252,2.676142912605428e-06,419,419,1711.9908303911511,0.9998391362469756,0.8933540343562287,0.004576949137943209,2.218161953562376,8.7495203,7180.0,1.85903,25.0,0.2801,0.2331,4.10496998,0.011815027880292943,0.999852381958871,0.9998477445742284,0.12205178483811628,11.135135246086893,9.531302680169736,1.605,206.142,8.274961,0.249813,3,1,264.953339837471,58.7082711006647,12.4341,-3.0051,12.79208618,,,
4,63544819,7.757163871247029e-07,421,421,1711.7426856153782,0.992393478252245,0.6122316020676573,0.0011715358259686837,0.6912860976528645,13.55160046,3178.0,0.400235,28.0,0.1533,0.4776,4.82643986,0.0813163535540264,0.9935230406525124,0.9924441685201324,0.7819952440696922,12.819741626871426,10.248612603149406,0.391746,84.0908,0.0147211049,6.11026,1,2,308.531197180552,40.1734346645066,26.9438,17.6681,32.22002663,,,
5,243277123,0.00011039945820812136,424,424,1711.3804496685098,0.999449831480304,0.7299949665314809,0.0022273719738823967,1.0595085386149892,10.19719982,6084.0,1.14963,24.0,0.3276,0.2297,4.37385988,0.021657050411265515,0.9993480126908344,0.9995950112308116,1.8869954758816463,10.988218032742688,9.91848570963921,1.14,192.046,1.63141418,0.750301,2,2,288.324549423728,58.5675500860814,-9.16076,8.6746,12.61618837,,,
6,198179969,2.567374167483649e-06,426,426,1712.0588150516587,0.9982516527435388,0.9056936091787928,0.002727098778145254,1.7438122873303352,9.13840008,7264.0,1.6876400000000005,24.0,0.2801,0.2331,4.19834995,0.03895107970308414,0.9983639454565484,0.9982993602910628,0.306000022238076,20.021226010896424,7.481660649471098,1.64,228.045,7.14428,0.341195,3,4,244.628459010358,64.7807652880105,-17.6954,34.0318,38.35740597,,,
7,429044383,5.922096079302719e-06,428,428,1711.707582167808,0.6583623038937333,1.18591673176751,0.002429662787424736,1.2070889730548502,10.45629978,4326.0,0.95345,15.0,0.4834,0.1895,4.31197977,0.5251651341292445,0.6656873215236192,0.6359270442451816,3.903337328561402,2165.264679476637,30.323920559787346,0.68,91.2932,0.2868381,0.784539,1,3,316.903693844362,32.5857053109693,33.5623,32.7738,46.91001969,,,
8,356109646,0.0937591716647148,431,431,1711.8913653080936,0.9994876405116904,0.6925880674509978,0.003857000809154853,1.7699098301325398,10.66059971,5771.0,0.990866,33.0,0.3495,0.2247,4.46055984,0.020820224424445352,0.9995233446958408,0.9995683258097432,0.4674232798751778,12.816671088968198,10.772454212202987,1.034,187.484,0.9811359,1.06286,3,1,261.394567901978,55.610060325586296,-34.5001,100.199,105.97214965,,,
9,239227408,7.196366169637258e-09,434,434,1711.7168932235547,0.9982056567177476,0.9868068587746792,0.0019016164851968773,0.573492180483381,7.6552,7699.14013672,1.71068,25.0,0.2353,0.2551,4.22916985,0.03971545621372038,0.9978612210108871,0.9988525620773708,4.565110031820908,18.00080106604726,9.322702463459745,1.809,127.22,9.2640295,0.361355,2,3,296.83242265391704,40.99432267846171,5.53987,9.7002,11.17067767,-0.1,,
