rowid,tic_id,Probability
0,229139161.0,5.148405257671129e-09
1,434103808.0,1.2770067314704647e-06
2,246889145.0,0.07615113258361816
3,150166721.0,2.0589988707797602e-05
4,260351380.0,3.1373930120537352e-09
5,47425704.0,4.956531851618706e-10
6,224271611.0,0.6941469311714172
7,77022104.0,1.7661066067375941e-06
8,52258534.0,1.0119949820364127e-06
9,144301273.0,0.9991960525512695
10,273824705.0,0.1957264244556427
11,350712873.0,1.1874212759721559e-06
12,198034174.0,5.971825256523289e-09
13,201226029.0,0.0020480696111917496
14,177313167.0,4.317375442042248e-06
15,233964642.0,0.01142320316284895
16,321977787.0,6.505601049866527e-06
17,281499618.0,3.4568702067527823e-15
18,149176080.0,0.07490934431552887
19,251855940.0,0.9942561984062195
20,183590252.0,0.6232415437698364
21,197934579.0,8.674535756370005e-09
22,70763118.0,5.479009814735036e-06
23,350332233.0,1.389171666232869e-05
24,426016676.0,2.5633941583974584e-12
25,52204645.0,0.006499879993498325
26,12421477.0,3.578431005735183e-06
27,220478230.0,5.3624098654836416e-05
28,177309964.0,9.196190148941241e-06
29,382266319.0,1.538893957331311e-05
30,150432514.0,1.5528710719081573e-05
31,47525961.0,1.5207259895788638e-09
32,12418075.0,3.28638407154358e-06
33,31672006.0,0.0025502757634967566
34,220435095.0,0.9425448179244995
35,149347629.0,1.0121771083504427e-05
36,141871560.0,0.0002071936323773116
37,7203983.0,1.2111576932344326e-12
38,141152931.0,1.6479812306458008e-12
39,41860807.0,6.135814146546181e-06
40,271554516.0,0.0710986778140068
41,402318229.0,2.1495905912476826e-13
42,155945777.0,0.6490497589111328
43,271639931.0,0.00019297497055958956
44,150105822.0,0.724202036857605
45,39018923.0,0.6479235887527466
46,8990795.0,4.978841161573655e-08
47,231277214.0,2.657313924459004e-09
48,319258261.0,1.9913177010111305e-12
49,149598862.0,3.291382654424524e-06
50,350841132.0,2.655856587807648e-05
51,237910557.0,1.1461279427749105e-06
52,307433122.0,0.07806949317455292
53,198008002.0,0.9978845715522766
54,33832085.0,3.1699899409431964e-05
55,350297677.0,0.00018177319725509733
56,140975023.0,0.002561040222644806
57,115443990.0,3.3634150895522907e-06
58,350335330.0,0.001099865068681538
59,24695725.0,2.546890165433524e-08
60,167012000.0,0.6979732513427734
61,234338669.0,0.006401676684617996
62,70788050.0,6.886632945679594e-06
63,5796540.0,1.5466608601855114e-05
64,299901158.0,0.0010109113063663244
65,350431335.0,0.5343102812767029
66,404927661.0,0.01387815736234188
67,12379252.0,2.1350699626054848e-06
68,388198242.0,0.2611280083656311
69,358511856.0,4.506707451668035e-09
70,39080923.0,0.8811653256416321
71,262531275.0,0.2555636763572693
72,207085748.0,8.65023503138218e-06
73,407663579.0,1.506250768557038e-08
74,66356824.0,0.8115439414978027
75,407625096.0,2.5548522444296395e-06
76,260164371.0,2.38824613916222e-05
77,279251651.0,0.4050625264644623
78,175477257.0,0.9996898770332336
79,9212315.0,0.1347954124212265
80,25155310.0,0.9949619174003601
81,149247623.0,9.355503038932511e-10
82,167119957.0,2.5726810690684943e-06
83,350563225.0,4.0741037210523245e-09
84,66497310.0,0.9992070198059082
85,281461138.0,0.00010021506022894755
86,348995212.0,0.8176988363265991
87,304096841.0,6.229163318494102e-06
88,410445955.0,0.002504166681319475
89,89502706.0,1.073255407391116e-05
90,38459686.0,2.023685254926022e-07
91,30531417.0,0.03799033910036087
92,370228164.0,0.17413388192653656
93,631474881.0,8.561014510632958e-06
94,272466980.0,2.336854322493309e-06
95,382044998.0,7.478737629185161e-09
96,237915523.0,7.816088327672333e-05
97,234506344.0,4.5798566134180874e-05
98,201230928.0,3.439482952671824e-06
99,166787511.0,0.38476452231407166
100,140659978.0,0.0012565560173243284
101,183537452.0,0.9978361129760742
102,12473170.0,1.6324817886381737e-10
103,231740631.0,0.029273372143507004
104,349766899.0,0.03324700519442558
