rowid,tic_id,Probability
0,92350408.0,0.8259237408638
1,299941037.0,0.3812688887119293
2,350933263.0,0.028591325506567955
3,129277739.0,1.2691658834995678e-10
4,31743416.0,0.01507104653865099
5,272357134.0,0.4354255199432373
6,325222244.0,7.226818020964268e-14
7,317089497.0,1.8415685643091706e-10
8,260708708.0,0.0010618825908750296
9,737163462.0,0.24969534575939178
10,281581467.0,0.0010795891284942627
11,350954375.0,1.278252170777705e-07
12,97456906.0,0.2797560691833496
13,100603766.0,0.013140171766281128
14,114886941.0,0.01321905106306076
15,218925869.0,0.05740510672330856
16,141608198.0,0.0008916875231079757
17,271799457.0,0.04031448811292648
18,262020326.0,0.44620847702026367
19,260353841.0,1.679848355706781e-05
20,267263253.0,0.9507346153259277
21,351336681.0,0.12674443423748016
22,179317684.0,0.994376003742218
23,381914077.0,0.012139197438955307
24,265334670.0,3.224273314117454e-06
25,48897493.0,3.346920180238855e-13
26,61382657.0,1.0037948250385398e-09
27,349645354.0,1.0820142698486634e-10
28,348772511.0,1.5396642993437126e-05
29,149988107.0,3.817146716755815e-05
30,90849631.0,1.44499944778817e-13
31,382068562.0,0.9550378918647766
32,79659787.0,3.6295571582967145e-12
33,350622144.0,1.8924156108823809e-07
34,61811090.0,0.004136749543249607
35,234330672.0,0.7920144200325012
36,369984032.0,0.14465637505054474
37,350443417.0,5.195750418351963e-05
38,55650494.0,0.0008328710682690144
39,341498715.0,2.330511311214706e-25
40,468150795.0,0.0001871667627710849
41,350522251.0,0.0005168968345969915
42,382259669.0,7.408333386853261e-13
43,388129392.0,2.7264603769117102e-11
44,261747205.0,2.264423186720127e-13
45,166421485.0,0.08756933361291885
46,91190653.0,0.00036484983866102993
47,404927661.0,0.017968695610761642
48,349273278.0,2.6744671686174115e-06
49,166582002.0,0.006517138332128525
50,276863693.0,1.1523740989227704e-10
51,31926807.0,1.4966381911563076e-08
52,410402272.0,1.0528527919287378e-12
53,293506627.0,0.06252414733171463
54,316879934.0,7.125543211028429e-11
55,382269606.0,0.009676853194832802
56,219304041.0,0.044619329273700714
57,100516667.0,1.4172634621445468e-08
58,271578884.0,0.012016354128718376
59,401728805.0,5.842593661480044e-13
60,25153167.0,0.006877946201711893
61,387190963.0,3.4316987655879195e-24
